"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Ephedra.torreyana.type","Equisetum","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Humulus","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
1,31,0,25,2,3,0,8,0,15,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,50,184,3,0,0,1,2,0,0,2,2,0,0,1,0,1,0,0,1,0
10,570,0,27,1,1,0,3,1,29,0,0,0,0,2,2,1,0,0,0,1,0,0,0,2,32,0,0,0,2,0,1,0,0,0,0,38,185,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20,1169,1,38,1,2,0,1,0,26,0,0,0,0,1,3,0,0,0,0,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,39,176,1,0,0,0,5,0,0,1,1,0,0,2,0,0,0,1,0,0
30,1767,0,44,0,1,0,6,0,43,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,27,164,6,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0
40,2366,1,39,0,3,0,6,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,26,176,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
50,2964,0,45,2,2,0,9,1,34,0,0,0,1,2,1,0,0,0,0,1,0,0,0,2,12,0,0,0,2,2,2,0,0,0,0,44,149,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
60,3563,1,68,2,3,0,14,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,22,132,4,1,0,1,3,0,0,2,0,0,0,4,0,0,1,0,1,0
70,4161,0,58,1,2,0,7,1,50,0,0,0,1,0,1,2,0,0,0,3,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,19,142,6,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,0
80,4760,0,59,2,2,0,9,2,61,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,29,124,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
90,5359,1,57,3,2,0,9,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22,134,3,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0
100,5957,2,42,1,6,0,3,0,39,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,26,163,6,1,0,0,4,0,0,0,0,0,0,6,0,0,0,1,0,0
110,6556,0,67,7,4,0,8,0,75,0,0,0,2,1,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,27,100,2,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
120,6967,0,63,5,4,0,9,2,44,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,12,148,4,0,0,0,2,0,0,2,0,0,0,2,1,0,1,1,1,0
130,7192,0,52,4,5,0,10,1,52,1,0,0,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,11,0,0,1,3,0,0,4,0,0,0,0,0,0,0,1,0,0
140,7417,0,48,5,10,1,7,1,64,0,0,0,0,3,2,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,1,0,0,6,143,3,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0
150,7641,0,35,3,13,0,13,2,57,0,0,0,0,5,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,150,4,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
160,7866,0,40,4,17,0,18,3,48,0,0,0,1,1,2,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,10,136,9,2,0,2,2,0,0,0,2,0,0,0,1,0,1,1,1,0
170,8091,0,41,7,12,1,14,3,90,0,0,0,0,3,0,1,0,0,0,0,0,0,0,8,0,1,0,1,2,0,0,0,0,0,0,13,92,6,2,0,0,5,0,0,6,0,0,0,0,0,0,1,1,2,0
