"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Juglans","Larix","Picea","Pinus","Populus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Saxifragaceae"
10,1010,0.235294117647059,0,0,0,0,0,0,0,0.117647058823529,0,0,0.0196078431372549,0.0392156862745098,0,0.470588235294118,0,0.0980392156862745,0,0,0.0196078431372549,0
25,2556,0.31858407079646,0,0,0,0,0,0,0,0.0530973451327434,0,0,0,0,0,0.530973451327434,0,0.0619469026548673,0,0,0.0353982300884956,0
35,3586,0.172839506172839,0,0,0,0,0,0,0,0.469135802469136,0,0,0.0493827160493827,0,0,0.185185185185185,0,0.0740740740740741,0,0,0.0493827160493827,0
45,4617,0.156862745098039,0,0,0,0,0,0,0,0.529411764705882,0,0,0,0.156862745098039,0,0.0392156862745098,0,0.0588235294117647,0,0,0.0588235294117647,0
55,5648,0.0472972972972973,0,0.0135135135135135,0.0337837837837838,0,0,0.00675675675675676,0,0.736486486486487,0,0,0.0202702702702703,0.101351351351351,0,0.0202702702702703,0,0.0202702702702703,0,0,0,0
65,6679,0.128,0,0.032,0,0,0,0,0.008,0.64,0,0,0.016,0.144,0,0,0,0.032,0,0,0,0
75,7709,0.222222222222222,0,0,0.0317460317460317,0,0,0,0.0158730158730159,0.380952380952381,0,0,0.0634920634920635,0.222222222222222,0,0,0,0.0555555555555556,0,0,0,0.00793650793650794
85,8740,0.264957264957265,0,0.0170940170940171,0.00854700854700855,0,0.0427350427350427,0,0,0.247863247863248,0,0.00854700854700855,0.0512820512820513,0.333333333333333,0,0.00854700854700855,0,0.00854700854700855,0,0,0,0.00854700854700855
95,9771,0.403669724770642,0,0.0091743119266055,0,0.018348623853211,0,0,0,0.238532110091743,0.0091743119266055,0,0,0.201834862385321,0,0,0.0091743119266055,0,0.0091743119266055,0,0.100917431192661,0
105,10801,0.160220994475138,0,0.0165745856353591,0.0165745856353591,0.0165745856353591,0,0,0.0441988950276243,0.646408839779006,0,0,0,0.0773480662983425,0.00552486187845304,0,0,0,0,0,0.0165745856353591,0
115,12080,0.175438596491228,0.0087719298245614,0,0,0,0,0,0.131578947368421,0.473684210526316,0,0,0,0.175438596491228,0,0,0,0.0087719298245614,0,0.0175438596491228,0.0087719298245614,0
125,13359,0,0,0,0,0,0,0,0.8359375,0.1015625,0,0,0,0,0,0,0,0,0,0.0546875,0.0078125,0
135,14638,0.0915492957746479,0,0,0,0,0,0,0.457746478873239,0.0985915492957746,0.119718309859155,0,0,0.00704225352112676,0,0,0,0.00704225352112676,0,0.21830985915493,0,0
145,15916,0,0,0,0,0,0,0,0.347107438016529,0.0661157024793388,0.347107438016529,0,0,0,0,0,0,0.0330578512396694,0,0.206611570247934,0,0
155,17195,0.0263157894736842,0,0,0,0,0,0,0.536842105263158,0.0842105263157895,0.131578947368421,0,0,0,0,0,0,0.0315789473684211,0,0.184210526315789,0.00526315789473684,0
165,18474,0.0149253731343284,0,0,0,0,0,0,0.522388059701492,0.0348258706467662,0.0696517412935323,0.00497512437810945,0,0,0,0.00497512437810945,0,0.0646766169154229,0,0.26865671641791,0.0149253731343284,0
175,NA,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286
