"sample.depths","sample.ages","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Carya","Casuarina","Cephalanthus","Cladium","Cyperaceae.undiff.","Ericaceae","Euphorbiaceae","Ilex","Iva","Justicia","Myrica","Nymphaea","Onagraceae","Osmunda.regalis","Ostrya.Carpinus","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Typha","Unknown..monolete.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia","Vitis","Waltheria"
0.5,-17,16,10,0,8,2,6,12,10,0,0,0,0,0,2,4,8,8,8,0,40,6,14,0,6,20,24,56,96,6,76,2,24,4,0,2
2.5,104,56,6,2,2,0,0,18,10,0,0,0,2,0,0,10,2,0,2,0,20,6,4,0,4,12,78,42,28,10,40,0,14,2,0,0
9.5,531,20,4,2,12,4,0,28,8,2,0,0,0,0,0,14,2,2,0,0,20,2,8,2,10,12,74,66,34,8,104,2,8,0,0,0
15.5,896,382,0,0,14,0,0,2,2,4,0,0,0,2,0,0,0,2,0,0,26,0,6,0,0,10,8,4,110,0,90,0,0,0,0,0
21,1231,302,0,2,4,0,0,2,26,2,0,2,2,2,0,4,0,0,0,0,54,2,10,0,4,12,8,0,256,2,22,0,4,0,0,0
25,1475,186,0,0,16,0,0,6,20,8,0,0,0,0,0,2,8,4,0,0,88,8,24,2,2,16,6,0,190,2,10,2,6,0,4,0
29,1718,114,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,80,2,12,0,0,4,0,0,46,0,12,0,0,2,0,0
35,2124,52,0,0,4,0,0,0,6,0,0,0,0,2,0,0,6,0,0,0,264,6,0,0,0,2,0,0,16,0,6,0,4,0,0,0
39,2448,152,0,0,0,0,0,0,0,2,0,0,0,2,0,2,8,0,0,0,214,0,6,0,6,6,2,4,2,0,2,0,0,0,0,0
45,2934,126,0,0,2,0,0,0,0,2,2,0,0,2,0,2,18,0,0,4,94,0,0,0,2,6,0,0,2,0,2,0,0,0,0,0
49,3258,310,4,0,2,0,0,0,0,0,0,0,0,2,0,0,40,0,0,0,246,0,2,0,2,6,0,2,0,0,0,0,2,0,0,0
61,3651,54,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8,0,0,0,66,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
