"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Alnus.viridis.type","Ostrya.Carpinus","Asteraceae.subf..Asteroideae.undiff.","Taxus","Tilia","Fraxinus.americana.type","Juniperus.communis.Thuja.occidentalis.type","Juglans.cinerea","Polygonaceae","Potentilla.palustris.type","Viburnum.nudum","Nemopanthus.mucronatus","Caryophyllaceae","Caprifoliaceae.undiff.","Thalictrum","Populus.balsamifera.type","Acer.saccharinum","Rhamnus.alnifolia.R..frangula","Viburnum.edule","Acer.negundo","Prunus.virginiana","Viburnum.alnifolium","Ranunculaceae.undiff.","Shepherdia.canadensis","Sambucus","Fabaceae","Apiaceae","Urtica.type","Prunus.pensylvanica","Onagraceae.undiff.","Cornus","Elaeagnus.commutata","Plantaginaceae.undiff.","Saxifraga.stellaris.type","Asteraceae.subf..Cichorioideae"
5,136,0.00260416666666667,0.00130208333333333,0.00390625,0.03515625,0.0182291666666667,0.00130208333333333,0.43359375,0.01953125,0.00390625,0.0169270833333333,0.00520833333333333,0.00260416666666667,0.00390625,0.00260416666666667,0.0625,0.0611979166666667,0.00651041666666667,0.0182291666666667,0.00520833333333333,0.00130208333333333,0.00260416666666667,0.01953125,0.00130208333333333,0.0234375,0.00130208333333333,0.015625,0.015625,0.00130208333333333,0.00130208333333333,0.00390625,0.00911458333333333,0.015625,0.00130208333333333,0.125,0.0364583333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,682,0.00193050193050193,0.00193050193050193,0,0.027027027027027,0.00386100386100386,0.00193050193050193,0.376447876447876,0.0250965250965251,0,0.0366795366795367,0.00579150579150579,0.00193050193050193,0.00193050193050193,0.00193050193050193,0.0540540540540541,0.0424710424710425,0.00579150579150579,0.0193050193050193,0.00193050193050193,0.00193050193050193,0,0.00193050193050193,0,0.0115830115830116,0,0.0308880308880309,0.0135135135135135,0.00193050193050193,0.00193050193050193,0.00386100386100386,0.00579150579150579,0.00579150579150579,0.00386100386100386,0.196911196911197,0.0733590733590734,0.0308880308880309,0.00193050193050193,0.00193050193050193,0.00193050193050193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1363,0.00155763239875389,0.00467289719626168,0.00467289719626168,0.014018691588785,0.00467289719626168,0.00155763239875389,0.392523364485981,0.0109034267912773,0,0.0358255451713396,0.00467289719626168,0.00311526479750779,0.00467289719626168,0.00155763239875389,0.0576323987538941,0.0420560747663551,0.00778816199376947,0.029595015576324,0.00311526479750779,0.0109034267912773,0.00311526479750779,0.00311526479750779,0,0.00778816199376947,0,0.0233644859813084,0.0109034267912773,0.00623052959501558,0,0,0.00623052959501558,0.0124610591900312,0.00311526479750779,0.160436137071651,0.0856697819314642,0.0249221183800623,0.00934579439252336,0,0.00155763239875389,0.00155763239875389,0.00155763239875389,0.00155763239875389,0.00155763239875389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2045,0,0,0.00283687943262411,0.0113475177304965,0,0.00141843971631206,0.436879432624113,0.00567375886524823,0,0.0439716312056738,0.00283687943262411,0.00141843971631206,0.00283687943262411,0.00141843971631206,0.0184397163120567,0.0964539007092199,0,0.0354609929078014,0,0.0099290780141844,0.00141843971631206,0.0099290780141844,0,0.00851063829787234,0,0.0099290780141844,0.0212765957446809,0,0,0,0.00283687943262411,0.051063829787234,0.00425531914893617,0.113475177304965,0.075177304964539,0.0099290780141844,0.00283687943262411,0,0,0,0.00283687943262411,0.00141843971631206,0.00567375886524823,0.00141843971631206,0.00141843971631206,0.00283687943262411,0.00283687943262411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2649,0.00628930817610063,0.00314465408805031,0,0.0251572327044025,0,0,0.5,0.00786163522012579,0,0.0455974842767296,0.00314465408805031,0.00314465408805031,0.00471698113207547,0,0.0220125786163522,0.0676100628930818,0,0.0283018867924528,0,0.00628930817610063,0,0.00628930817610063,0,0.00628930817610063,0,0.00943396226415094,0.0125786163522013,0,0.00157232704402516,0,0.00471698113207547,0.00786163522012579,0,0.154088050314465,0.0628930817610063,0.00628930817610063,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0.00157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2941,0.00140252454417952,0.00561009817671809,0,0.0140252454417952,0.00140252454417952,0.00140252454417952,0.4109396914446,0.0154277699859748,0,0.0631136044880785,0.00841514726507714,0.00140252454417952,0.00140252454417952,0.00561009817671809,0.0168302945301543,0.102384291725105,0.00280504908835905,0.0182328190743338,0,0.00701262272089762,0.00140252454417952,0.00841514726507714,0,0.00420757363253857,0,0.0210378681626928,0.0196353436185133,0.00561009817671809,0.00140252454417952,0.00140252454417952,0.00280504908835905,0.0154277699859748,0.00280504908835905,0.122019635343619,0.091164095371669,0.0140252454417952,0.00561009817671809,0,0.00140252454417952,0,0,0,0,0.00140252454417952,0,0,0,0,0.00280504908835905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3234,0.00175746924428822,0.00527240773286467,0.00175746924428822,0.00527240773286467,0,0.00527240773286467,0.439367311072056,0.00527240773286467,0.00175746924428822,0.054481546572935,0.00878734622144113,0.00175746924428822,0,0,0.0193321616871705,0.0755711775043937,0.00175746924428822,0.015817223198594,0,0.0070298769771529,0,0,0.00175746924428822,0.00527240773286467,0,0.015817223198594,0.0281195079086116,0,0,0.00175746924428822,0.00351493848857645,0.00175746924428822,0.00527240773286467,0.186291739894552,0.0773286467486819,0.00527240773286467,0.0105448154657293,0.00175746924428822,0,0,0,0,0,0,0,0,0.00175746924428822,0,0.00175746924428822,0.00175746924428822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3526,0.00141643059490085,0.0028328611898017,0,0.0155807365439093,0.00424929178470255,0.00141643059490085,0.415014164305949,0.0113314447592068,0,0.0538243626062323,0.00991501416430595,0.00141643059490085,0,0,0.00141643059490085,0.11614730878187,0.00141643059490085,0.0226628895184136,0,0.0113314447592068,0,0,0.00141643059490085,0,0,0.00708215297450425,0.018413597733711,0.0028328611898017,0.00141643059490085,0.00141643059490085,0,0.00141643059490085,0.0056657223796034,0.196883852691218,0.0580736543909348,0.00708215297450425,0.0113314447592068,0.0056657223796034,0,0.0028328611898017,0.00141643059490085,0.00141643059490085,0,0.00141643059490085,0,0,0,0.0028328611898017,0,0,0.00141643059490085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3819,0.0062208398133748,0.0077760497667185,0,0.0077760497667185,0.0015552099533437,0.0046656298600311,0.346811819595645,0.00933125972006221,0,0.0326594090202177,0.0015552099533437,0.0077760497667185,0,0,0.00933125972006221,0.258164852255054,0.0015552099533437,0.031104199066874,0,0.0233281493001555,0,0.0015552099533437,0.0015552099533437,0.0015552099533437,0,0.0031104199066874,0.00933125972006221,0,0.0015552099533437,0.0015552099533437,0.0031104199066874,0.0046656298600311,0,0.169517884914463,0.0217729393468118,0.0077760497667185,0.0015552099533437,0,0.0015552099533437,0.0077760497667185,0.0046656298600311,0,0,0.0046656298600311,0,0,0,0,0,0,0.0015552099533437,0.0015552099533437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,4112,0.00610687022900763,0.00305343511450382,0,0.0122137404580153,0.00305343511450382,0.00305343511450382,0.468702290076336,0.00763358778625954,0,0.0427480916030534,0.0122137404580153,0.00610687022900763,0.00152671755725191,0,0.00458015267175573,0.082442748091603,0.00152671755725191,0.0427480916030534,0.00152671755725191,0.00916030534351145,0,0,0,0.00305343511450382,0,0.00763358778625954,0.0137404580152672,0,0,0.00152671755725191,0.00610687022900763,0.00610687022900763,0,0.219847328244275,0.016793893129771,0.00152671755725191,0.00458015267175573,0.00152671755725191,0.00305343511450382,0,0.00152671755725191,0,0.00152671755725191,0,0,0,0,0.00152671755725191,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
