"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Fraxinus","Pinus","Populus","Amaranthaceae","Poaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ulmus","Ephedra","Ranunculaceae.undiff.","Plantago","Rosaceae","Carpinus","Shepherdia.argentea","Myrica","Shepherdia.canadensis","Juglans","Abies","Rumex","Symphoricarpos","Carya","Polygonum"
0,-18,892,62,226,16,2,34,2,162,6,28,2,6,104,8,2,166,10,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,197,2620,116,720,28,0,56,10,520,52,52,4,18,316,22,4,590,4,38,58,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,411,2728,126,698,18,2,80,10,568,48,68,2,30,328,24,8,584,12,34,68,6,0,2,0,2,2,6,2,0,0,0,0,0,0,0,0,0
20,769,2612,140,714,26,2,72,16,486,32,50,0,26,320,34,2,514,14,26,108,4,0,16,0,0,2,4,0,2,2,0,0,0,0,0,0,0
25,842,2142,128,616,34,2,52,6,414,50,24,4,6,274,16,12,408,14,30,38,4,0,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0
30,914,1382,62,388,16,2,54,4,236,24,32,6,4,174,16,0,256,6,14,78,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0
35,987,2474,158,734,26,0,58,6,426,76,54,6,24,332,12,4,456,6,8,64,4,0,10,0,0,0,6,2,0,2,0,0,0,0,0,0,0
40,1059,1942,100,606,28,0,60,8,352,58,44,0,14,242,10,2,316,8,16,64,0,0,6,0,2,0,4,2,0,0,0,0,0,0,0,0,0
45,1146,1862,86,562,20,0,46,10,314,34,42,6,20,282,16,4,330,6,20,46,2,0,10,0,0,4,0,0,0,0,0,2,0,0,0,0,0
50,1248,1786,110,582,26,0,42,6,314,52,50,4,12,194,10,4,292,6,16,52,2,0,2,0,0,0,6,2,0,2,0,0,0,0,0,0,0
55,1350,980,40,328,16,0,34,0,106,22,40,2,6,172,6,4,154,4,12,28,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
60,1452,808,68,294,8,0,22,4,102,36,28,0,10,62,10,2,96,4,4,44,2,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0,0
