"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caltha","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Equisetum","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarracenia","Selaginella","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus"
0,0,8,3,21,0,6,0,0,0,1,101,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,6,5,1,0,0,1,2,0,0,0,3,0,0,3,0,0,0,0,0,3,29,34,0,11,0,2,0,0,9,0,0,0,1,0,2,0,0,0,0,6,0,0,24,0,1
15,62,9,10,26,0,5,0,1,0,0,192,2,0,0,0,1,0,0,0,2,2,2,0,0,4,0,51,11,5,0,1,0,2,8,0,0,5,5,0,9,0,1,1,0,0,0,73,105,0,24,0,5,0,0,15,1,0,0,7,1,1,0,0,0,0,11,0,0,52,1,1
25,104,5,4,19,1,2,0,0,1,0,133,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,17,9,3,0,0,0,3,11,0,0,0,2,0,8,0,0,0,0,0,2,64,48,0,22,0,1,0,0,6,0,0,0,5,0,1,0,0,0,0,13,0,0,19,0,2
35,297,8,2,16,0,2,0,0,0,0,186,1,0,0,0,2,0,1,0,0,8,1,0,0,4,0,32,10,4,0,1,0,1,4,0,0,2,1,0,1,0,3,1,0,0,2,23,47,0,19,0,3,0,0,9,1,0,0,5,0,0,1,0,0,0,1,0,0,54,0,0
45,489,11,6,11,0,0,0,0,0,2,232,0,0,0,0,0,0,2,0,1,1,3,0,0,3,0,61,4,8,0,0,0,0,8,0,0,3,2,0,5,0,0,0,0,0,0,76,144,0,1,0,1,0,0,17,0,0,0,1,0,2,0,0,0,0,9,0,0,95,0,4
55,682,6,12,14,0,0,0,1,0,1,240,0,0,0,0,0,0,0,1,2,3,0,0,0,7,0,79,5,7,0,0,0,4,2,0,0,3,0,0,2,0,0,1,0,0,2,42,117,0,1,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,10,1,1,125,0,4
65,875,7,11,9,0,0,0,0,0,0,241,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,64,2,2,0,0,0,0,1,0,1,0,0,0,3,0,1,2,0,0,1,18,109,0,0,0,3,0,0,11,0,0,0,0,0,1,0,0,0,0,3,0,0,90,0,0
75,1068,10,6,2,1,0,0,1,0,0,196,0,0,0,1,0,0,0,0,0,6,2,0,0,1,0,55,5,4,0,0,0,1,1,0,0,2,1,0,6,0,1,1,0,1,2,17,83,0,1,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,89,0,5
85,1261,3,5,7,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,49,3,7,0,1,1,0,3,0,0,2,0,0,3,0,0,1,0,0,1,19,96,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,133,0,3
95,1453,3,2,7,0,0,0,1,1,0,140,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,28,2,4,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,5,8,87,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,5,0,0,73,0,2
105,1646,4,7,5,0,0,0,1,1,1,192,0,0,0,0,0,0,0,0,0,6,2,0,0,4,0,24,1,8,0,0,0,1,0,0,0,4,2,0,2,1,0,0,0,0,1,9,55,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,71,0,5
115,1839,2,6,2,0,0,0,0,0,0,141,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,40,3,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,10,49,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,97,0,2
125,2032,7,4,8,1,0,0,1,1,0,203,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,53,4,2,0,0,0,3,1,0,0,4,0,0,5,0,1,2,0,0,0,12,104,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,2,0,0,181,0,2
135,2224,1,10,6,1,0,0,0,0,0,171,0,0,0,0,1,0,0,0,0,5,2,0,0,1,0,23,3,5,0,0,0,1,4,0,0,3,1,0,0,0,0,0,0,0,1,5,40,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,84,0,1
140,2321,1,7,3,0,1,0,0,1,0,133,0,0,0,0,0,0,0,0,1,2,4,0,0,3,0,34,2,4,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,1,8,44,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,12,0,0,67,0,0
150,2514,3,10,7,0,2,0,1,0,0,156,0,0,0,1,0,0,0,0,2,7,5,0,0,1,0,32,7,7,0,0,0,1,2,0,0,3,1,0,9,0,0,2,0,0,3,8,69,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,8,0,0,103,0,1
160,2706,3,6,7,0,1,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,2,4,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,74,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,7,0,0,78,0,1
165,2816,4,9,7,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,19,1,9,0,0,0,2,2,0,0,2,0,0,2,0,1,0,0,0,4,7,92,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,19,1,0,38,0,1
170,2955,5,6,5,0,0,0,1,1,1,152,0,0,0,0,0,0,0,0,1,0,6,0,0,3,0,29,2,8,0,0,0,4,3,0,0,3,2,0,1,0,0,1,0,1,2,7,71,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,5,1,0,34,0,3
180,3233,3,12,7,0,1,0,0,0,1,120,0,0,0,0,1,0,0,0,0,3,3,0,0,5,0,28,16,9,0,0,1,2,1,0,0,1,3,0,2,0,0,2,0,0,2,5,76,0,3,1,0,0,0,6,0,0,2,0,0,1,0,0,0,0,12,1,1,57,0,1
190,3511,3,5,5,0,1,0,0,1,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,5,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,61,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,6,1,0,55,0,0
200,3790,1,10,1,0,0,0,0,0,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,1,6,0,0,0,2,0,0,0,1,1,0,3,0,0,1,0,1,2,7,117,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,63,0,3
210,4068,0,6,7,0,0,0,0,1,0,116,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,45,4,4,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,2,4,47,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2
220,4346,1,9,3,0,1,0,1,0,0,174,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,53,1,5,0,0,0,2,0,0,0,5,1,0,1,0,0,0,0,0,2,5,124,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,36,0,2
230,4624,2,14,4,0,0,0,0,1,0,164,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,39,1,6,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,11,64,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0
240,4903,1,4,11,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,49,5,18,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,10,75,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,1,0,0,38,0,1
250,5181,1,4,33,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,22,5,10,0,0,1,2,0,0,0,3,3,0,11,0,0,1,0,0,4,3,79,0,2,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,4
260,5459,1,10,6,0,3,0,0,0,1,277,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,24,4,4,0,0,0,2,0,0,0,1,2,0,3,0,0,0,0,0,3,7,135,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,5,0,0,37,0,4
270,5663,1,5,6,1,0,0,0,0,1,106,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,64,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,95,0,4
280,5843,0,3,5,0,0,0,0,0,1,98,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,2,1,8,0,0,0,3,0,0,0,1,1,0,3,0,0,0,0,0,3,0,91,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,96,0,4
290,6022,0,8,7,1,0,0,0,1,1,134,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,4,11,0,0,0,1,0,1,0,0,0,0,2,0,1,7,0,0,1,3,87,0,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,158,0,2
300,6202,1,3,8,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,12,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,4,130,0,1,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,1,0,0,213,0,5
310,6381,0,5,7,0,1,0,1,0,0,88,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,2
320,6560,0,3,2,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,0,0,1,0,0,0,1,0,0,3,0,1,1,0,1,1,0,59,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,5
330,6740,1,1,3,0,1,0,0,0,0,104,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,3,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,112,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,71,0,2
340,6919,2,4,5,1,0,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,9,158,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,2
