"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Cephalanthus","Corylus","Cupressus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Indeterminable","Juglans","Larix","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinaceae.undiff.","Pinus.strobus","Pinus.undiff.","Poaceae","Populus","Potamogetonaceae","Quercus","Rosaceae","Sagittaria","Salix","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
8,NA,0,3,2,0,4,5,3,10,4,2,0,8,0,27,0,4,39,6,1,1,0,1,0,2,0,18,0,14,8,0,0,239,1,3,46,3,1,5,4,0,2,0,3,8,12,0,0,2
18,13686,1,1,2,3,3,1,6,8,1,0,0,5,0,27,2,13,50,10,0,1,0,0,0,5,0,24,0,10,20,0,1,197,0,1,35,2,3,5,1,0,0,1,1,8,11,1,1,0
28,13831,0,0,0,1,7,4,6,2,1,1,0,4,0,29,1,8,50,4,0,0,0,2,1,6,0,13,1,12,15,0,0,174,1,2,32,0,2,3,4,0,1,0,3,3,8,1,2,0
38,13975,0,1,1,0,5,1,6,2,4,1,1,14,0,31,1,3,41,2,0,1,0,2,0,0,0,16,3,7,11,0,2,236,1,2,30,1,3,0,2,1,0,0,2,3,14,0,2,0
46,14090,0,0,1,2,4,3,2,2,3,2,1,13,0,38,3,3,54,9,1,0,0,0,2,1,0,27,2,15,18,1,2,177,0,0,35,1,2,8,1,0,0,0,2,4,15,0,1,0
58,14264,2,2,0,1,9,4,5,0,1,1,0,3,0,40,1,3,32,4,1,0,0,2,0,0,0,13,5,13,12,0,0,232,2,0,18,0,0,6,3,0,2,0,1,5,9,0,1,0
68,14408,1,0,3,2,3,1,4,0,1,0,1,9,2,44,4,4,40,6,0,1,0,2,0,0,0,16,2,7,14,0,1,181,1,1,35,1,5,5,2,0,1,0,3,4,7,0,4,0
78,14552,1,2,0,0,1,2,5,2,2,2,0,3,0,48,0,6,10,5,0,0,0,1,0,1,0,5,2,10,14,0,1,265,4,2,19,2,2,3,3,0,3,0,2,1,11,0,2,0
88,14697,1,3,5,0,2,3,9,17,0,2,0,6,0,46,1,2,37,11,1,0,0,1,0,0,0,22,4,72,81,0,0,121,0,1,32,0,3,3,0,0,1,0,7,0,4,0,2,0
218,15844,2,2,1,3,9,6,6,15,5,2,0,1,0,108,0,7,75,14,2,0,0,8,0,2,0,45,3,46,10,0,3,47,0,3,78,3,3,7,1,0,1,0,6,13,14,2,1,0
228,15945,0,3,1,1,6,2,3,1,1,3,2,1,0,13,0,4,22,1,0,0,0,1,0,0,0,22,2,39,29,0,0,29,0,0,19,0,1,2,0,0,1,0,3,0,3,0,2,0
238,16062,0,2,0,2,2,3,11,6,3,1,2,1,0,53,2,2,32,4,0,1,0,2,1,0,0,18,0,70,57,0,0,109,1,1,45,0,1,5,1,1,0,0,6,7,13,0,1,0
248,16180,0,0,0,2,2,0,6,10,1,0,0,0,0,22,0,0,14,2,1,2,0,2,0,0,0,11,0,61,63,0,0,34,0,0,11,0,0,6,0,0,0,0,5,2,2,1,1,0
263,16355,0,2,2,2,3,3,18,3,3,0,0,0,0,42,1,2,32,5,0,0,0,3,0,1,0,27,6,83,104,0,0,86,0,4,27,0,1,16,1,0,1,0,5,5,4,1,0,1
278,16531,0,0,2,0,1,1,5,2,0,0,1,0,0,35,0,0,12,4,1,0,0,5,2,0,0,13,2,79,110,0,1,9,1,1,13,0,0,3,1,0,0,0,7,2,4,0,2,0
288,16649,0,2,7,3,3,5,23,8,1,0,2,0,0,46,0,1,24,4,1,1,0,2,2,1,0,15,3,140,175,0,0,24,0,1,32,0,2,6,2,0,0,0,21,0,3,0,1,1
298,16766,0,0,1,0,4,2,5,1,0,1,0,0,0,29,0,3,23,3,1,1,0,1,0,0,0,8,0,119,81,0,0,25,2,0,22,0,0,3,0,0,0,0,10,2,4,0,0,0
308,16883,0,2,0,0,6,1,24,3,2,0,0,1,0,68,0,1,20,2,0,1,0,7,1,1,0,12,2,142,174,0,1,40,1,6,37,0,2,4,2,0,0,0,17,2,3,1,0,1
316,16977,1,0,3,1,2,0,5,1,0,1,1,3,0,34,0,0,12,2,0,0,0,3,1,0,0,6,1,95,94,1,2,10,0,0,23,0,0,3,0,0,0,0,11,2,3,1,0,0
328,17118,0,2,0,1,7,4,12,6,3,1,1,4,0,48,0,3,42,6,0,0,0,2,0,1,0,29,3,55,42,0,0,89,0,2,33,0,0,10,1,0,1,0,8,0,12,0,0,0
338,17235,0,0,4,1,3,10,1,2,0,0,0,1,0,61,0,2,8,3,0,0,0,4,0,0,0,10,6,80,100,0,0,16,0,3,24,0,1,3,1,1,1,0,21,1,3,1,0,0
348,17352,0,2,2,1,2,9,3,1,2,2,0,1,0,85,1,1,16,7,0,0,0,4,0,0,0,12,1,111,186,0,1,17,2,0,51,2,2,3,0,0,0,0,33,2,7,0,4,0
358,17469,0,0,3,2,4,5,1,9,1,0,0,1,0,43,1,0,6,4,0,0,0,0,0,0,0,1,1,39,60,0,1,10,1,1,36,0,1,2,1,0,0,0,7,0,7,0,1,0
368,17587,0,1,5,3,6,6,3,1,0,0,0,2,0,111,0,0,12,3,2,2,0,0,0,0,0,14,1,138,216,0,2,26,1,0,36,1,0,2,1,0,0,0,8,0,7,0,1,1
378,17704,1,3,3,2,5,3,6,4,0,3,0,0,0,48,0,2,10,1,0,0,0,0,0,0,0,3,2,67,77,0,2,23,1,5,34,1,2,2,0,0,0,0,3,1,4,0,0,0
388,17821,1,0,5,1,3,10,4,3,0,0,0,1,0,22,0,0,7,6,0,2,0,0,0,4,0,5,2,249,184,0,1,7,0,2,31,0,0,3,2,0,0,0,0,4,6,1,1,0
