"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Liquidambar","Liriodendron","Magnolia","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Boraginaceae","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Cerealia.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Poaceae.undiff.","Polygonaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifragaceae","Secale","Thalictrum","Trifolium","Urticaceae","Xyris","Zea","Asplenium.type","Diphasiastrum.complanatum","Huperzia.lucidula","Huperzia.selago","Lycopodium","Osmunda","Pteridium.type","Selaginella","Thelypteris.palustris","Sphagnum","Brasenia.schreberi","Cladium","Eriocaulon","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Potamogeton","Sagittaria","Sparganium","Typha","Spore..trilete.","Coniferophyta.undiff.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Unknown"
1,-44,0,0,3,3,0,6,0,39,2,9,2,1,0,3,0,0,14,1,4,0,4,0,1,1,0,0,0,0,13,0,3,2,0,2,15,2,205,0,1,172,1,1,0,2,2,5,0,1,0,66,1,0,6,0,0,0,1,1,1,0,4,0,0,0,0,0,2,18,50,0,0,1,17,1,1,0,0,1,0,0,0,0,0,0,1,4,4,0,3,0,0,0,0,214,2,0,1,1,0,0,0,0,0,0,3,0,4,6,18,3
2,-41,1,0,5,2,0,5,0,37,2,3,2,0,0,0,0,2,7,4,6,0,8,0,1,1,2,0,0,1,10,1,5,0,0,3,15,11,201,2,1,178,0,0,4,0,8,4,0,0,0,78,0,0,9,0,0,1,0,0,0,3,1,0,0,1,0,0,14,20,45,0,0,0,11,0,1,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,189,1,0,0,0,0,0,0,0,0,0,1,1,1,7,3,3
4,-26,0,0,3,5,0,6,0,45,1,2,0,0,0,0,0,0,6,2,5,0,6,0,0,0,1,0,0,0,24,1,6,1,1,3,57,0,211,0,1,124,0,1,0,0,4,3,0,0,0,79,0,0,8,0,0,0,0,0,0,2,3,0,0,0,1,0,10,0,55,0,0,1,23,0,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,244,1,0,0,0,0,0,1,1,0,0,0,0,2,4,6,3
6,-11,0,0,3,4,0,11,0,34,5,9,1,0,0,4,0,5,9,1,5,0,0,0,0,1,0,0,0,0,19,1,3,0,0,4,14,3,214,2,0,121,0,0,0,0,12,3,0,0,0,84,0,2,11,0,0,0,0,0,1,2,1,0,0,0,0,0,14,19,68,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,140,0,0,0,1,0,0,1,0,1,1,1,0,0,5,2,3
8,6,0,0,1,3,0,8,0,45,1,3,6,0,0,0,0,0,9,3,16,0,2,0,0,1,0,0,0,0,16,2,5,0,0,2,23,2,209,0,4,128,0,1,2,0,8,3,0,0,0,79,0,1,8,0,0,0,0,0,0,0,3,2,0,0,0,0,6,0,77,1,0,2,39,0,6,0,0,0,0,2,0,0,0,0,1,0,6,0,0,2,0,0,0,73,0,0,0,0,0,0,0,0,0,2,2,0,2,5,6,3
10,19,1,0,1,2,0,7,0,49,1,8,4,0,0,1,0,0,7,3,9,0,3,0,0,2,2,1,0,0,22,1,8,2,0,1,4,0,192,0,0,150,0,0,1,0,11,5,0,0,0,51,0,0,13,0,0,0,0,1,0,1,2,3,0,0,0,0,8,13,54,0,0,0,50,0,3,0,0,1,0,1,0,0,0,0,0,2,5,1,2,1,0,0,0,54,0,0,0,0,0,0,2,0,0,0,2,0,0,5,1,3
12,38,0,0,0,6,0,5,0,51,0,6,1,0,0,0,0,1,3,7,11,0,3,0,1,0,0,0,0,0,16,0,4,0,0,2,12,4,253,4,0,100,1,1,1,0,10,2,0,1,0,61,0,0,3,1,0,0,0,0,0,3,2,0,0,0,1,0,4,9,60,0,1,0,34,0,6,0,0,0,0,0,0,0,1,0,0,3,7,0,1,0,0,0,0,97,0,0,0,0,0,0,0,1,0,1,2,0,0,3,8,6
14,70,0,0,1,3,0,2,0,47,1,4,2,0,0,2,0,4,5,3,11,0,2,0,0,2,2,0,0,0,10,1,2,2,0,5,7,2,237,2,0,131,0,0,0,0,10,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,4,25,41,0,0,0,50,0,4,0,2,1,0,0,0,0,0,1,0,0,8,0,1,1,0,0,0,44,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,4
16,97,0,1,1,3,0,5,0,43,0,4,4,1,0,2,0,3,10,3,11,0,2,1,0,0,0,0,0,0,30,0,2,4,1,2,28,5,205,0,0,124,0,0,0,0,11,2,0,0,0,17,0,0,2,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,25,0,1,0,28,0,4,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,3,5,1,1,14,3,2
18,123,0,0,0,2,0,6,0,39,1,4,2,0,0,0,0,0,4,3,11,0,2,0,1,1,0,0,0,0,9,4,5,2,0,1,13,4,215,0,0,177,0,0,0,0,15,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,9,13,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1,2,0,0,0,24,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,5
