"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Dryas","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.sibiricum.type","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.nudum"
400,8614,19,0,1,0,0,10,108,0,1,0,0,1,0,0,300,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,4,0,2,1,2,0,6,1,0,10,0,0,0,0,3,0,0,8,0,12,16,0,14,35,0,0,0,2,18,0,0,0,14,0,1,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,18,3,0
420,9045,8,0,0,0,0,10,273,0,0,0,1,1,0,0,299,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,1,0,0,1,22,0,2,0,1,0,6,1,0,5,0,0,0,0,1,0,0,29,0,16,29,0,7,28,0,3,0,1,11,0,0,0,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,34,2,0
440,9476,0,0,0,0,0,11,233,0,0,0,2,0,0,1,79,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,10,0,11,0,0,0,8,5,0,5,0,0,0,0,2,0,6,38,0,34,8,0,3,9,0,1,0,1,30,0,0,0,18,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0
447,9627,1,0,0,0,0,2,47,0,1,0,1,2,0,0,126,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,1,3,0,0,0,3,4,0,14,0,0,0,0,3,0,1,49,0,6,9,0,9,4,0,2,0,1,46,3,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
454,9777,0,0,0,1,0,1,14,0,1,0,3,1,0,0,219,0,0,0,0,1,1,0,1,13,0,0,1,1,0,0,0,0,5,0,1,0,0,0,21,0,49,4,0,0,28,1,0,0,0,2,0,0,0,0,0,5,0,2,12,0,6,8,0,5,1,9,59,0,0,0,11,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,7,0,62,2,0
460,9907,1,0,0,0,0,1,14,0,1,0,8,1,0,0,316,0,0,1,1,0,0,0,2,15,0,0,0,0,0,1,0,0,2,1,0,0,0,0,55,0,37,3,0,0,23,1,0,1,0,0,0,0,2,0,0,5,0,4,8,0,10,8,0,5,0,9,65,0,0,0,17,0,0,1,0,0,25,0,0,0,0,1,1,0,0,0,0,3,0,62,4,0
467,10057,0,0,0,0,0,0,7,0,0,0,15,3,0,0,239,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,6,0,0,0,7,0,0,2,0,0,0,0,1,0,0,1,0,1,11,0,5,6,0,5,0,7,66,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,3,0,11,3,0
474,10208,0,0,0,0,0,0,5,0,2,1,10,0,0,0,239,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,6,0,1,7,0,8,2,0,7,0,0,28,0,0,0,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
480,10337,2,0,0,0,0,1,12,0,0,0,59,5,0,0,257,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,15,0,0,1,0,1,0,0,1,0,4,14,0,4,22,0,9,12,0,20,0,0,15,0,0,0,9,0,0,4,0,0,52,0,0,0,0,0,0,0,1,0,0,1,0,66,4,0
490,10553,0,0,1,2,0,1,6,0,0,1,1,3,0,0,11,0,0,0,2,0,0,0,0,197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,3,9,0,30,0,1,1,1,0,0,2,0,0,3,0,0,17,1,0,0,0,0,0,0,0,4,0,1,1,4,0,0
497,10703,2,0,0,0,0,3,2,0,2,0,5,0,0,0,28,0,3,1,15,0,0,0,0,69,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,11,47,0,2,18,0,98,1,0,3,1,1,0,5,1,0,17,0,1,63,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
500,10768,1,0,0,1,0,2,2,1,0,0,3,7,0,0,23,0,0,0,4,0,0,0,0,181,1,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,5,0,16,0,9,17,0,3,10,0,61,0,0,0,0,2,0,4,0,0,18,0,1,100,1,0,0,0,0,1,0,0,0,0,1,4,5,2,1
504,NA,0,0,0,0,0,0,5,0,0,0,7,13,1,0,16,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,7,7,0,0,3,0,16,0,0,4,0,0,0,5,16,0,3,0,0,66,0,0,1,0,0,0,0,0,0,0,3,2,2,1,0
510,NA,0,0,0,0,0,2,2,0,5,0,11,5,4,0,38,0,0,0,1,0,0,0,5,38,0,0,0,0,0,4,0,0,11,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,7,1,0,0,0,0,3,0,4,7,0,0,8,0,23,0,6,17,4,1,0,18,29,0,3,0,1,74,0,8,0,0,0,1,0,0,0,0,1,0,6,3,0
517,NA,1,0,0,0,0,3,7,0,8,0,6,4,1,0,43,1,0,0,5,0,0,0,1,41,0,0,0,0,1,0,0,0,8,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0,54,0,15,111,2,2,38,0,36,0,0,3,0,0,1,33,6,0,7,0,0,3,0,0,0,0,0,1,0,2,0,0,1,0,8,6,0
521,NA,0,0,0,0,0,5,4,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,19,14,0,0,16,0,21,0,0,1,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,14,1,0
