"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Ephedra.torreyana.type","Fraxinus.americana.type","Pinus","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Impatiens","Thalictrum","Rosaceae","Abies","Ostrya.Carpinus","Acer.negundo","Rumex","Iva.xanthifolia","Carya","Iva.annua","Ephedra.nevadensis.type","Xanthium","Acer.rubrum","Dalea.purpurea","Tsuga","Platanus","Amorpha","Lamiaceae","Ranunculus","Fagus","Juglans.nigra","Dalea.candida.type","Plantago","Apiaceae","Brassicaceae","Shepherdia.argentea","Celtis","Shepherdia.canadensis","Ericaceae"
700,8781,386,107,7,17,1,7,19,2,0,0,0,1,45,3,1,0,5,5,4,39,0,2,47,0,65,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
710,8954,332,91,5,21,1,1,11,1,1,0,0,9,23,3,1,0,4,14,4,24,0,1,85,0,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9103,390,53,14,13,7,4,18,5,1,1,0,6,18,7,0,0,5,5,11,24,0,3,150,0,36,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
730,9228,361,45,9,7,1,17,10,0,0,0,0,4,11,1,1,0,3,8,10,10,0,0,187,1,30,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,9353,409,35,12,17,2,5,14,3,2,1,0,5,8,5,1,0,7,7,5,15,0,1,222,2,26,0,2,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
760,9603,332,14,5,5,2,3,6,1,0,1,0,1,10,3,1,0,7,9,2,4,0,0,236,0,17,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,10245,324,6,27,2,3,0,9,1,0,2,0,6,6,2,1,0,0,16,3,6,0,0,224,0,5,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
790,10566,315,7,27,0,0,1,3,1,0,2,0,9,8,1,0,0,1,15,0,2,0,0,227,2,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,10887,352,7,20,0,3,1,4,6,3,1,0,12,10,1,0,0,1,18,2,3,0,2,236,5,7,1,4,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,NA,316,12,16,1,3,8,4,7,1,2,0,27,7,0,0,0,2,4,0,1,0,4,201,5,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,NA,342,33,21,3,3,7,7,10,0,9,0,144,12,5,0,0,4,8,1,4,0,3,38,3,15,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
830,NA,357,48,28,2,0,8,22,9,0,8,0,149,7,14,0,0,4,10,7,1,0,0,4,6,13,1,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
840,NA,330,42,11,1,0,6,14,1,0,7,0,200,6,12,1,0,1,2,4,2,0,0,12,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
850,NA,341,51,16,5,0,6,20,3,0,5,0,170,8,5,0,0,6,4,3,3,0,0,10,11,9,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
860,NA,353,62,4,4,0,1,6,2,0,3,0,218,2,1,1,0,6,6,2,7,0,0,11,0,9,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
870,NA,333,44,9,9,2,4,9,6,0,0,0,194,9,3,0,0,0,4,1,10,0,1,4,5,3,0,5,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,NA,364,17,0,1,0,0,5,0,0,0,0,313,2,0,0,0,3,1,0,11,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,NA,312,20,6,5,0,0,48,3,0,2,0,163,4,14,0,0,2,1,0,8,0,0,19,0,9,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,NA,352,23,8,0,0,5,40,4,0,1,0,213,3,3,0,0,3,5,2,12,0,0,8,4,6,0,4,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
