"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Iva.xanthifolia","Larix","Lycopodium.type","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Onagraceae","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella.rupestris","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,-17,22,0,0,0,27,0,0,0,0,1,1,0,69,0,0,0,0,3,19,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,0,40,10,0,15,0,0,0,1,0,0,5,0,0,0,0,0,1,6,2,3,0,0,3
10,95,39,0,0,0,18,0,0,0,0,0,0,0,96,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,29,8,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0
20,221,31,0,0,0,12,0,0,0,0,1,0,1,81,0,0,1,1,0,7,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,57,9,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,4,1,0,1,0,1
30,346,64,0,0,0,23,1,1,1,0,1,1,0,64,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,1,2,0,0,0,34,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
40,471,27,0,0,0,20,0,0,0,0,1,1,0,100,2,0,0,0,4,8,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,34,6,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,2
50,597,40,0,0,2,15,0,0,0,0,0,0,0,95,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,2,1,0,0,0,37,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
60,722,35,0,0,0,10,0,0,0,0,0,0,0,92,1,0,0,0,2,6,0,1,0,1,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,50,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
70,847,30,0,0,0,13,0,0,0,1,1,0,0,111,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
80,972,34,0,0,0,15,0,0,0,0,0,0,0,111,1,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,34,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0
90,1098,34,0,1,1,12,0,0,0,1,0,0,0,99,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,42,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2
100,1223,39,0,0,0,12,0,0,0,0,0,0,0,103,2,0,0,1,2,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,33,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
110,1348,34,0,0,0,9,0,0,0,0,0,0,0,117,0,0,0,0,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1474,21,0,0,0,6,0,0,0,0,0,0,0,132,0,0,0,0,2,5,0,0,1,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,28,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0
130,1599,45,0,0,0,6,0,0,0,0,0,0,0,120,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,21,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,1724,36,0,1,0,13,0,0,0,0,0,0,0,106,0,0,0,0,5,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
170,2100,26,0,0,0,18,0,0,0,0,0,1,0,112,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,31,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1
180,2225,42,0,0,0,37,0,0,0,0,0,1,0,72,0,0,0,1,1,12,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,34,9,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
190,2350,38,0,0,0,18,0,1,0,0,0,0,0,105,0,0,0,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2476,31,0,0,0,23,0,0,0,0,0,0,0,115,0,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,21,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
210,2601,53,0,0,0,20,0,0,0,0,0,1,0,83,0,0,0,0,3,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
220,2726,37,0,0,0,21,0,1,0,0,0,0,0,97,0,0,0,0,2,3,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
230,2852,26,0,2,0,24,0,0,0,0,0,1,0,114,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,26,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
240,2977,61,0,0,0,21,0,0,0,0,0,0,0,68,0,0,0,0,0,3,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
250,3102,21,0,0,0,35,0,0,0,0,0,0,0,111,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,18,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
260,3227,35,0,0,1,37,0,0,0,0,0,0,0,86,0,0,0,0,2,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,3353,13,0,0,1,31,0,0,0,0,1,0,0,126,0,0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,3478,36,0,0,0,23,0,0,0,0,0,0,0,114,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
