"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Campanulaceae","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.nigra.type","Galium","Gentianaceae","Huperzia.lucidula","Ilex","Indeterminable","Indeterminable.undiff.","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liquidambar","Lycopodiaceae.undiff.","Myrica","Myriophyllum","Nemopanthus","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Sarracenia","Saxifragaceae","Selaginella","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.undiff.","Ulmus","Unknown","Urtica.type","Utricularia","Viburnum","Vitis"
10,35,0,9,13,2,2,102,0,2,7,0,41,0,0,0,0,3,0,5,0,0,7,2,2,0,47,28,0,8,1,0,0,0,0,0,17,22,0,1,0,0,0,0,0,0,0,0,16,2,0,31,29,5,0,0,0,31,0,3,7,0,0,0,40,0,0,2,5,0,3,0,0,2,0,0,0,0,6,0,0,61,1,0,10,2,0,0,0,0
14,71,0,6,12,1,2,87,1,2,11,0,31,0,0,0,0,2,0,2,0,2,4,2,2,0,22,31,0,6,1,0,0,0,0,0,9,16,0,0,0,0,1,0,0,0,4,0,22,0,0,31,33,3,0,0,3,20,0,5,4,0,5,0,38,0,0,0,9,0,5,0,0,0,0,0,0,0,6,0,3,82,0,0,16,1,0,0,0,1
20,132,0,4,6,0,0,22,0,3,3,0,24,0,0,0,0,3,0,1,0,0,2,0,3,0,9,34,0,0,1,0,0,0,0,0,19,20,2,0,0,0,0,0,0,0,1,3,7,0,0,26,36,0,0,0,2,3,0,1,8,0,0,0,35,0,0,0,2,0,3,0,0,1,0,0,0,0,4,0,4,109,0,0,7,2,0,0,0,0
24,179,0,2,13,4,0,8,0,0,1,0,34,0,0,0,0,4,0,1,0,0,2,1,1,0,4,26,0,2,1,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,1,0,13,0,0,35,32,0,1,0,1,5,0,0,0,0,0,0,50,0,0,0,5,0,2,0,0,0,0,0,0,0,5,0,3,102,0,0,4,4,0,0,0,0
30,260,0,4,4,1,0,3,0,0,1,0,21,0,0,0,0,3,0,4,0,0,0,0,1,0,3,19,0,2,1,0,0,0,0,0,18,20,1,0,0,1,0,0,0,0,0,1,5,0,0,37,50,0,0,0,1,3,0,0,0,0,0,1,36,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,121,0,0,4,1,0,0,0,0
40,430,0,2,9,2,0,3,0,0,1,0,37,0,0,0,0,7,0,5,0,0,0,0,0,0,9,22,0,5,3,0,0,0,0,0,27,24,0,0,0,0,2,0,0,0,0,0,16,0,0,24,43,1,0,0,0,0,0,0,3,0,0,1,36,0,0,0,1,0,1,1,0,0,0,0,0,0,9,0,2,100,0,0,4,2,0,0,0,0
50,642,0,2,6,1,0,3,0,0,0,0,35,0,0,0,0,2,0,1,0,0,0,1,0,0,6,28,0,3,0,0,0,0,0,0,21,4,1,0,0,0,0,0,0,0,0,0,14,0,0,12,35,0,0,0,1,1,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,109,0,0,4,0,0,0,0,0
60,892,0,3,12,0,0,1,0,0,0,0,33,0,0,1,0,2,0,7,0,0,1,1,1,0,3,23,0,2,0,0,0,0,2,0,28,28,0,0,0,1,0,1,0,0,1,0,19,0,0,16,40,0,0,0,2,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,102,0,0,3,1,0,0,0,0
70,1173,0,3,10,1,0,1,0,1,0,0,23,0,0,0,0,1,0,1,0,0,1,1,0,0,3,51,0,4,0,0,0,0,0,0,24,36,2,1,0,1,0,1,0,0,0,2,9,0,0,9,43,1,0,0,2,0,0,0,2,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,0,4,2,0,0,1,0
80,1477,0,3,16,1,0,2,0,1,2,0,33,0,0,0,0,3,0,17,0,0,1,0,0,0,8,62,0,4,1,0,0,0,0,0,15,27,0,0,0,0,0,0,0,0,5,0,12,0,0,11,25,0,0,0,3,1,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,10,0,0,0,0,0
