"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown"
1,-17,1,1,0,12,36,3,92,2,6,0,101,2,0,0,0,1,29,6,0,0,0,0,2,1,1,0,16,0,2,0,3,1,0,0,3,2,16,55,0,0,65,5,0,0,21,0,1,0,2,0,0,0,0,2,13,1,24,9
20,13,0,0,1,14,17,8,142,3,0,2,67,3,0,0,0,0,29,17,0,0,1,0,9,0,1,0,25,0,0,1,3,0,0,0,4,4,0,0,89,2,80,3,0,1,32,0,2,0,2,0,0,0,0,3,14,1,13,21
40,52,1,0,0,5,20,6,52,1,5,0,25,0,0,0,0,1,13,8,13,0,2,0,2,0,4,0,51,0,1,0,0,0,0,0,2,1,13,92,0,0,140,2,0,7,17,0,4,0,3,0,0,0,0,10,19,0,7,10
60,106,6,0,0,7,8,6,74,1,1,0,38,0,0,1,0,0,19,20,3,0,0,0,7,0,0,0,15,0,0,1,6,0,1,0,7,3,19,138,0,0,81,0,0,10,17,0,8,0,7,0,0,0,0,7,17,3,5,2
70,141,3,0,0,13,1,4,19,1,1,0,22,2,1,0,0,0,24,12,6,0,0,0,20,5,3,1,21,0,0,0,1,1,0,0,10,1,9,129,0,1,65,1,0,3,26,1,2,0,3,0,0,0,0,7,34,1,24,2
80,183,1,1,1,23,3,0,1,2,1,0,61,1,0,0,0,0,23,6,0,0,0,0,21,4,8,0,4,0,2,1,1,0,0,1,9,3,13,146,0,0,2,1,1,0,55,0,0,0,1,0,0,0,0,10,49,1,36,0
90,232,1,0,1,23,5,0,0,1,1,0,23,5,0,0,0,0,31,10,0,0,0,0,30,2,4,0,8,0,3,1,2,0,0,0,31,1,7,37,0,4,0,0,0,0,35,0,0,0,0,0,0,0,0,1,63,0,28,1
100,287,2,0,0,34,0,1,1,0,1,0,44,5,0,0,0,0,10,7,1,0,0,0,36,8,5,1,7,0,0,0,3,0,0,0,21,0,3,12,0,2,6,1,0,0,31,0,0,1,1,0,0,0,0,8,64,0,47,1
120,417,1,0,1,41,1,0,0,0,2,0,36,4,0,0,0,1,13,24,0,0,1,0,74,3,4,0,19,0,2,0,4,0,0,1,6,2,0,0,22,0,5,1,0,0,18,0,0,0,0,0,0,0,0,2,69,1,33,0
140,571,0,0,0,34,4,0,2,0,3,0,23,3,0,0,0,0,10,17,2,0,0,0,96,2,7,0,14,0,2,0,0,0,0,0,9,1,0,0,26,1,6,1,0,1,23,0,0,0,0,0,0,0,1,4,60,1,44,1
160,747,0,0,0,35,6,0,1,0,0,0,35,5,0,0,0,1,13,11,2,0,0,0,56,6,5,0,7,0,1,0,0,0,0,0,15,0,0,0,15,1,3,0,0,1,30,0,0,1,0,0,0,0,0,9,49,1,31,1
180,944,0,0,0,25,4,0,2,0,1,0,34,4,0,0,0,0,5,20,0,0,0,0,80,4,8,0,11,0,2,0,0,0,1,0,13,1,0,0,16,0,1,1,0,0,11,0,0,0,1,0,0,0,0,8,47,0,48,2
200,1160,0,0,0,43,5,1,1,0,1,0,29,2,0,0,0,1,8,17,1,0,0,0,83,7,6,0,15,0,2,0,0,0,0,0,20,2,0,0,28,0,2,0,1,1,20,0,0,0,0,0,0,0,0,4,62,0,34,1
220,1393,0,0,0,46,1,1,0,0,1,0,25,3,0,0,0,0,12,18,1,0,0,0,64,3,1,0,12,0,0,0,1,0,0,1,15,2,0,0,31,0,4,1,1,1,19,0,0,0,0,0,0,0,0,7,49,0,33,2
240,1640,1,0,0,35,0,1,1,1,2,0,48,4,0,0,0,0,14,13,1,0,0,0,94,5,5,0,13,0,1,1,0,0,0,0,10,1,0,0,17,2,4,0,0,0,18,0,0,0,0,0,0,0,0,4,31,0,49,1
260,1901,0,0,0,37,3,0,2,0,2,0,46,3,0,1,0,1,14,12,0,0,0,0,77,6,6,0,11,0,0,0,1,0,0,0,20,1,0,0,10,3,8,0,0,0,21,0,0,0,1,0,0,0,0,3,27,0,42,0
280,2174,0,0,1,39,4,2,0,0,1,0,34,4,0,0,0,1,19,19,1,0,0,0,74,7,5,0,12,0,0,0,0,0,0,0,15,1,0,0,25,1,2,0,2,0,24,0,0,0,1,0,0,0,1,3,33,1,26,1
300,2455,3,0,0,51,0,0,2,2,0,0,35,5,0,1,0,0,13,19,0,0,0,0,77,7,4,0,17,0,0,0,1,0,0,0,8,2,0,0,34,1,6,1,0,0,20,0,0,3,0,0,0,0,0,4,28,4,33,0
320,2745,2,0,0,43,0,1,0,0,0,0,59,7,0,0,0,0,19,14,1,0,0,0,74,9,9,0,8,0,1,0,0,1,0,0,10,1,0,0,29,5,1,1,1,0,31,0,0,0,0,0,0,0,0,5,29,0,52,0
340,3040,0,0,1,37,2,0,1,0,4,0,26,2,0,1,0,1,25,15,0,0,0,0,68,5,5,0,14,0,4,0,2,0,0,0,13,1,0,0,20,0,3,0,0,0,18,0,0,1,0,0,0,0,0,3,31,2,35,1
