"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Fraxinus.americana.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Thalictrum","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Ostrya.Carpinus","Carya.ovata","Corylus.cornuta","Rumex.type","Juglans.cinerea","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Plantago","Castanea.dentata","Taxus","Picea.glauca.type","Ranunculaceae.undiff.","Myrica.gale","Amaranthaceae","Impatiens","Ilex.Nemopanthus","Pinus.resinosa.type","Fabaceae.undiff.","Potentilla.palustris.type","Rhamnus.alnifolia.R..frangula","cf..Sarcobatus.vermiculatus","Acer.saccharinum","Caryophyllaceae","Shepherdia.canadensis","Onagraceae","Elaeagnus.commutata","Polygonum.viviparum","Apiaceae","Picea.rubens.type","Salix.vestita.type","Caprifoliaceae.undiff.","Salix.herbacea.type","Dryas","Oxytropis.maydelliana.type","Viburnum.nudum","Asteraceae.subf..Cichorioideae","Saxifraga.oppositifolia.type","Sambucus","Brassicaceae","Prunus.pensylvanica"
0,-1,627,1,13,9,1,1,278,1,1,10,2,1,2,33,125,3,8,2,1,2,1,5,9,1,17,63,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,431,447,0,22,7,0,0,238,0,1,4,1,1,0,20,71,2,2,1,0,4,0,7,1,2,10,23,4,17,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,861,415,0,27,18,0,1,223,1,1,3,3,0,0,17,35,0,3,1,1,1,0,8,5,1,15,32,4,11,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1292,427,1,17,6,0,0,221,1,0,2,2,0,2,17,76,2,2,2,0,0,0,3,6,4,18,32,1,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1723,603,0,26,18,0,1,229,3,0,4,5,2,1,22,132,1,5,1,1,1,0,4,8,5,22,91,5,10,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2154,468,0,18,8,0,0,189,4,0,1,3,0,6,8,95,1,4,3,0,1,1,4,21,1,11,41,0,43,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2584,412,0,17,11,0,0,185,0,0,5,2,0,0,33,31,1,6,1,0,2,0,5,5,4,24,58,6,10,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3015,444,0,12,12,1,1,158,2,2,3,1,0,0,35,65,0,0,1,1,3,0,13,26,0,5,80,0,17,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3446,408,0,15,11,0,3,161,2,0,3,2,0,0,18,42,0,5,1,1,0,0,4,9,5,18,89,2,6,0,0,0,0,1,0,3,0,1,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3877,702,0,25,15,0,0,314,0,1,10,4,1,0,24,62,4,6,2,0,3,0,7,17,5,31,147,1,11,0,0,1,0,0,1,1,0,0,2,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
