"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Fraxinus.americana.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Thalictrum","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Ostrya.Carpinus","Carya.ovata","Corylus.cornuta","Rumex.type","Juglans.cinerea","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Plantago","Castanea.dentata","Taxus","Picea.glauca.type","Ranunculaceae.undiff.","Myrica.gale","Amaranthaceae","Impatiens","Ilex.Nemopanthus","Pinus.resinosa.type","Fabaceae.undiff.","Potentilla.palustris.type","Rhamnus.alnifolia.R..frangula","cf..Sarcobatus.vermiculatus","Acer.saccharinum","Caryophyllaceae","Shepherdia.canadensis","Onagraceae","Elaeagnus.commutata","Polygonum.viviparum","Apiaceae","Picea.rubens.type","Salix.vestita.type","Caprifoliaceae.undiff.","Salix.herbacea.type","Dryas","Oxytropis.maydelliana.type","Viburnum.nudum","Asteraceae.subf..Cichorioideae","Saxifraga.oppositifolia.type","Sambucus","Brassicaceae","Prunus.pensylvanica"
200,4307,603,1,13,5,1,0,283,4,3,7,1,1,1,20,94,3,8,2,0,0,0,2,11,4,30,85,2,13,0,0,0,1,1,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4738,496,0,22,2,0,1,238,4,0,2,3,0,0,20,45,0,4,2,1,1,0,12,2,4,30,83,2,7,0,0,0,0,0,0,1,0,1,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5169,601,0,20,8,0,0,259,4,0,3,3,0,1,21,53,1,8,3,0,0,0,4,16,4,45,127,7,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5599,474,0,18,11,0,1,207,2,0,4,2,0,0,15,43,0,3,4,0,2,0,3,6,0,24,108,12,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6030,462,0,15,6,0,0,216,6,0,3,3,1,0,16,61,0,3,2,1,1,0,3,8,1,34,44,12,9,0,0,2,0,0,0,2,0,0,2,1,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6461,571,0,19,10,1,2,312,2,0,2,2,3,1,14,66,0,8,4,0,1,0,3,27,2,9,45,3,22,0,1,0,0,1,0,0,0,1,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6892,594,0,19,13,0,0,328,5,0,4,5,0,0,20,39,4,16,6,0,1,0,1,9,1,53,38,4,12,0,1,1,0,3,0,4,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7322,465,1,3,24,0,1,304,3,0,1,1,0,1,16,22,1,14,2,1,1,0,0,4,5,22,14,1,14,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7753,494,0,3,52,0,0,279,7,0,0,1,3,0,16,25,3,4,1,0,0,0,2,22,1,22,16,0,18,0,0,0,1,1,0,0,0,0,0,2,0,0,3,2,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,8184,616,0,5,69,0,2,375,1,0,0,2,2,0,14,27,7,10,2,0,3,0,3,26,1,19,6,1,12,2,0,0,3,3,0,4,0,0,0,0,0,0,3,0,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8614,597,0,10,108,1,0,300,4,0,0,5,0,2,8,35,18,14,1,0,2,0,0,19,0,16,14,0,12,2,0,1,3,3,0,1,0,0,0,1,0,0,5,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,9045,755,0,10,273,0,1,299,8,1,0,0,1,1,29,28,11,13,1,0,2,0,3,8,0,29,7,2,16,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9476,505,0,11,233,0,2,79,5,0,0,2,0,0,38,9,30,18,4,1,11,0,1,0,0,8,3,0,34,1,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,9627,355,0,2,47,1,1,126,7,0,1,0,0,0,49,4,46,9,2,0,3,0,2,1,0,9,9,1,6,1,0,0,5,3,0,1,0,1,0,2,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,9777,458,0,1,14,1,3,219,13,0,0,5,0,0,5,8,59,11,7,0,49,0,5,0,1,12,6,0,2,9,0,4,16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9907,569,0,1,14,1,8,316,15,0,0,2,1,0,5,8,65,17,3,1,37,0,5,1,0,8,10,0,4,9,0,3,25,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,10057,402,0,0,7,0,15,239,9,0,0,4,0,0,1,6,66,2,3,0,6,0,5,0,0,11,5,0,1,7,0,0,6,1,0,2,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,10208,370,0,0,5,2,10,239,16,1,0,1,0,0,6,2,28,7,3,0,1,0,7,0,0,7,8,0,1,0,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,10337,565,0,1,12,0,59,257,55,0,0,0,0,0,14,12,15,9,1,4,2,0,20,2,0,22,9,0,4,0,1,0,52,1,0,0,0,2,0,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,10553,317,0,1,6,0,1,11,197,0,1,0,0,0,0,9,1,2,1,3,0,0,30,0,2,9,3,4,1,1,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0
497,10703,455,0,3,2,2,5,28,69,0,0,4,3,0,38,18,3,5,2,17,3,0,98,2,0,47,2,0,11,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,15,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
500,10768,484,0,2,2,0,3,23,181,2,1,0,1,0,16,10,0,4,1,18,2,0,61,1,1,17,3,0,9,0,0,0,100,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,1,0,1,1,5,1,0,0,0,0,0
504,NA,222,0,0,5,0,7,16,29,0,0,0,0,0,13,3,4,5,3,3,2,0,16,0,0,7,0,0,7,0,0,0,66,0,0,0,0,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
510,NA,343,0,2,2,5,11,38,38,0,0,11,4,0,3,8,17,18,1,3,3,0,23,0,0,7,0,0,4,6,0,0,74,0,0,5,0,0,0,5,0,0,0,0,29,0,0,0,0,0,4,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0
517,NA,457,0,3,7,8,6,43,41,1,0,8,1,0,54,38,3,33,1,7,1,0,36,1,0,111,2,0,15,0,2,0,3,0,0,1,0,0,0,4,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
521,NA,124,0,5,4,0,1,15,13,0,0,0,2,0,2,16,1,6,0,0,1,0,21,0,0,14,0,0,19,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
