"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Pteridium","Quercus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,564,1,9,2,0,0,0,0,0,13,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,5,5,116,2,0,1,17,0,0,0,3,0,0,1,14,0,7,0
20,1037,0,4,1,0,0,0,0,0,7,0,1,0,0,0,1,1,0,4,0,1,0,1,1,0,0,1,1,0,1,3,2,123,3,0,0,11,1,0,0,1,0,0,1,28,1,7,0
40,1534,1,5,2,1,9,1,0,0,11,0,2,0,0,0,5,0,0,2,1,0,0,4,0,0,0,1,0,0,0,2,5,100,7,0,1,11,0,0,0,45,0,0,0,23,11,11,1
60,2031,1,7,0,1,1,1,0,0,10,0,1,0,0,1,6,0,0,3,2,0,0,3,0,1,0,1,0,0,0,6,1,111,3,0,5,12,1,0,0,17,0,0,2,21,4,6,0
80,2527,1,4,2,2,5,0,0,0,8,0,1,0,0,1,6,2,0,1,1,0,4,5,0,1,0,0,0,0,0,2,1,121,2,0,6,4,0,0,0,1,0,0,1,30,0,5,0
100,3022,1,2,3,0,2,0,0,0,10,0,2,0,0,0,4,0,0,1,2,0,0,6,0,0,1,0,0,0,0,3,4,107,1,0,6,13,1,0,0,0,0,0,1,40,1,1,0
120,3515,1,8,2,0,0,0,0,0,9,0,0,0,0,0,2,1,0,4,0,2,0,2,0,0,0,0,0,0,0,6,1,119,0,0,0,13,0,0,0,0,0,0,3,13,0,17,0
140,4008,0,11,2,0,0,0,0,0,9,0,1,0,0,1,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,4,1,132,0,0,0,15,0,0,0,0,0,0,1,5,0,10,0
160,4498,0,7,1,0,0,0,0,0,9,0,2,0,1,0,1,0,0,6,0,1,0,0,0,0,0,1,1,0,0,5,1,121,0,0,0,22,0,0,0,0,0,1,2,7,0,12,0
180,4987,0,15,5,0,0,0,0,0,11,0,1,0,0,0,0,0,0,8,2,2,0,2,0,0,0,0,0,0,0,12,3,77,1,0,0,28,0,0,0,0,0,0,4,16,0,15,0
200,5473,0,8,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,10,2,0,0,2,0,0,0,0,0,0,0,8,1,76,0,0,1,6,0,0,0,0,0,0,2,62,0,15,0
