"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Caryophyllaceae","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Larix","Picea","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Iva.xanthifolia","Plantago","Ranunculus","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Ostrya","Artemisia","Salix","Sarcobatus.vermiculatus","Rosaceae","Asteraceae.subf..Cichorioideae","Iva.annua","Platanus","Corylus","Impatiens","Thalictrum","Taxus","Shepherdia.canadensis"
1,-28,300,2,93,4,1,2,6,3,13,1,1,2,2,25,1,1,5,1,6,1,2,34,26,3,30,1,1,1,21,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0
20,1,439,2,152,0,0,4,10,4,27,0,0,0,1,18,3,4,5,2,16,0,2,76,20,3,38,0,5,0,19,5,4,7,2,5,2,3,0,0,0,0,0,0,0,0
40,31,294,1,121,1,1,3,8,1,7,0,0,0,1,10,1,4,10,1,6,0,2,52,8,0,32,0,1,0,11,0,2,5,2,1,0,0,1,1,0,0,0,0,0,0
60,62,301,2,77,0,0,3,4,1,13,0,0,0,3,11,8,2,36,3,19,0,2,45,17,1,24,0,1,0,10,4,1,10,0,4,0,0,0,0,0,0,0,0,0,0
80,93,300,6,91,1,0,0,4,0,33,0,0,2,3,10,5,2,45,0,23,0,1,8,35,0,6,0,0,0,19,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
90,130,300,3,88,2,0,0,17,0,40,0,0,0,0,20,0,1,54,0,19,0,2,3,15,0,2,0,0,0,16,1,2,11,1,1,0,0,0,0,2,0,0,0,0,0
100,190,300,2,90,1,0,1,6,0,38,0,0,0,2,17,0,5,37,0,33,0,1,0,27,1,0,0,0,0,20,0,2,15,1,0,0,1,0,0,0,0,0,0,0,0
120,309,304,2,112,3,0,0,6,2,30,2,0,0,1,24,0,6,20,1,22,0,2,0,27,0,0,0,0,0,19,3,4,15,1,0,0,0,0,0,2,0,0,0,0,0
140,428,299,1,62,4,0,0,0,0,37,4,0,1,3,22,0,7,36,0,31,0,2,2,27,1,0,0,0,0,26,1,2,27,2,0,0,1,0,0,0,0,0,0,0,0
160,546,306,1,96,2,0,0,1,0,28,1,0,1,1,21,0,4,52,1,30,0,2,3,10,0,1,0,0,0,16,3,2,27,0,2,0,0,0,0,1,0,0,0,0,0
180,665,299,0,84,2,0,1,12,0,35,0,0,0,2,20,0,8,31,1,38,0,1,1,18,1,1,1,0,0,16,3,2,19,0,0,0,0,0,0,2,0,0,0,0,0
200,784,301,1,76,0,0,0,10,0,40,0,0,1,1,14,0,10,60,0,37,0,3,1,10,1,0,0,0,0,21,2,2,9,0,0,0,0,0,0,1,1,0,0,0,0
220,903,300,3,56,0,0,0,26,1,36,1,0,0,0,24,0,5,44,0,43,0,1,1,8,1,0,0,0,0,21,5,9,10,0,4,0,0,0,0,1,0,0,0,0,0
240,1033,305,4,39,5,0,0,6,3,58,1,0,0,3,24,0,6,42,0,36,1,2,2,14,0,0,0,0,0,35,3,5,14,0,1,0,0,0,0,1,0,0,0,0,0
260,1195,301,2,32,1,0,0,8,1,62,1,0,0,4,19,0,9,74,0,22,0,0,1,12,0,1,0,0,0,28,2,7,10,1,0,0,0,0,0,4,0,0,0,0,0
280,1357,300,0,41,0,0,1,6,1,93,0,0,0,2,13,0,10,32,0,31,0,2,0,15,1,0,0,0,0,24,2,5,17,2,2,0,0,0,0,0,0,0,0,0,0
300,1519,303,2,42,1,0,0,8,1,86,0,0,0,1,29,0,7,41,0,30,0,0,0,15,0,1,0,0,0,27,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0
320,1681,299,2,45,2,0,0,21,0,77,0,0,1,1,14,0,5,48,1,24,0,0,0,19,0,0,0,0,0,26,2,0,9,0,0,0,0,0,0,1,0,1,0,0,0
340,1843,304,3,49,4,0,0,2,2,105,0,0,0,1,17,0,5,32,0,21,0,0,1,15,0,1,0,0,0,26,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
