"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Galium","Picea","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Fabaceae","Juniperus.type","Fraxinus","Pinus","Populus","Poaceae","Urtica","Ranunculus","Oxyria.digyna.type","Ulmaceae","Apocynum","Fagus","Alnus","Liliaceae","Cornus","Juglans","Plantago","Campanula","Quercus","Apiaceae","Lamiaceae","Rosaceae","Polygonum","Impatiens","Myrica","Eupatorium","Sphaeralcea","Acer","Primulaceae","Viola","Linum","Morus","Scrophulariaceae","Asteraceae.subf..Cichorioideae","Caryophyllaceae.cf..Dianthus","Elaeagnus","Sarcobatus.vermiculatus","Cupressaceae.undiff.","Taxus"
6,67,0.0619834710743802,0.0867768595041322,0.0165289256198347,0.00826446280991736,0.152892561983471,0.00413223140495868,0.00413223140495868,0.012396694214876,0.0206611570247934,0.0165289256198347,0.00413223140495868,0.0289256198347107,0.00826446280991736,0.00826446280991736,0.0206611570247934,0.0454545454545455,0.347107438016529,0.0661157024793388,0.0743801652892562,0.00413223140495868,0.00413223140495868,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,270,0.140625,0.08203125,0.05078125,0.01953125,0.09765625,0,0,0.015625,0.0234375,0.046875,0.0078125,0.01953125,0,0.00390625,0.01171875,0.1171875,0.203125,0.09375,0.01171875,0.01171875,0,0,0.0078125,0.00390625,0.01171875,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,473,0.125,0.0541666666666667,0.0416666666666667,0.0208333333333333,0.1375,0,0.00416666666666667,0.0125,0.00416666666666667,0.0208333333333333,0.00416666666666667,0.0375,0,0.0291666666666667,0.0208333333333333,0.0833333333333333,0.270833333333333,0.0916666666666667,0.00833333333333333,0,0,0.00416666666666667,0,0,0.0125,0.00416666666666667,0,0,0,0.00833333333333333,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,676,0.106995884773663,0.0740740740740741,0.00823045267489712,0.00823045267489712,0.135802469135802,0,0,0.0164609053497942,0,0.0246913580246914,0.00823045267489712,0.0534979423868313,0,0.0288065843621399,0.0205761316872428,0.102880658436214,0.238683127572016,0.102880658436214,0.0288065843621399,0.00411522633744856,0,0,0,0,0.0329218106995885,0,0,0,0,0,0,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,880,0.132075471698113,0.181132075471698,0.030188679245283,0.0113207547169811,0.090566037735849,0,0,0.00377358490566038,0.0188679245283019,0.0339622641509434,0.0113207547169811,0.0226415094339623,0,0.00377358490566038,0.0113207547169811,0.10188679245283,0.177358490566038,0.116981132075472,0.0264150943396226,0,0,0.00377358490566038,0.00377358490566038,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1083,0.134099616858238,0.0957854406130268,0.0306513409961686,0.0191570881226054,0.157088122605364,0,0.00766283524904215,0.00766283524904215,0.0191570881226054,0.0114942528735632,0.0114942528735632,0.0153256704980843,0,0.0229885057471264,0.0268199233716475,0.0957854406130268,0.157088122605364,0.118773946360153,0.00766283524904215,0.00383141762452107,0,0.00383141762452107,0,0,0.0344827586206897,0,0,0,0,0,0,0,0.00766283524904215,0.00766283524904215,0.00383141762452107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1286,0.152263374485597,0.111111111111111,0.0411522633744856,0,0.0452674897119342,0.00411522633744856,0,0.00823045267489712,0.00823045267489712,0.0288065843621399,0,0.0329218106995885,0,0.0164609053497942,0.0246913580246914,0.181069958847737,0.156378600823045,0.131687242798354,0.00823045267489712,0.00823045267489712,0,0,0.00411522633744856,0,0.00823045267489712,0,0,0.00411522633744856,0,0.0123456790123457,0,0,0.00411522633744856,0.00411522633744856,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1489,0.127413127413127,0.0463320463320463,0.0501930501930502,0.0231660231660232,0.0694980694980695,0,0,0.00386100386100386,0.0115830115830116,0.0308880308880309,0.0115830115830116,0.0154440154440154,0,0.0231660231660232,0.0231660231660232,0.173745173745174,0.11969111969112,0.158301158301158,0.0193050193050193,0.0115830115830116,0,0,0.0231660231660232,0,0.0540540540540541,0,0,0,0,0,0,0,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1659,0.16260162601626,0.056910569105691,0.0528455284552846,0.0040650406504065,0.065040650406504,0.008130081300813,0.0040650406504065,0.008130081300813,0.008130081300813,0.0284552845528455,0.008130081300813,0.0447154471544715,0,0.016260162601626,0.032520325203252,0.16260162601626,0.065040650406504,0.17479674796748,0.0528455284552846,0.0121951219512195,0,0,0,0,0.016260162601626,0.0040650406504065,0,0.0040650406504065,0,0,0.0040650406504065,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.5,1853,0.0854700854700855,0.0598290598290598,0.047008547008547,0.0128205128205128,0.14957264957265,0,0.00427350427350427,0.00427350427350427,0,0.0213675213675214,0.00427350427350427,0.0170940170940171,0,0.0299145299145299,0.0213675213675214,0.11965811965812,0.170940170940171,0.158119658119658,0.0128205128205128,0.00854700854700855,0,0.0128205128205128,0.00427350427350427,0,0.0299145299145299,0,0,0,0.00854700854700855,0,0.00427350427350427,0,0,0,0,0.00427350427350427,0.00427350427350427,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0
