"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,645,0,7,4,0,4,0,0,32,7,8,0,0,3,2,1,2,0,16,3,0,4,2,9,2,0,0,4,0,12,8,1,0,0,4,10,10,162,0,0,203,0,0,0,0,1,7,1,0,20,0,0,10,2,0,2,22,0,0,0,0,0,3,28,0,0,0,3,25,1,0,0,0
8,-30,778,0,1,4,1,6,0,0,45,6,4,0,0,1,3,0,0,3,18,5,1,0,2,8,2,0,0,0,0,18,6,0,0,0,4,7,3,152,1,0,241,0,0,0,0,0,12,10,0,56,0,1,18,1,0,0,38,0,0,0,0,0,6,64,2,0,0,0,28,0,0,0,0
16,-9,758,0,6,5,0,4,0,0,59,7,10,3,0,7,1,2,0,1,5,5,6,0,5,1,4,0,0,0,1,21,5,1,1,0,2,3,0,111,0,2,231,0,1,0,0,0,9,3,1,76,0,0,18,1,0,0,35,0,0,0,0,1,6,63,3,0,0,0,28,2,2,0,0
24,51,742,0,2,3,0,13,0,0,57,6,6,1,2,10,10,0,1,2,7,6,1,2,2,3,2,0,0,0,0,15,2,4,0,0,6,0,1,71,0,0,234,0,1,0,0,0,31,3,0,35,0,0,19,1,0,1,32,1,0,0,0,0,4,99,2,0,0,0,40,4,0,0,0
32,124,735,0,2,6,0,6,0,0,35,9,7,3,0,2,7,0,1,0,5,15,4,2,9,6,0,0,0,2,0,34,6,4,0,0,8,1,0,94,0,0,224,0,0,0,0,0,17,5,0,55,0,0,18,0,0,3,15,0,0,0,0,0,3,38,0,0,0,0,84,4,1,0,0
40,195,731,0,2,3,0,9,0,0,47,10,7,3,0,6,10,0,0,0,4,10,2,2,1,4,3,0,0,0,0,23,3,3,0,0,4,1,2,100,1,0,261,0,0,0,0,0,14,4,0,45,0,0,12,1,0,0,22,0,0,0,1,0,0,65,0,0,0,0,43,3,0,0,0
48,265,736,0,2,10,0,6,0,0,35,5,6,0,0,2,4,0,0,1,0,12,4,6,14,5,1,0,0,0,0,29,7,3,0,0,11,4,4,99,2,0,253,0,0,0,0,0,18,10,0,29,0,0,9,0,0,5,29,0,0,0,0,0,1,39,0,0,0,1,68,2,0,0,0
56,411,663,0,1,8,0,5,0,0,41,11,18,4,0,0,0,0,0,1,1,18,4,4,10,0,1,0,0,0,0,8,1,3,0,0,8,2,3,98,0,0,299,0,0,0,0,0,33,7,0,7,0,0,9,0,0,0,20,0,0,0,0,0,0,24,0,0,0,0,12,2,0,0,0
64,617,631,0,1,5,0,4,0,0,22,11,31,2,0,1,1,0,0,0,1,14,2,2,4,2,1,0,0,0,0,13,0,3,0,0,4,2,1,118,0,0,308,0,0,0,0,0,22,10,0,7,0,1,7,0,0,0,17,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0
72,705,626,0,1,4,0,1,0,0,47,3,16,0,0,4,0,0,0,1,1,20,2,3,2,1,2,0,0,0,0,19,0,1,0,0,0,4,0,108,2,0,246,0,0,0,0,0,32,3,0,4,0,0,16,0,0,0,44,0,0,0,3,0,0,34,0,0,0,0,0,0,2,0,0
