"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Poaceae","Humulus","Pinus.banksiana.P..resinosa","Cupressaceae","Ericaceae","Larix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Abies","Ulmus","Corylus","Ostrya.Carpinus","Thalictrum","Populus","Fraxinus.nigra","Fraxinus.americana.type","Apiaceae","Juglans.cinerea","Iva.annua","Rosaceae","Iva.xanthifolia","Xanthium","Caryophyllaceae","Elaeagnus","Shepherdia.canadensis","Carya","Ephedra.torreyana.type","Ranunculus"
1,31,0.0266666666666667,0.05,0.00666666666666667,0.00666666666666667,0.166666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.0833333333333333,0.01,0.01,0.00333333333333333,0.613333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,570,0.01,0.0966666666666667,0.00333333333333333,0.00666666666666667,0.126666666666667,0,0.00333333333333333,0,0,0.09,0.00333333333333333,0.02,0,0.616666666666667,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1169,0.00333333333333333,0.0866666666666667,0.00333333333333333,0.01,0.13,0.0166666666666667,0.00333333333333333,0.00333333333333333,0,0.126666666666667,0.00666666666666667,0.00333333333333333,0,0.586666666666667,0.00333333333333333,0.00333333333333333,0.00666666666666667,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1767,0.02,0.143333333333333,0,0,0.09,0.00666666666666667,0.00666666666666667,0,0,0.146666666666667,0.00333333333333333,0.02,0,0.546666666666667,0,0.00666666666666667,0,0,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2366,0.02,0.136666666666667,0,0,0.0866666666666667,0.00333333333333333,0,0,0,0.13,0.01,0.01,0,0.586666666666667,0,0,0.00333333333333333,0,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2964,0.0298013245033113,0.112582781456954,0.00662251655629139,0.0033112582781457,0.145695364238411,0.00662251655629139,0,0,0,0.149006622516556,0.00662251655629139,0.00993377483443709,0,0.493377483443709,0.00662251655629139,0.0033112582781457,0.00662251655629139,0.0033112582781457,0.00662251655629139,0,0,0.0033112582781457,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3563,0.0466666666666667,0.15,0.00666666666666667,0,0.0733333333333333,0.01,0.00666666666666667,0,0,0.226666666666667,0.01,0.0133333333333333,0,0.44,0,0.00333333333333333,0.00333333333333333,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4161,0.0233333333333333,0.166666666666667,0.00333333333333333,0.00333333333333333,0.0633333333333333,0,0.00666666666666667,0,0,0.193333333333333,0.00666666666666667,0.02,0,0.473333333333333,0,0.01,0.00666666666666667,0.00333333333333333,0.00666666666666667,0,0.00666666666666667,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4760,0.03,0.203333333333333,0.00666666666666667,0,0.0966666666666667,0,0,0.00666666666666667,0,0.196666666666667,0.00666666666666667,0.0133333333333333,0,0.413333333333333,0,0.00333333333333333,0,0.00666666666666667,0,0,0.00333333333333333,0,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5359,0.0299003322259136,0.205980066445183,0.00996677740863787,0,0.0730897009966777,0.00996677740863787,0.00664451827242525,0,0,0.18936877076412,0.00664451827242525,0.00996677740863787,0,0.445182724252492,0,0,0,0.00332225913621262,0,0.00332225913621262,0,0,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5957,0.01,0.13,0.00333333333333333,0.00333333333333333,0.0866666666666667,0.0133333333333333,0,0,0,0.14,0.02,0.02,0,0.543333333333333,0,0.00333333333333333,0.00333333333333333,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6556,0.0266666666666667,0.25,0.0233333333333333,0.00333333333333333,0.09,0.00666666666666667,0.00333333333333333,0,0,0.223333333333333,0.0133333333333333,0.00666666666666667,0,0.333333333333333,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
