"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Acer.spicatum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Rumex","Salix","Tsuga","Ulmus","Vitis","Alnus","Rosaceae.undiff.","Amaranthaceae","Poaceae","Ericaceae","Myrica","Celtis","Taxus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Larix","Thalictrum","Spiraea.type","Acer.undiff.","Liquidambar","Ilex","Juglans.nigra","Pyrus.type","Viburnum","Acer.negundo","Populus.balsamifera.type","Ribes","Shepherdia.canadensis","Urtica.type"
0,0,357,12,12,2,1,6,1,145,2,1,2,2,6,37,1,7,1,1,4,21,1,9,19,2,2,18,3,1,20,4,1,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,201,340,14,11,0,0,2,0,155,1,5,3,0,1,37,5,1,0,0,4,19,0,6,17,2,1,14,1,1,33,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,573,355,24,8,0,0,1,0,135,0,3,5,0,6,51,1,5,1,0,7,15,0,9,17,0,0,18,2,0,33,2,0,5,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,666,355,9,12,0,0,1,0,155,0,1,4,0,6,38,2,6,0,0,2,18,0,10,12,0,2,26,0,1,31,8,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1348,326,9,9,1,0,0,0,146,1,0,2,1,3,50,5,7,0,0,4,14,0,7,12,0,0,15,0,1,31,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3178,394,5,16,0,0,1,0,141,0,2,3,0,0,97,2,9,0,0,5,2,0,14,19,1,0,28,0,0,33,6,0,6,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3789,357,5,10,0,0,0,0,174,0,0,4,0,7,43,1,10,2,0,1,0,0,19,14,0,0,26,0,0,26,9,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,4400,346,3,10,1,1,1,1,151,0,0,2,0,4,36,3,1,1,0,1,4,0,21,16,0,0,26,0,0,45,10,0,3,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
142,4767,339,7,3,0,0,0,0,160,0,1,0,0,6,39,2,5,0,0,3,1,0,13,28,0,0,14,0,1,37,8,0,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,5012,332,4,6,0,0,0,0,142,0,1,2,0,1,22,0,2,1,0,4,5,0,17,22,1,1,28,0,0,48,9,0,10,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
167,5379,354,7,6,0,0,0,1,136,2,1,2,0,4,29,4,3,0,0,1,4,1,15,30,2,0,20,0,0,68,7,0,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,5623,364,4,7,1,0,3,1,129,1,2,4,0,1,15,4,7,0,0,2,0,0,17,44,0,3,27,0,0,51,4,0,18,6,0,1,1,1,0,0,1,3,0,0,3,0,0,0,1,1,1,0,0,0,0,0
192,5990,428,5,11,1,0,2,0,114,0,0,1,0,2,13,5,2,1,0,3,2,1,38,53,0,0,101,0,1,52,4,0,13,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,6235,386,6,8,0,0,0,0,119,0,0,8,0,2,9,0,3,0,0,13,5,1,38,55,1,1,40,0,1,41,6,0,19,0,1,1,0,1,0,0,1,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0
217,6602,359,9,7,0,1,1,0,80,0,0,2,0,5,15,4,7,0,0,3,1,0,34,40,1,0,43,0,0,70,10,0,19,1,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
227,6846,337,7,4,1,1,0,0,82,0,0,0,0,3,8,1,3,0,0,7,4,3,34,56,0,0,35,0,0,50,9,0,21,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
252,7458,330,2,12,0,0,0,0,81,0,1,2,0,2,3,4,1,2,0,9,1,1,41,51,1,1,47,0,0,37,6,0,14,4,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
277,8069,346,7,6,1,0,1,0,70,1,0,5,2,1,9,2,3,0,0,4,1,1,51,89,0,0,41,0,0,14,4,0,19,0,2,4,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
302,8681,339,4,4,1,1,0,0,62,0,0,5,0,1,0,3,1,0,0,8,1,1,77,76,2,0,43,0,1,28,1,0,14,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
327,9097,348,4,5,0,0,1,1,72,0,0,2,1,1,2,5,1,1,0,8,3,1,51,82,1,0,66,0,0,19,6,0,11,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,9514,344,8,6,0,0,0,0,57,1,1,2,0,1,0,5,3,0,0,4,0,3,71,77,0,1,64,0,0,12,6,0,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
377,9930,348,1,1,0,0,0,0,95,1,0,7,0,0,0,3,2,0,0,4,0,0,37,86,3,1,57,0,1,7,7,0,27,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
402,10347,416,6,1,1,0,1,0,135,0,0,5,1,1,1,5,3,0,0,8,3,0,34,72,0,2,109,0,1,1,7,0,13,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
