"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Carya","Castanea","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagopyrum","Fagus","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Fabaceae","Fraxinus","Populus","Amaranthaceae","Viburnum","Cerealia","Urticaceae","Plantago","Rosaceae","Caryophyllaceae","Cephalanthus","Juglans.nigra","Rhus","Sambucus","Thalictrum","Myrica","Rhamnaceae.Vitaceae","Galium","Lamiaceae","Ranunculus","Liquidambar","Nyssa","Juglans.undiff.","Ranunculaceae.undiff.","Rubiaceae.undiff.","Gentianaceae","Celtis","Impatiens"
0,-9,1293,1,78,12,350,1,4,147,9,1,1,5,37,38,3,39,109,2,1,2,26,10,3,33,25,4,67,34,1,1,66,35,72,3,8,3,9,12,7,6,2,1,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,1187,0,0,32,318,1,8,93,8,1,3,4,20,44,0,88,94,4,0,0,18,1,1,35,24,4,75,82,4,3,92,10,51,3,12,0,17,1,5,0,0,0,16,4,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,67,1251,0,0,35,311,0,8,70,4,5,5,6,32,43,0,94,127,1,0,1,17,3,3,46,22,5,76,108,10,5,92,10,43,0,11,2,26,6,7,0,0,0,12,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
13,114,745,0,0,32,45,0,3,58,10,5,4,3,14,8,0,114,57,0,0,0,10,2,1,37,24,3,79,16,4,2,144,0,32,0,6,0,19,4,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,160,640,0,0,41,9,0,3,79,8,3,5,2,9,4,0,148,5,2,0,0,16,0,3,37,18,5,67,9,2,1,123,2,19,0,9,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
23,206,612,0,0,41,7,0,5,66,7,2,4,0,13,2,0,133,7,0,0,0,12,1,0,21,20,1,72,3,2,8,117,1,38,0,0,0,23,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
38,338,604,0,54,9,8,0,1,68,6,4,5,1,15,2,0,101,4,0,0,0,15,2,1,21,23,4,70,1,1,5,114,0,29,0,8,0,25,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0
73,627,617,0,52,3,3,0,1,71,12,3,3,1,27,6,0,96,2,1,0,0,12,0,0,27,29,10,75,0,1,0,121,1,28,0,6,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,780,581,0,54,2,4,0,0,65,13,3,8,0,8,0,0,87,1,2,0,0,12,3,2,18,29,4,74,0,0,5,120,0,34,0,6,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,995,638,0,48,2,2,0,2,54,12,0,7,0,3,0,0,115,0,7,0,0,15,0,2,10,33,7,69,0,1,4,167,0,47,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
