"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Oenothera","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rubus","Rumex","Salix","Sanguisorba","Selaginella.selaginoides","Sparganium","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia","Verbena"
10,45,0,0,0,19,0,43,0,0,6,0,37,6,0,1,0,0,0,4,1,11,0,0,2,0,3,0,0,0,0,0,3,0,0,3,0,0,2,0,0,1,3,12,6,16,0,0,0,0,163,0,1,0,0,0,0,0,0,0,2,0,7,3,3,0
20,89,0,2,0,20,1,38,0,0,13,0,58,7,0,2,0,0,0,0,2,1,0,0,1,1,6,0,0,1,1,1,2,0,0,6,0,0,3,2,0,0,6,8,3,21,0,0,4,2,112,0,1,2,0,0,0,0,0,0,10,0,5,1,7,0
30,134,0,2,1,32,0,28,0,0,31,0,34,9,0,11,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,1,5,0,2,0,0,0,0,2,0,3,2,20,3,15,0,0,0,1,134,0,1,2,0,0,0,0,0,0,18,0,4,2,4,0
40,178,0,3,1,26,0,31,0,0,3,0,41,10,0,19,3,0,0,1,8,2,0,0,2,0,4,1,0,0,0,0,2,1,1,3,1,0,0,1,2,0,2,27,1,18,0,0,0,2,115,0,0,0,0,0,0,0,0,0,29,0,4,0,0,0
50,257,0,0,2,19,0,4,0,0,10,0,32,12,0,2,0,0,0,0,4,3,0,0,1,0,3,0,0,1,0,1,2,0,0,5,2,0,0,1,1,1,6,37,0,2,0,2,1,1,165,0,2,1,0,0,0,0,0,1,43,0,2,2,3,0
60,370,0,0,0,8,0,2,0,0,2,0,28,11,0,4,2,0,0,0,5,1,0,0,0,4,1,0,0,0,0,2,12,0,1,7,1,0,0,2,0,0,2,29,0,4,0,0,0,0,150,0,0,2,0,0,0,0,0,0,16,0,2,3,15,0
70,482,0,0,0,5,0,0,0,0,3,0,43,34,0,8,4,1,0,0,11,0,0,0,0,0,1,0,0,1,0,1,2,0,0,2,5,0,0,3,0,0,3,23,0,0,0,1,0,1,177,0,0,1,0,0,0,0,0,0,30,0,5,0,1,0
80,595,0,0,4,11,0,0,0,0,0,0,37,28,0,5,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,2,24,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,40,0,2,0,2,0
90,708,0,0,5,13,0,1,0,0,1,0,29,13,0,8,2,0,0,1,11,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,11,0,2,0,0,0,6,199,0,0,0,0,0,0,0,0,1,12,0,0,2,3,0
100,821,0,3,0,8,0,2,0,0,5,0,43,6,0,11,2,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,5,1,0,1,0,0,0,3,0,1,0,8,0,2,0,1,0,2,200,0,0,4,0,0,0,3,0,0,5,0,2,3,3,0
110,934,0,2,5,13,0,0,0,0,4,0,40,22,0,22,5,1,0,1,12,3,0,0,0,0,2,1,0,0,0,0,4,0,1,1,0,0,0,6,0,0,0,20,0,1,0,0,0,2,201,0,0,1,0,0,1,0,0,1,14,0,2,2,0,0
