"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Celtis","Corylus","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Plantago","Poaceae","Polygonum.lapathifolium.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium"
1,-5,0,0,0,0.00273972602739726,0,0,0.00547945205479452,0.0219178082191781,0.246575342465753,0.00273972602739726,0,0,0,0,0.00273972602739726,0.0136986301369863,0.00273972602739726,0.00273972602739726,0,0.00273972602739726,0.00273972602739726,0.00273972602739726,0,0.010958904109589,0.00821917808219178,0.00273972602739726,0,0.0493150684931507,0.265753424657534,0,0.00547945205479452,0.095890410958904,0,0.00273972602739726,0.0602739726027397,0.0356164383561644,0,0.0931506849315069,0,0.00547945205479452,0.00547945205479452,0,0,0.0164383561643836,0,0,0,0,0,0.00273972602739726,0.0301369863013699,0,0,0,0,0,0
10,266,0.0028735632183908,0,0,0.00574712643678161,0,0.0028735632183908,0.014367816091954,0.0344827586206897,0.301724137931034,0,0,0.0028735632183908,0,0.0028735632183908,0,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0.0316091954022989,0.0114942528735632,0,0.0373563218390805,0.278735632183908,0,0,0.0603448275862069,0,0,0.0632183908045977,0.0172413793103448,0,0.0775862068965517,0,0.0172413793103448,0,0,0,0.0172413793103448,0,0,0,0,0,0,0.014367816091954,0,0,0,0,0,0
15,417,0,0.00303030303030303,0,0.00606060606060606,0,0,0.0121212121212121,0.0272727272727273,0.248484848484848,0,0,0,0,0.00303030303030303,0,0.00909090909090909,0,0,0.00606060606060606,0,0,0,0,0,0.00303030303030303,0.00303030303030303,0,0.0272727272727273,0.424242424242424,0,0,0.0484848484848485,0,0,0.109090909090909,0.0333333333333333,0,0.0151515151515152,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0.00606060606060606,0,0,0,0,0,0
20,567,0.00554785020804438,0.00554785020804438,0.00693481276005548,0.00416088765603329,0,0,0.0013869625520111,0.0124826629680999,0.209431345353675,0,0,0.00277392510402219,0,0.00416088765603329,0,0.0194174757281553,0.00277392510402219,0,0,0,0,0.00277392510402219,0,0.00416088765603329,0.00970873786407767,0.00277392510402219,0.0166435506241331,0.135922330097087,0.294036061026352,0,0,0.0485436893203883,0,0.00554785020804438,0.134535367545076,0.0194174757281553,0.0013869625520111,0.0208044382801664,0,0.0124826629680999,0.00416088765603329,0,0,0.00416088765603329,0.0013869625520111,0,0,0,0,0,0.00554785020804438,0,0,0,0,0,0.0013869625520111
30,868,0,0.00297619047619048,0.00297619047619048,0.00297619047619048,0,0,0.00297619047619048,0.0148809523809524,0.220238095238095,0,0,0.00595238095238095,0,0,0,0.00595238095238095,0,0,0.00297619047619048,0,0.00595238095238095,0.0148809523809524,0,0,0,0.0625,0,0.110119047619048,0.369047619047619,0,0,0.0595238095238095,0,0,0.0803571428571429,0.0148809523809524,0,0.0119047619047619,0,0.00297619047619048,0,0,0,0.00297619047619048,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0
40,1169,0.00628930817610063,0.00943396226415094,0,0.00628930817610063,0,0.00314465408805031,0,0.0157232704402516,0.229559748427673,0,0,0,0,0,0,0.00628930817610063,0,0,0.00314465408805031,0.00628930817610063,0.00314465408805031,0.00628930817610063,0,0,0,0.00943396226415094,0,0.163522012578616,0.323899371069182,0,0,0.0534591194968553,0,0,0.10062893081761,0.0157232704402516,0,0.0188679245283019,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0,0.00314465408805031,0,0.00314465408805031,0
50,1470,0.00630914826498423,0,0,0.0157728706624606,0,0,0.0157728706624606,0.0126182965299685,0.214511041009464,0,0,0.00315457413249211,0,0.00630914826498423,0,0.00315457413249211,0.00315457413249211,0,0,0,0.00630914826498423,0.0126182965299685,0,0,0,0.00315457413249211,0,0.151419558359621,0.375394321766562,0,0.00315457413249211,0.0536277602523659,0,0.00946372239747634,0.0630914826498423,0.0126182965299685,0,0.00315457413249211,0,0.00946372239747634,0.00315457413249211,0,0,0.00946372239747634,0,0,0,0,0,0,0.00315457413249211,0,0,0,0,0,0
60,1771,0.00587371512481645,0,0,0.00881057268722467,0,0,0.00734214390602056,0.00881057268722467,0.277533039647577,0.00440528634361234,0,0.00440528634361234,0,0.00293685756240822,0,0.00734214390602056,0.00293685756240822,0,0,0,0,0.00440528634361234,0,0.00146842878120411,0.00440528634361234,0.0117474302496329,0.0190895741556534,0.140969162995595,0.317180616740088,0,0,0.0602055800293686,0,0.00293685756240822,0.0543318649045521,0.0249632892804699,0,0.00587371512481645,0,0.013215859030837,0.00146842878120411,0,0,0.00146842878120411,0.00146842878120411,0,0.00146842878120411,0,0,0,0.00146842878120411,0,0,0,0,0.00146842878120411,0
70,2072,0,0,0,0.00641025641025641,0,0,0.00641025641025641,0.0192307692307692,0.205128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320512820512821,0.0128205128205128,0,0.131410256410256,0.397435897435897,0,0,0.0576923076923077,0,0.00320512820512821,0.115384615384615,0.00961538461538462,0,0.00641025641025641,0,0.016025641025641,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0.00320512820512821,0,0,0,0
75,2222,0,0.0062111801242236,0,0.0031055900621118,0,0.0031055900621118,0.0093167701863354,0.0279503105590062,0.242236024844721,0.0031055900621118,0,0.0062111801242236,0,0.0093167701863354,0.0062111801242236,0.015527950310559,0,0,0,0,0,0.0031055900621118,0,0.0031055900621118,0.015527950310559,0.0124223602484472,0,0.062111801242236,0.388198757763975,0,0,0.0590062111801242,0,0,0.0683229813664596,0.0186335403726708,0,0.0186335403726708,0,0.0062111801242236,0,0,0,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0
80,2373,0,0.0126182965299685,0,0.00946372239747634,0,0.00315457413249211,0.0157728706624606,0.0315457413249211,0.274447949526814,0.00946372239747634,0,0,0,0,0.00315457413249211,0.00630914826498423,0,0,0,0,0.00630914826498423,0.00315457413249211,0,0,0.00946372239747634,0.00946372239747634,0,0.110410094637224,0.246056782334385,0,0.0157728706624606,0.0757097791798107,0,0.00315457413249211,0.0946372239747634,0.0126182965299685,0,0.00315457413249211,0,0.0189274447949527,0,0,0,0.00315457413249211,0,0,0,0,0,0.00315457413249211,0.0189274447949527,0,0,0,0,0,0
85,2523,0.00892857142857143,0,0,0.00892857142857143,0,0.00892857142857143,0.00892857142857143,0.0297619047619048,0.306547619047619,0,0,0,0,0.00595238095238095,0,0.00297619047619048,0.00595238095238095,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0.0148809523809524,0.0178571428571429,0,0.0416666666666667,0.294642857142857,0,0,0.0863095238095238,0.00595238095238095,0,0.0922619047619048,0.0267857142857143,0,0.00595238095238095,0,0.0119047619047619,0.00297619047619048,0,0,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0
95,2824,0.00598802395209581,0,0,0.00898203592814371,0,0.00598802395209581,0.0029940119760479,0.0239520958083832,0.293413173652695,0.00598802395209581,0,0,0,0,0,0.00898203592814371,0.0029940119760479,0,0,0,0.0029940119760479,0,0,0,0.0119760479041916,0.00598802395209581,0,0.0658682634730539,0.365269461077844,0,0,0.0449101796407186,0.0029940119760479,0.00598802395209581,0.0868263473053892,0.0119760479041916,0,0.0149700598802395,0,0.00598802395209581,0.00598802395209581,0,0,0,0.00598802395209581,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0
