"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","cf..Ceanothus","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae.undiff.","Dryopteris.type","Ericaceae","Fabaceae.cf..Melilotus.officinalis","Fabaceae.cf..Trifolium","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.cf..Diphasiastrum.complanatum","Lycopodiaceae.cf..Lycopodium.clavatum","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.verticillatum.type","Nuphar","Nymphaea","Osmunda.claytoniana","Ostrya.Carpinus","Phacelia.hastata.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Rhynchospora.alba","Rosaceae","Rumex.acetosa.type","Rumex.undiff.","Sagittaria","Salix","Selaginella.rupestris","Sparganium.type","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
244,600,0,0,0,0,0,9,4,0,0,8,0,0,29,0,0,0,0,0,1,1,0,7,0,0,0,0,4,0,4,0,0,1,1,0,0,0,0,0,0,8,0,0,16,0,0,5,11,65,0,0,53,0,0,0,6,0,44,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0
246,628,0,0,1,0,1,21,14,1,0,11,8,0,38,0,0,0,0,0,2,11,0,15,0,0,0,0,5,0,13,0,1,0,0,0,0,0,0,0,0,5,0,1,10,0,1,6,7,129,0,1,144,0,0,2,7,2,63,0,0,0,0,0,3,0,1,0,1,0,0,4,0,0,0,0,0
250,682,0,0,0,0,0,12,6,0,0,13,0,0,22,0,0,0,1,0,1,6,1,11,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,5,0,1,5,5,49,0,0,96,0,0,0,6,1,24,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
254,737,0,1,0,0,0,12,11,0,0,12,4,0,33,0,0,0,0,0,4,1,1,12,1,0,0,0,2,0,3,0,1,0,0,2,0,0,0,0,0,5,0,0,4,0,1,1,7,77,0,0,95,0,0,0,1,0,35,1,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0
256,765,0,0,0,0,0,6,4,1,0,14,2,0,21,0,0,0,1,0,0,0,2,12,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,3,3,53,1,0,106,0,0,0,1,1,28,0,0,0,0,1,1,0,1,0,0,0,1,2,0,1,0,0,0
260,819,0,0,0,0,0,9,4,0,0,9,2,0,14,0,0,0,0,0,0,1,0,13,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,0,2,3,47,0,0,118,0,0,1,0,1,21,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
264,874,0,0,0,0,0,9,2,0,0,14,6,0,15,0,0,0,0,0,1,2,0,11,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,1,1,1,37,0,0,138,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
270,NA,0,1,0,0,0,15,13,0,0,16,9,0,30,0,0,0,0,0,0,5,2,12,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,1,0,4,0,0,8,0,3,6,9,84,0,0,266,0,0,0,5,0,40,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0
274,NA,0,0,0,0,0,10,6,0,0,10,3,0,13,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,5,0,0,2,1,1,1,1,39,0,1,95,0,0,0,1,0,23,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
276,NA,0,0,0,0,0,7,3,1,0,13,3,0,18,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,1,44,0,0,79,0,0,0,2,0,31,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1
280,NA,0,0,0,0,0,5,6,0,0,9,1,0,14,0,1,0,0,0,1,2,0,6,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,2,0,0,4,0,1,2,5,53,0,0,85,0,0,0,2,0,35,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
284,NA,0,0,0,0,0,19,9,0,1,9,1,0,18,0,0,0,0,0,1,1,0,12,0,0,0,0,5,0,7,0,0,0,1,1,0,0,0,1,0,8,1,0,4,0,0,1,6,49,0,0,74,0,0,1,0,0,20,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
290,NA,0,0,0,0,1,16,6,0,1,13,3,0,21,0,0,0,0,0,1,3,1,11,0,0,0,0,1,2,6,1,0,1,0,0,1,0,0,0,0,2,1,0,3,0,1,4,2,52,0,0,103,0,0,2,3,0,36,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
294,NA,0,0,0,0,1,8,4,0,0,12,9,0,21,0,0,0,0,0,2,3,0,10,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,38,0,0,62,0,0,0,1,0,33,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0
300,NA,0,0,0,0,0,15,4,0,0,9,5,0,18,1,0,0,0,1,1,2,0,3,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,1,0,8,0,0,4,0,0,0,1,30,0,0,35,0,0,0,3,0,25,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
