"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Juniperus.type","Castanea.dentata","Corylus.cornuta","Acer.spicatum","Fraxinus.pennsylvanica.type","Picea.glauca.type","Amaranthaceae","Sambucus","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Carya.ovata","Ranunculaceae.undiff.","Salix","Taxus","Juniperus.communis.Thuja.occidentalis.type","Hypericum","Fabaceae","Myrica.gale","Pinus.banksiana.type","Populus.tremuloides.type","Rosaceae.undiff.","Viburnum.edule","Shepherdia.canadensis","Potentilla.palustris.type","Rubus.chamaemorus","Populus.balsamifera.type","Viburnum.undiff.","Onagraceae","Cornus.sericea"
120,2345,0.0186915887850467,0.014018691588785,0.00233644859813084,0.00700934579439252,0.420560747663551,0.00233644859813084,0.0373831775700935,0.00233644859813084,0.0163551401869159,0.00233644859813084,0.00233644859813084,0.00467289719626168,0.22196261682243,0.0233644859813084,0.0163551401869159,0.0116822429906542,0.00233644859813084,0.0303738317757009,0.00934579439252336,0.0841121495327103,0.00934579439252336,0.0607476635514019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2638,0.013840830449827,0.0103806228373702,0,0.0069204152249135,0.389273356401384,0,0.041522491349481,0.0173010380622837,0.0173010380622837,0.013840830449827,0.0069204152249135,0,0.185121107266436,0.0294117647058824,0.0069204152249135,0.0103806228373702,0,0.0588235294117647,0.0069204152249135,0.0830449826989619,0.00173010380622837,0.0865051903114187,0.00173010380622837,0.00173010380622837,0.00346020761245675,0.0069204152249135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2931,0.00943396226415094,0.00377358490566038,0,0,0.322641509433962,0,0.0849056603773585,0.00377358490566038,0.0132075471698113,0.00566037735849057,0.00377358490566038,0,0.273584905660377,0.0264150943396226,0.0113207547169811,0.00566037735849057,0,0.0660377358490566,0,0.0867924528301887,0.00943396226415094,0.0735849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3259,0.0164744645799012,0.00658978583196046,0,0.00494233937397035,0.490939044481054,0,0.0543657331136738,0,0.0131795716639209,0.00823723228995058,0,0.00329489291598023,0.116968698517298,0.0609555189456343,0.0164744645799012,0.00658978583196046,0.00164744645799012,0.0263591433278418,0.00658978583196046,0.0823723228995058,0.00494233937397035,0.070840197693575,0,0,0.00164744645799012,0,0.00164744645799012,0.00164744645799012,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3949,0.0219224283305228,0.00168634064080944,0,0.00505902192242833,0.504215851602024,0,0.0354131534569983,0,0.00843170320404722,0.0118043844856661,0.00337268128161889,0,0.087689713322091,0.0505902192242833,0.0202360876897133,0.00505902192242833,0,0.0691399662731872,0.0134907251264755,0.075885328836425,0.00168634064080944,0.0691399662731872,0.00168634064080944,0,0,0,0,0,0,0,0.00168634064080944,0.00168634064080944,0.00168634064080944,0.00505902192242833,0.00168634064080944,0.00168634064080944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,4409,0.0074487895716946,0.0223463687150838,0,0.0037243947858473,0.631284916201117,0,0.0484171322160149,0.0037243947858473,0.0130353817504655,0.00558659217877095,0.0074487895716946,0.00186219739292365,0.0391061452513966,0.037243947858473,0.0167597765363128,0.0074487895716946,0,0.0148975791433892,0.0037243947858473,0.068901303538175,0.0130353817504655,0.0391061452513966,0.00186219739292365,0,0,0,0,0.00186219739292365,0,0.00186219739292365,0,0,0,0,0,0,0.00186219739292365,0.0037243947858473,0.00186219739292365,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5099,0.0191082802547771,0.0127388535031847,0,0.00424628450106157,0.494692144373673,0,0.0339702760084926,0.00212314225053079,0.00424628450106157,0.00849256900212314,0.00636942675159236,0.00212314225053079,0.110403397027601,0.0721868365180467,0.00849256900212314,0.0106157112526539,0.00636942675159236,0.0360934182590234,0.00849256900212314,0.0658174097664544,0.0127388535031847,0.0743099787685775,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0.00212314225053079,0,0,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5559,0.00207900207900208,0.0166320166320166,0,0,0.513513513513513,0,0.0228690228690229,0.00207900207900208,0.0103950103950104,0.00207900207900208,0.00623700623700624,0.00207900207900208,0.101871101871102,0.0415800415800416,0.0145530145530146,0.00831600831600832,0.00415800415800416,0.0187110187110187,0.0103950103950104,0.139293139293139,0.0207900207900208,0.0457380457380457,0,0,0,0.00207900207900208,0,0.00207900207900208,0.00207900207900208,0.00207900207900208,0,0,0,0.00207900207900208,0,0,0,0,0,0.00623700623700624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NA,0.00246305418719212,0.140394088669951,0.00369458128078818,0.00123152709359606,0.655172413793103,0.00123152709359606,0.0061576354679803,0.00123152709359606,0.00369458128078818,0.0061576354679803,0.00123152709359606,0.0123152709359606,0.00369458128078818,0.0246305418719212,0.0332512315270936,0.00738916256157635,0.041871921182266,0.0061576354679803,0.00492610837438424,0.00985221674876847,0.00123152709359606,0.0061576354679803,0,0,0,0.00492610837438424,0,0,0.00123152709359606,0,0,0,0,0.00862068965517241,0,0,0,0.00369458128078818,0.00123152709359606,0,0.00123152709359606,0.00123152709359606,0.00246305418719212,0.00123152709359606,0,0,0,0,0,0,0,0,0,0
225,NA,0.0189873417721519,0.158227848101266,0.0079113924050633,0.0079113924050633,0.378164556962025,0,0.060126582278481,0,0,0.00632911392405063,0.00158227848101266,0.00158227848101266,0.0174050632911392,0.0284810126582278,0.064873417721519,0.0221518987341772,0.0886075949367089,0.00474683544303797,0.00316455696202532,0.0522151898734177,0.00158227848101266,0.0174050632911392,0,0,0.00158227848101266,0.00949367088607595,0,0,0,0,0,0,0.00316455696202532,0.0079113924050633,0,0,0.00158227848101266,0.0221518987341772,0,0,0,0,0.00632911392405063,0,0.00316455696202532,0.00158227848101266,0.00158227848101266,0,0,0,0,0,0,0
235,NA,0.0101302460202605,0.150506512301013,0.00434153400868307,0.0101302460202605,0.383502170767004,0,0.0361794500723589,0.00144717800289436,0.00144717800289436,0.00723589001447178,0,0.00289435600578871,0.0578871201157742,0.020260492040521,0.0593342981186686,0.0115774240231548,0.0492040520984081,0.00578871201157742,0.00723589001447178,0.0940665701881331,0.00289435600578871,0.0159189580318379,0,0.0115774240231548,0,0.00144717800289436,0.00144717800289436,0.00144717800289436,0,0.00289435600578871,0,0,0,0.0101302460202605,0,0.00289435600578871,0,0.0217076700434153,0,0,0,0,0.00289435600578871,0,0.00578871201157742,0,0.00144717800289436,0.00144717800289436,0.00144717800289436,0.00144717800289436,0,0,0,0
240,NA,0.0201511335012594,0.148614609571788,0.00251889168765743,0.0075566750629723,0.395465994962217,0,0.0403022670025189,0,0,0.0100755667506297,0,0.00251889168765743,0.035264483627204,0.0226700251889169,0.0503778337531486,0.035264483627204,0.035264483627204,0,0.00251889168765743,0.110831234256927,0.00251889168765743,0.0151133501259446,0,0.00251889168765743,0,0,0,0,0,0.00251889168765743,0,0,0,0.0100755667506297,0,0,0.00251889168765743,0.0377833753148615,0,0,0,0,0,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0.00251889168765743,0,0,0
