"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Epilobium","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Salix","Saxifraga.oppositifolia.type","Selaginella.selaginoides","Selaginella.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
0,0,16,0,0,0,2,0,11,36,0,1,0,2,1,215,0,0,0,0,0,0,3,0,1,3,0,1,0,4,0,4,0,0,0,47,0,3,0,1,0,0,2,0,0,2,0,0,0,0,2,1,2,55,105,6,13,37,0,3,0,0,0,0,4,0,0,2,0,0,2,0,0,4,0,0,0,4,0,5,1,6,4,0,0
5,431,4,3,0,0,1,1,7,13,1,0,0,1,0,199,0,0,0,1,0,1,0,0,1,3,0,2,0,0,0,2,1,0,0,42,1,2,1,1,0,0,2,0,0,3,0,0,0,0,1,0,3,34,52,0,7,14,0,1,0,0,1,1,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,1,2,0,0
10,862,32,2,1,0,3,0,8,12,1,1,0,1,0,191,0,0,0,0,0,1,4,0,1,5,0,1,0,0,1,0,1,1,0,59,0,0,0,2,0,1,1,1,0,3,0,0,0,0,1,6,29,71,117,5,21,36,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,4,0,0,0,5,0,6,0,4,1,0,0
15,1293,39,0,0,2,2,0,5,13,0,1,0,0,1,160,0,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,104,54,11,18,19,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,12,0,3,0,9,0,0,0
20,1724,18,1,0,0,2,1,8,17,1,2,0,1,0,173,0,0,0,0,0,1,2,0,1,3,0,1,0,2,1,0,0,0,0,50,1,0,0,3,0,2,0,0,0,2,0,0,0,1,0,4,20,36,118,6,6,29,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,1,2,0,6,0,5,0,0,0
25,2155,47,0,1,0,4,0,20,7,0,0,0,2,0,128,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,126,31,15,42,19,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,10,0,0,0,3,0,2,0,4,0,0,0
30,2585,12,0,1,0,4,0,7,14,0,0,0,3,1,235,0,0,0,1,0,1,1,0,0,4,0,2,0,0,2,0,0,0,0,26,0,2,0,2,0,1,1,0,0,2,0,0,0,0,2,0,1,55,77,3,12,22,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,2,3,0,0
35,3164,40,0,0,1,2,0,18,11,1,0,0,3,1,136,0,0,0,0,0,0,0,0,0,4,0,5,0,3,3,0,0,0,0,0,0,0,0,6,0,3,1,0,0,0,0,0,3,0,0,0,0,74,32,7,19,18,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,4,1,0,0,3,0,4,0,7,1,0,0
40,3743,27,1,0,0,4,1,13,26,0,2,0,1,1,230,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,20,0,0,0,3,0,3,3,0,0,1,0,0,0,0,2,2,0,82,93,1,21,26,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,5,1,0,0,2,0,2,2,3,2,0,0
45,4322,16,0,2,0,4,0,1,37,0,0,0,2,0,217,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,0,0,18,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,3,50,34,8,27,19,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,1,1,0,3,0,5,5,0,0
50,4900,15,0,1,0,2,1,3,24,0,0,0,2,0,256,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,0,17,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,56,70,6,31,50,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,1,0,3,0,4,2,1,3,0,0
55,5479,7,0,1,0,1,2,2,25,0,0,0,0,0,153,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,1,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,2,14,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0
60,6058,8,0,0,0,4,1,3,54,0,1,0,2,0,274,0,0,0,1,0,1,0,0,1,2,0,1,0,2,1,0,0,0,0,14,0,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,49,56,7,27,23,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,1,2,5,0,0
65,6636,8,0,0,0,4,0,1,50,1,5,1,1,0,343,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,1,1,1,0,13,0,0,0,2,1,3,2,0,0,1,0,0,1,0,0,0,0,75,51,20,53,32,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,3,0,1,0,0,2,0,6,4,0,0
70,7215,11,0,0,0,1,0,4,51,0,4,0,0,0,392,0,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,1,0,0,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,36,57,5,24,38,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,0,1,0,4,0,5,5,0,0
75,7794,16,0,1,0,0,0,0,214,0,1,0,3,1,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,2,27,14,4,12,9,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,6,3,0,0
