"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Artemisia","Betula","Carya","Corylus","Cyperaceae","Juglans.cinerea","Larix","Ostrya.Carpinus","Populus.undiff.","Quercus","Thalictrum","Ulmus","Alnus.incana","Ambrosia","Myrica","Amaranthaceae","Poaceae","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Fraxinus.nigra","Picea.glauca","Picea.mariana","Alnus.undiff.","Castanea","Cupressaceae","Ericaceae","Lamiaceae","Populus.balsamifera","Asteraceae.subf..Asteroideae.undiff.","Alnus.viridis","Acer.saccharum","Salix","Apiaceae","Acer.undiff.","Celtis","Rhamnus.frangula","Shepherdia.canadensis","Asteraceae.subf..Cichorioideae","Epilobium","Empetrum","Fagus","Humulus","Rumex","Linnaea.borealis","Fraxinus.americana","Populus.tremuloides","Urtica","Polygonum","Fabaceae","Caryophyllaceae","Ilex","Viburnum","Ranunculaceae.undiff.","Pinus.undiff.","Dryas","Sanguisorba.canadensis","Picea.undiff.","Nyssa","Brassicaceae","Rumex.Oxyria.digyna.undiff."
805,NA,436,34,3,2,141,1,8,1,1,12,7,1,68,2,3,1,2,8,1,1,7,85,5,2,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,10465,307,24,0,0,88,0,16,5,0,3,9,0,47,0,1,2,0,8,0,0,10,43,1,4,15,17,1,1,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,10598,328,19,0,0,130,0,6,2,1,5,7,0,45,1,1,1,1,6,2,1,4,56,3,5,8,15,1,0,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,10731,312,7,0,0,145,0,5,3,0,5,3,0,47,1,1,1,0,8,1,3,7,42,2,0,14,12,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,10864,296,8,2,0,120,1,6,0,2,10,4,0,30,0,2,3,2,12,0,3,6,59,0,1,8,6,0,0,0,0,0,1,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,10997,291,5,0,0,111,0,8,2,0,7,4,0,28,1,3,0,1,15,0,2,12,49,0,4,15,12,0,0,6,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,11130,382,2,0,0,142,0,7,3,1,19,13,0,39,0,1,2,0,39,0,8,10,33,0,6,17,15,0,2,2,0,0,1,3,2,2,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,11263,350,1,0,0,61,0,3,1,1,13,7,0,37,0,2,2,2,53,1,14,15,44,4,3,29,22,4,1,8,5,0,0,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,11363,310,1,0,0,46,0,0,3,0,3,6,0,35,0,0,3,0,52,0,10,17,55,2,0,34,10,3,1,11,2,0,0,4,2,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,11429,360,3,0,0,79,0,0,7,1,1,4,0,18,1,1,3,0,48,0,17,20,54,7,4,18,7,2,1,16,16,0,1,4,6,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
