"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Humulus","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Plantago.lanceolata","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Pteridium","Quercus","Ribes","Rosaceae","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1,-10,9,4,15,0,10,0,1,60,0,0,0,0,0,0,3,5,5,8,0,0,0,1,0,2,0,5,0,0,0,17,0,1,0,0,3,0,0,0,1,0,0,3,0,5,8,40,120,0,1,3,0,3,0,5,6,0,0,1,1,0,0,0,1,0,8,0,3,3,0,0
5,22,2,1,13,0,12,2,1,56,0,0,0,0,1,1,1,7,4,5,0,0,0,0,0,6,1,6,0,0,0,27,0,0,0,0,3,0,2,0,1,0,1,5,0,3,8,32,140,0,0,1,0,2,1,4,15,0,0,0,0,0,0,2,0,0,4,0,5,6,0,0
10,61,5,0,11,1,8,0,1,62,0,0,0,0,0,0,1,10,3,6,1,0,0,0,0,0,1,0,0,0,0,10,2,0,0,0,2,0,1,0,0,0,0,3,0,0,12,15,138,0,1,2,0,2,0,1,4,0,0,0,0,0,0,0,0,2,3,0,5,2,0,0
15,101,4,1,12,0,8,1,1,67,0,0,0,0,0,0,6,9,4,3,0,0,0,0,0,3,4,2,0,0,2,28,0,0,0,2,2,0,1,0,0,0,0,3,1,2,7,18,136,0,0,2,0,1,0,2,3,0,0,0,0,0,0,4,0,0,1,1,2,6,0,0
20,152,6,0,10,1,2,0,1,50,0,0,0,0,0,0,2,14,1,4,0,0,0,0,0,1,1,8,0,0,1,14,1,1,0,0,3,0,0,0,0,0,0,3,0,1,15,24,142,0,0,3,0,6,0,5,4,0,0,0,1,0,0,1,0,0,6,0,4,2,0,0
25,216,4,5,7,0,2,1,1,64,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,2,3,3,0,1,0,22,0,0,0,0,6,0,1,0,0,0,0,0,1,2,13,28,178,0,1,1,0,4,0,0,12,0,0,0,2,0,0,2,0,0,9,0,6,1,0,0
35,344,7,3,14,0,0,0,0,54,0,0,0,0,0,0,1,13,2,14,0,0,0,0,0,4,0,2,0,0,2,23,0,0,0,0,4,0,1,0,1,0,1,2,2,4,10,44,154,0,1,1,0,3,0,0,8,0,0,0,0,0,1,6,0,0,8,1,2,1,0,0
45,473,6,1,8,0,1,1,0,63,0,0,0,0,0,0,3,14,1,12,0,0,0,0,0,6,0,9,0,1,2,28,3,0,0,0,4,0,0,0,0,0,0,0,2,1,11,17,167,0,1,0,0,7,0,1,6,0,0,0,0,0,0,3,0,0,10,1,3,3,0,1
55,601,9,5,22,0,0,0,0,78,0,0,1,0,0,0,5,17,3,12,0,1,0,0,0,2,0,3,0,0,0,31,0,0,0,0,7,0,0,0,0,0,0,1,5,2,11,57,130,0,2,1,0,2,1,1,9,0,0,0,0,0,0,1,0,0,13,1,7,1,0,0
65,729,2,4,18,0,0,1,0,56,0,2,1,0,0,0,0,14,2,10,0,0,0,0,0,4,0,1,0,0,0,22,0,0,0,0,2,0,4,0,1,0,0,0,3,2,17,39,141,0,0,0,0,3,0,3,9,0,0,0,1,0,0,12,0,1,14,0,6,3,0,0
