"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Larix","Picea","Quercus","Alnus","Pinus","Poaceae","Artemisia","Cupressaceae","Brassicaceae","Salix","Asteraceae.subf..Asteroideae.undiff.","Abies","Fraxinus.nigra.type","Sarcobatus.vermiculatus","Amaranthaceae.undiff.","Ulmus","Fraxinus.pennsylvanica.type","Myrica","Acer","Rosaceae","Populus","Tsuga"
1,NA,352,2,90,17,5,3,156,1,67,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,502,363,0,108,27,4,6,158,0,45,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,734,354,0,74,17,3,14,172,0,61,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,965,367,0,89,26,3,5,162,1,52,8,16,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
40,1197,320,0,79,4,1,3,172,1,53,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1429,330,0,50,8,1,2,198,0,53,12,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
60,1661,328,0,79,6,2,4,152,0,76,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1893,355,0,95,8,0,1,153,0,88,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,2125,316,1,72,5,3,2,146,1,78,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2357,349,0,106,4,1,4,130,1,96,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
100,2589,329,0,68,2,3,2,159,0,86,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2789,346,0,77,5,2,3,153,0,92,2,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
115,2843,343,0,72,3,0,1,101,0,155,2,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
120,2896,345,0,51,1,0,0,128,0,156,2,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
125,2949,318,0,62,0,0,2,127,1,115,3,3,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
130,3002,328,0,46,2,1,1,142,0,131,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3108,326,0,54,2,2,4,108,0,140,2,6,1,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0
150,3215,316,0,84,2,2,4,108,0,104,5,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
160,3321,360,0,105,4,3,13,96,0,127,4,3,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
170,3427,388,1,131,7,1,18,89,1,125,4,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
180,3533,374,0,151,6,2,23,79,0,109,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
190,3640,371,0,127,8,1,15,51,1,162,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
200,3746,336,0,148,2,0,6,40,0,131,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
210,3978,351,0,140,4,2,4,34,0,156,3,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
220,4587,325,0,131,5,1,1,21,0,159,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5195,346,0,118,6,1,0,10,0,201,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0
240,5804,355,0,120,5,1,0,13,0,203,4,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
250,NA,341,0,92,8,2,2,12,0,214,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0
255,NA,364,0,99,3,1,0,5,0,241,4,2,0,0,0,3,1,0,0,1,1,0,0,3,0,0,0,0
260,NA,389,1,212,48,5,0,10,0,94,7,1,2,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0
265,NA,543,1,97,191,3,0,15,0,140,15,16,3,0,0,49,0,2,1,0,3,0,0,1,0,0,5,1
270,NA,318,1,83,115,2,0,7,0,64,12,10,3,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
