"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ilex","Liquidambar","Nyssa","Ostrya.Carpinus","Plantago.lanceolata","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Pinus","Caprifoliaceae","Cerealia","Polygonum","Rubiaceae","Acer.saccharum.type","Castanea","Ericaceae","Ulmus","Juglans.nigra","Rhamnaceae.Vitaceae","Thalictrum","Cupressaceae","Picea","Juglans.cinerea","Fraxinus.nigra.type","Salix","Abies","Artemisia","Corylus","Myrica","Onagraceae","Alnus.viridis.type","Sanguisorba","Potentilla.type","Prunus.Sorbus","Caryophyllaceae"
100,-25,331,4,4,53,27,9,9,8,2,21,1,10,3,2,9,2,118,4,1,2,8,1,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,96,359,4,0,16,9,10,9,2,1,21,0,9,7,0,1,2,180,1,1,4,14,0,2,0,60,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,217,376,2,3,14,5,11,15,9,0,16,0,4,9,3,0,0,183,1,3,1,13,0,0,0,75,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,338,435,0,5,5,7,13,17,4,2,19,0,4,8,2,0,1,180,0,1,2,16,0,0,0,135,2,5,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,904,390,1,4,0,7,17,12,4,1,18,1,3,3,1,0,1,210,0,0,0,9,0,0,0,90,0,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1916,362,2,1,1,5,13,7,6,1,8,0,3,9,0,0,3,216,0,3,3,14,0,0,0,61,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,2928,360,5,0,1,6,9,6,5,2,15,0,2,4,2,0,1,222,0,3,4,8,0,0,0,60,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3940,379,4,2,0,6,8,11,3,2,16,0,1,6,0,0,0,222,0,3,1,10,0,0,1,78,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,4952,344,2,3,0,5,13,9,8,0,13,0,7,4,1,0,1,201,0,4,0,17,0,0,0,46,0,2,1,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
145,5963,355,0,5,0,4,2,6,4,2,17,0,0,8,3,0,1,232,0,3,1,10,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6975,370,0,2,2,1,1,16,0,0,35,0,0,2,3,0,0,219,0,2,3,11,0,0,0,70,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7987,318,1,2,5,7,1,18,0,0,15,0,0,1,1,0,0,214,0,3,4,18,0,0,0,19,1,1,0,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0
165,9780,315,0,8,3,17,1,17,2,1,23,0,0,1,0,0,0,185,0,2,6,20,0,0,0,14,2,0,1,0,0,2,1,0,5,0,1,0,1,0,1,1,0,0,0,0,0,0
175,10881,306,0,11,5,32,1,8,1,0,21,2,0,1,1,0,0,142,0,4,2,46,0,0,1,5,0,0,3,1,0,0,0,0,10,0,0,1,2,0,5,0,1,0,0,0,0,0
180,11432,302,0,10,4,49,0,20,0,0,23,3,0,3,0,0,0,99,0,7,4,47,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,1,6,1,0,0,0,1,1,0,0,0
185,11906,302,0,11,1,69,0,18,2,0,16,1,4,0,9,0,0,35,0,0,5,55,0,0,0,0,0,0,1,0,0,0,1,0,49,0,3,3,6,0,3,0,0,2,7,1,0,0
195,12853,295,0,14,1,48,1,15,0,0,34,0,0,0,6,0,0,38,0,1,15,50,0,0,1,0,0,0,1,0,0,0,2,1,41,0,3,9,5,1,0,0,1,0,7,0,0,0
200,13327,293,0,11,1,63,0,13,1,0,44,0,0,0,2,0,0,17,0,0,12,30,0,0,2,0,0,0,3,0,0,0,2,1,56,0,7,8,0,1,0,0,0,3,13,0,3,0
210,NA,297,0,8,1,45,0,26,0,0,44,0,0,0,1,0,0,15,1,0,11,36,0,0,0,0,0,0,2,0,0,0,1,1,79,0,3,8,0,0,3,0,0,0,10,0,2,0
220,NA,293,0,13,0,61,1,21,0,0,29,0,0,0,0,0,0,10,0,0,16,38,0,0,1,0,0,0,2,0,0,0,2,1,57,0,2,3,0,3,1,0,0,4,18,4,5,1
230,NA,298,0,1,1,52,0,23,0,0,36,0,0,0,0,0,0,12,1,0,12,39,0,0,0,0,0,0,1,0,0,0,2,2,93,0,2,4,0,2,0,0,1,2,11,1,0,0
240,NA,301,0,10,0,58,2,19,0,0,34,0,0,0,1,0,0,5,0,0,8,40,0,0,0,0,0,0,4,0,0,0,1,1,91,0,2,3,0,4,0,3,0,0,14,0,1,0
245,NA,296,0,9,0,55,0,16,0,0,35,0,0,0,2,0,0,3,0,0,9,45,0,0,0,0,0,0,1,0,0,0,2,0,95,0,0,2,0,1,1,0,0,0,15,0,3,2
250,NA,296,0,1,3,96,0,26,0,0,22,0,0,0,1,0,0,12,0,0,5,43,0,0,4,0,0,0,4,0,0,0,0,0,59,0,1,3,0,1,0,0,0,0,11,2,0,2
