"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Betula","Carya","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Amaranthaceae","Poaceae","Plantago","Polygonum","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Artemisia","Ilex","Tilia.americana","Salix","Asteraceae.subf..Cichorioideae","Larix.laricina","Thalictrum","Liquidambar.styraciflua","Corylus","Populus","Abies","Apiaceae","Sanguisorba"
10,119,309,3,4,47,6,1,1,2,1,1,3,1,3,5,141,4,4,6,3,33,10,1,1,9,1,2,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,239,352,0,4,61,6,0,0,4,2,1,3,0,2,10,174,2,8,5,4,26,7,0,2,13,4,0,1,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
25,299,316,0,2,38,7,0,2,3,0,1,0,0,0,11,170,0,9,3,3,36,8,1,2,10,1,0,0,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0
30,359,366,0,3,51,12,0,0,3,1,3,4,0,1,14,157,1,14,3,9,52,6,0,2,13,0,0,2,7,5,0,1,0,2,0,0,0,0,0,0,0,0,0
35,418,380,0,2,46,11,0,0,0,1,1,3,1,0,16,173,1,4,12,6,66,2,0,3,9,0,0,4,9,6,0,0,0,2,2,0,0,0,0,0,0,0,0
40,478,320,1,5,35,6,0,3,2,0,6,3,0,3,12,132,1,13,4,4,59,8,0,0,9,1,0,2,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0
45,538,366,0,2,50,9,0,0,0,1,3,0,1,2,20,147,0,0,7,8,63,7,0,0,5,0,0,13,16,9,0,3,0,0,0,0,0,0,0,0,0,0,0
50,598,350,1,0,33,1,1,3,2,1,4,3,1,0,24,159,3,3,3,3,43,11,1,0,11,0,0,1,22,14,1,1,0,0,0,0,0,0,0,0,0,0,0
55,658,328,0,3,36,9,2,0,3,0,0,5,0,2,19,167,0,0,5,4,14,10,0,0,4,0,0,15,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0
60,717,366,0,3,36,11,1,0,0,0,1,2,1,1,24,203,4,2,3,5,18,11,0,0,1,0,0,6,16,15,0,0,1,1,0,0,0,0,0,0,0,0,0
