"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago.lanceolata","Platanus","Poaceae.undiff.","Polygonum","Potamogetonaceae","Potentilla.type","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
150,6975,0,0,0,2,0,2,1,0,3,1,0,0,1,0,1,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,11,0,0,35,0,0,0,0,0,219,0,70,0,0,0,0,6,2,1,2,1,0,0
155,7987,2,1,1,2,0,5,0,1,4,7,0,0,1,0,1,0,1,0,18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,18,0,0,15,0,1,0,0,0,214,0,19,0,0,1,0,8,4,0,3,1,1,0
165,9780,1,0,2,8,0,3,1,0,6,17,0,0,1,0,0,0,1,0,17,3,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,20,0,0,23,0,1,0,0,0,185,2,14,0,0,0,0,16,8,1,2,1,0,1
175,10881,2,0,0,11,0,5,1,0,2,32,1,0,1,0,0,0,5,0,8,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,10,46,0,0,21,1,0,0,0,0,142,0,5,0,0,1,0,22,23,0,4,1,1,0
180,11432,6,0,0,10,1,4,1,1,4,49,0,0,0,0,0,0,0,0,20,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,22,47,0,0,23,0,0,0,0,0,99,0,0,0,0,1,1,11,12,0,7,0,0,0
185,11906,6,0,0,11,2,1,0,0,5,69,6,0,0,0,0,0,3,0,18,3,1,1,2,0,3,0,1,0,0,0,4,5,0,1,1,0,0,0,0,9,49,55,0,0,16,0,1,1,0,1,35,0,0,0,0,3,7,2,1,1,0,1,0,1
195,12853,5,0,0,14,0,1,1,1,15,48,1,0,1,0,0,0,0,1,15,7,0,1,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,1,1,6,41,50,0,0,34,1,0,0,0,0,38,0,0,0,0,9,7,3,2,2,1,2,0,1
200,13327,0,0,0,11,3,1,0,1,12,63,1,0,0,0,0,0,0,1,13,7,1,3,1,1,7,0,0,9,0,0,0,4,0,0,3,0,0,0,0,2,56,30,0,0,44,2,0,0,3,0,17,0,0,0,0,8,13,0,0,2,0,5,0,2
210,NA,0,0,0,8,0,1,0,0,11,45,0,0,0,0,0,0,3,1,26,5,1,2,0,2,3,0,0,2,0,0,0,0,0,3,4,0,0,0,0,1,79,36,0,0,44,0,0,0,2,0,15,0,0,1,0,8,10,4,1,1,0,1,0,1
220,NA,0,0,0,13,4,0,2,3,16,61,0,0,1,1,0,0,1,1,21,4,1,2,0,0,2,0,0,5,0,0,0,6,0,5,1,0,0,0,0,0,57,38,0,0,29,1,2,4,5,0,10,0,0,0,0,3,18,1,0,2,0,2,0,0
230,NA,0,0,0,1,2,1,0,2,12,52,0,0,0,0,0,0,0,2,23,1,3,1,0,0,2,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,93,39,0,0,36,0,0,1,0,1,12,0,0,1,1,4,11,8,0,2,0,3,0,2
240,NA,0,0,0,10,0,0,0,4,8,58,0,0,2,0,0,0,0,1,19,5,4,4,0,0,2,0,0,5,0,0,0,2,3,0,1,0,0,0,0,1,91,40,0,0,34,0,0,0,1,0,5,0,0,0,0,3,14,4,0,1,0,1,0,1
245,NA,0,0,0,9,0,0,0,1,9,55,1,0,0,2,0,0,1,0,16,7,1,1,0,0,0,0,0,3,0,0,0,3,0,4,5,0,0,0,0,2,95,45,0,0,35,0,0,0,3,0,3,0,0,0,0,2,15,5,0,2,0,0,0,0
250,NA,0,0,0,1,0,3,0,1,5,96,0,0,0,2,0,0,0,0,26,0,0,4,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,59,43,0,0,22,4,1,2,0,0,12,0,0,0,0,3,11,2,0,0,0,0,0,4
