"sample.depths","sample.ages","Pinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinaceae..vesiculate..undiff.","Quercus","Carya","Taxodium","Cupressaceae.undiff.","Nyssa","Fagus","Ostrya.Carpinus","Liquidambar","Ulmus","Celtis","Fraxinus.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Alnus.incana.type","Acer.saccharum.type","Tilia","Ericaceae","Myrica","Betula","Vitis","Ilex","Arecaceae.undiff.","Abies","Acer.negundo.type","Acer.rubrum","Acer.undiff.","Anacardiaceae.undiff.","Bursera","Byrsonima","Ceanothus","Cedrus","Cephalanthus","Ceratiola.ericoides.type","cf..Weinmannia","Chamaecyparis.type","Clethra","Corylus","Cyrilla.racemiflora","Dodonaea","Gordonia","Hedyosmum","Juglans.nigra.type","Larix.Pseudotsuga","Ledum.type","Magnolia","Mimosaceae","Morus","Moraceae.undiff.","Myrtaceae.undiff.","Osmanthus","Parthenocissus","Phoradendron","Picea","Platanus","Podocarpus","Populus","Rhamnaceae.undiff.","Rhus","Rutaceae.undiff.","Sabal","Salix","Sambucus","Sapindus","Serenoa","Shepherdia.canadensis","Symplocos","Taxus","Trema","Tsuga","Viburnum","Ximenia","Zanthoxylum.type","Poaceae","Ambrosia.type","Iva.frutescens.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae.undiff.","Cyperaceae","Xyris","Acalypha.type","Apiaceae","Apocynum","cf..Araliaceae","Arceuthobium.Loranthaceae","Asteraceae.subf..Cichorioideae","Avena.type","Berberidaceae","Beta.vulgaris.type","Brassica","Brassicaceae.undiff.","Bromeliaceae","Campanulaceae","Cistaceae","Caryophyllaceae","cf..Oxalis","Chamaecrista.fasciculata.type","Chamaecrista.type","Dalea","Dalea.candida.type","Dalea.purpurea","Dalea.undiff.","Dianthus.type","Eryngium.type","Euphorbia","Fabaceae.undiff.","Froelichia.type","Galium","Gentianaceae.undiff.","Gentiana.andrewsii.type","Gomphrena.type","Hedysarum","cf..Hypericum","Impatiens","Iva.xanthifolia.type","Lamiaceae","Lechea","Ludwigia.type","Lupinus.type","Malvaceae","Combretaceae.Melastomataceae.undiff.","Onagraceae","Opuntia","Orchidaceae","cf..Physalis","Paronychia.americana","Paronychia.chartacea","Piperaceae.type","Plantago","Polygalaceae","Polygonella.ciliata.type","Polygonella.fimbriata.type","Polygonella.polygama.type","Polygonum.amphibium","Polygonum.tenue.type","Ranunculaceae.undiff.","Rhexia.type","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Sanguisorba","Saxifraga.type","Scrophulariaceae.type","Sisyrinchium","Solanaceae.undiff.","Solanum.rostratum","Thalictrum","Tillandsia","Trifolium.repens.type","Urtica.type","Urticaceae.undiff.","Urticales.undiff.","cf..Verbenaceae","Xanthium"
69,987,0.734020618556701,0.0288659793814433,0,0,0.0556701030927835,0.00412371134020619,0.00412371134020619,0.0185567010309278,0.00206185567010309,0,0,0,0,0,0.00206185567010309,0,0,0.00206185567010309,0,0,0,0.0144329896907217,0,0,0,0.00412371134020619,0,0,0,0,0,0,0.00206185567010309,0,0,0,0,0,0,0,0,0.00206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639175257731959,0.0268041237113402,0.00206185567010309,0,0.00206185567010309,0.00618556701030928,0.0206185567010309,0.00412371134020619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1128,0.553615960099751,0.0947630922693267,0,0,0.104738154613466,0.0149625935162095,0.00748129675810474,0.0149625935162095,0.00249376558603491,0,0.00249376558603491,0,0.00249376558603491,0,0.00249376558603491,0,0,0.00249376558603491,0.00249376558603491,0,0,0.0174563591022444,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723192019950125,0.0199501246882793,0.00748129675810474,0,0.0124688279301746,0.0374064837905237,0.0124688279301746,0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1276,0.709302325581395,0.0348837209302326,0,0,0.0697674418604651,0.00581395348837209,0.00968992248062015,0.0174418604651163,0,0,0.00193798449612403,0,0.00193798449612403,0.00193798449612403,0.00387596899224806,0,0,0,0,0,0.00387596899224806,0.0232558139534884,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0.00193798449612403,0,0,0,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465116279069767,0.0174418604651163,0.00193798449612403,0,0.00581395348837209,0.0155038759689922,0.0174418604651163,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193798449612403,0,0,0,0,0,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1433,0.655086848635236,0.0719602977667494,0,0,0.0769230769230769,0.0148883374689826,0,0.00248138957816377,0.00248138957816377,0,0.0099255583126551,0.00496277915632754,0,0,0.00496277915632754,0,0,0.00248138957816377,0,0,0,0.0223325062034739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129032258,0.0148883374689826,0,0.00248138957816377,0.00744416873449132,0.032258064516129,0.0099255583126551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1597,0.78524945770065,0.017353579175705,0.00216919739696312,0,0.0455531453362256,0.00216919739696312,0.00433839479392625,0.00650759219088937,0.00216919739696312,0,0,0,0.00216919739696312,0,0.0086767895878525,0,0,0,0,0,0,0.0086767895878525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455531453362256,0,0.00216919739696312,0,0.00650759219088937,0.0390455531453362,0.0151843817787419,0.00433839479392625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1683,0.639097744360902,0,0,0,0.0827067669172932,0.0175438596491228,0.0025062656641604,0.012531328320802,0.0025062656641604,0,0.0050125313283208,0.0050125313283208,0,0.0025062656641604,0.0025062656641604,0,0,0,0,0,0.0075187969924812,0.0275689223057644,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802005012531328,0.0100250626566416,0.0025062656641604,0.0025062656641604,0.012531328320802,0.0401002506265664,0.0325814536340852,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025062656641604,0,0,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1859,0.746203904555314,0.017353579175705,0,0,0.0607375271149675,0.0130151843817787,0.00433839479392625,0.00650759219088937,0.00216919739696312,0,0,0.00433839479392625,0,0,0.00650759219088937,0,0,0,0.00216919739696312,0,0,0.0303687635574837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477223427331887,0.00650759219088937,0,0,0.0086767895878525,0.0130151843817787,0.017353579175705,0.00433839479392625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0,0
117,1949,0.693979933110368,0.0568561872909699,0.00167224080267559,0,0.0719063545150502,0.0150501672240803,0.0133779264214047,0.0133779264214047,0,0,0.00334448160535117,0.00167224080267559,0.00167224080267559,0,0.00334448160535117,0,0,0,0,0,0.00334448160535117,0.0167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668896321070234,0.00501672240802676,0,0,0.00167224080267559,0.00836120401337793,0.0133779264214047,0.00334448160535117,0,0.00167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2323,0.792096219931271,0.00859106529209622,0.00171821305841924,0,0.0549828178694158,0.00343642611683849,0,0.00343642611683849,0,0,0,0.00171821305841924,0.00171821305841924,0,0.00171821305841924,0,0,0.00171821305841924,0,0.00171821305841924,0,0,0,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0.0790378006872852,0.00343642611683849,0.00171821305841924,0,0.00343642611683849,0.0257731958762887,0.00687285223367698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2515,0.63235294117647,0.0465686274509804,0.00245098039215686,0,0.0857843137254902,0.00490196078431373,0,0.00735294117647059,0,0,0.00245098039215686,0,0,0,0.00245098039215686,0,0,0,0,0,0,0.0122549019607843,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235294117647,0.00245098039215686,0.0122549019607843,0,0.0122549019607843,0.0490196078431373,0.017156862745098,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245098039215686,0,0,0,0,0,0.00490196078431373,0,0,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0.00490196078431373,0,0,0,0
