"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Asteraceae.undiff.","Cyperaceae","Ericaceae","Fagus","Ilex","Larix","Ostrya.Carpinus","Picea","Potentilla.type","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Acer","Pinus","Amaranthaceae","Viburnum","Poaceae","Corylus","Thalictrum","Fabaceae","Fraxinus","Juglans","Myrica","Polygonaceae.undiff.","Caprifoliaceae.undiff.","Carya","Rosaceae.undiff."
0,-20,0.0514285714285714,0.0142857142857143,0.00571428571428571,0.134285714285714,0.00285714285714286,0.0171428571428571,0.12,0.0285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00571428571428571,0.24,0.02,0.0114285714285714,0.0514285714285714,0.00285714285714286,0.00571428571428571,0.00285714285714286,0.0542857142857143,0.00857142857142857,0.0714285714285714,0.00857142857142857,0.00857142857142857,0.125714285714286,0,0,0,0,0,0,0,0,0,0
10,18,0.04,0.0211764705882353,0.00470588235294118,0.115294117647059,0.00235294117647059,0,0.148235294117647,0.0564705882352941,0.00705882352941176,0,0.00235294117647059,0.00705882352941176,0.181176470588235,0,0.00941176470588235,0.08,0,0,0.00470588235294118,0.0611764705882353,0.00470588235294118,0.0447058823529412,0.00235294117647059,0,0.183529411764706,0.00235294117647059,0.00235294117647059,0.00235294117647059,0.00705882352941176,0.00235294117647059,0.00705882352941176,0,0,0,0
20,57,0.0193321616871705,0.0193321616871705,0,0.184534270650264,0,0.00351493848857645,0.258347978910369,0.0404217926186292,0.031634446397188,0,0,0.0105448154657293,0.0421792618629174,0,0.0105448154657293,0.0949033391915641,0.00175746924428822,0.0140597539543058,0,0.0246045694200351,0.00351493848857645,0.0263620386643234,0,0,0.205623901581722,0,0.00175746924428822,0,0,0,0.00527240773286467,0.00175746924428822,0,0,0
40,239,0.140562248995984,0,0,0.329317269076305,0,0.00401606425702811,0.0401606425702811,0.0843373493975904,0.0682730923694779,0,0,0.0120481927710843,0.112449799196787,0,0.0441767068273092,0.0160642570281124,0,0.0401606425702811,0,0.0240963855421687,0.00401606425702811,0.0562248995983936,0,0,0.00803212851405622,0,0,0,0.00803212851405622,0,0.00401606425702811,0.00401606425702811,0,0,0
60,527,0.0683760683760684,0.00427350427350427,0,0.397435897435897,0,0,0.0341880341880342,0.0128205128205128,0.183760683760684,0,0,0,0.0897435897435897,0,0.0256410256410256,0,0,0.0512820512820513,0.00427350427350427,0.0128205128205128,0.0128205128205128,0.0854700854700855,0,0,0,0.00427350427350427,0,0,0.00427350427350427,0,0.00427350427350427,0,0.00427350427350427,0,0
80,815,0.0700389105058366,0,0,0.377431906614786,0,0,0.0311284046692607,0.124513618677043,0.108949416342412,0,0,0.0155642023346304,0.0778210116731518,0,0.0428015564202335,0,0,0.0311284046692607,0,0.0116731517509728,0,0.0972762645914397,0,0,0,0,0,0,0.00389105058365759,0,0.00389105058365759,0,0,0.00389105058365759,0
100,1103,0.0682730923694779,0.0120481927710843,0,0.397590361445783,0,0.00401606425702811,0.0240963855421687,0.0843373493975904,0.120481927710843,0,0.00401606425702811,0.0160642570281124,0.0923694779116466,0,0.0602409638554217,0.0120481927710843,0,0.0240963855421687,0,0.0120481927710843,0,0.0602409638554217,0,0,0.00803212851405622,0,0,0,0,0,0,0,0,0,0
120,1390,0.111607142857143,0,0.00446428571428571,0.419642857142857,0,0,0,0.0401785714285714,0.196428571428571,0,0,0.0133928571428571,0.0401785714285714,0,0.0446428571428571,0,0,0.03125,0.00446428571428571,0.00446428571428571,0.00892857142857143,0.0758928571428571,0,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0
140,1678,0.0225225225225225,0,0,0.5,0,0,0.009009009009009,0.0225225225225225,0.0810810810810811,0.0045045045045045,0,0,0.072072072072072,0,0.130630630630631,0.0045045045045045,0,0.063063063063063,0,0.009009009009009,0.0045045045045045,0.0675675675675676,0,0,0,0,0,0,0,0,0,0.009009009009009,0,0,0
160,1966,0.0565217391304348,0,0,0.382608695652174,0,0,0,0.104347826086957,0.0652173913043478,0,0.00434782608695652,0.0130434782608696,0.0826086956521739,0,0.152173913043478,0,0,0.0391304347826087,0,0,0.00869565217391304,0.0826086956521739,0,0,0,0,0,0,0.00434782608695652,0,0,0.00434782608695652,0,0,0
