"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Asteraceae.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Alnus","Acer","Pinus","Cyperaceae","Fraxinus","Ulmus","Poaceae","Ericaceae","Amaranthaceae","Corylus","Salix","Carya","Populus","Cupressaceae","Ephedra","Elaeagnaceae"
120,150,1025,30,30,188,15,35,17,89,42,40,5,534,0,0,0,0,0,0,0,0,0,0,0,0,0
140,474,1000,16,24,258,24,35,5,82,24,43,8,461,10,10,0,0,0,0,0,0,0,0,0,0,0
160,798,1100,28,23,379,46,35,17,93,37,28,7,382,0,11,14,0,0,0,0,0,0,0,0,0,0
180,1122,1000,24,0,254,24,41,18,64,49,49,8,412,15,10,12,20,0,0,0,0,0,0,0,0,0
200,1446,1014,24,0,193,24,45,17,62,41,53,10,484,20,24,12,5,0,0,0,0,0,0,0,0,0
220,1770,982,30,20,100,15,32,0,50,40,20,15,630,0,10,0,20,0,0,0,0,0,0,0,0,0
240,2094,1000,38,0,153,19,17,10,43,34,28,5,633,0,0,0,17,3,0,0,0,0,0,0,0,0
260,2418,1000,29,5,144,0,16,17,49,21,15,5,672,0,10,0,17,0,0,0,0,0,0,0,0,0
280,2742,991,20,5,133,0,8,5,30,20,24,8,711,0,9,0,18,0,0,0,0,0,0,0,0,0
300,3066,992,15,19,120,0,11,11,19,40,34,5,692,0,10,0,5,0,11,0,0,0,0,0,0,0
320,3390,993,17,30,135,10,11,8,29,41,34,8,670,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3714,1000,23,5,122,10,20,10,34,34,20,5,694,0,0,0,20,3,0,0,0,0,0,0,0,0
360,4038,1001,15,10,113,24,24,18,24,32,28,8,683,0,0,10,12,0,0,0,0,0,0,0,0,0
380,4362,1005,0,32,170,19,21,10,24,46,42,12,584,0,17,14,14,0,0,0,0,0,0,0,0,0
400,4686,989,21,23,261,23,19,17,28,56,56,14,410,5,19,9,28,0,0,0,0,0,0,0,0,0
420,5010,1000,19,30,240,30,11,16,14,65,58,8,470,0,19,10,10,0,0,0,0,0,0,0,0,0
440,5334,1000,0,18,204,37,12,13,10,93,42,10,501,0,18,12,23,0,7,0,0,0,0,0,0,0
460,5658,1010,0,14,233,30,15,10,0,56,81,0,504,14,0,12,29,0,12,0,0,0,0,0,0,0
480,5982,1000,12,38,191,24,18,16,0,98,81,0,469,15,0,15,0,3,9,11,0,0,0,0,0,0
500,6306,1000,9,39,165,24,0,15,5,68,78,0,543,8,0,15,19,0,12,0,0,0,0,0,0,0
520,6630,1000,25,20,155,18,0,0,20,77,95,0,498,10,18,29,20,0,0,15,0,0,0,0,0,0
540,6954,983,10,37,130,30,0,14,5,95,56,0,503,18,11,28,18,0,18,10,0,0,0,0,0,0
