"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cephalanthus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Rumex","Xanthium","Adiantum","Dryopteris.type","Pteridium","Nuphar","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
0,-27,0,11,12,50,1,0,0,0,8,8,4,0,5,3,57,1,30,2,0,7,15,36,0,1,2,0,2,1,3,20,0,0,0,0,0,0,0,0,4,0,0
10,87,1,4,16,40,3,0,1,0,13,8,2,1,3,3,64,0,28,3,1,16,12,75,1,0,1,0,5,0,0,35,0,0,0,0,0,0,0,0,1,4,0
20,202,1,8,14,40,3,0,0,0,10,3,1,0,7,6,74,0,20,0,2,9,16,78,0,1,0,0,1,0,0,21,1,0,0,0,0,0,0,0,1,5,0
30,316,0,6,18,43,3,0,1,0,8,8,2,0,5,3,61,0,22,4,0,11,27,104,0,1,0,0,10,1,2,30,0,0,0,1,1,0,0,0,1,6,0
40,430,0,7,14,42,3,0,0,0,11,3,3,0,5,2,64,0,23,0,2,15,20,82,0,0,0,0,2,1,3,29,3,0,0,3,0,0,0,0,1,4,0
50,545,0,6,11,31,1,0,0,0,7,2,0,0,6,2,74,2,24,1,2,19,24,63,0,2,2,1,3,0,0,24,1,0,0,0,0,0,0,0,0,3,0
60,659,0,4,14,35,5,0,0,0,6,4,1,0,4,3,74,0,26,2,4,19,15,54,0,1,0,0,1,1,1,20,4,0,0,0,0,0,1,0,1,0,0
70,774,0,5,10,32,3,0,0,0,11,0,1,0,4,1,82,0,21,1,0,19,21,45,0,0,1,0,7,1,0,25,0,0,0,1,2,0,0,0,0,6,0
80,888,1,5,4,26,0,0,0,0,11,1,0,0,4,1,90,0,14,0,7,18,22,27,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0
90,1002,1,6,1,18,5,0,0,0,8,5,0,0,8,2,99,0,7,0,5,26,10,11,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,1,0
100,1117,0,5,2,23,5,0,0,0,5,5,1,0,21,2,54,0,23,0,8,29,19,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
110,1231,1,5,1,25,4,0,0,0,15,1,0,0,19,4,35,0,26,0,6,43,16,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0
120,1346,0,13,0,21,4,0,0,0,10,3,6,0,21,0,33,0,21,0,8,31,29,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
130,1460,1,12,3,23,4,0,2,0,17,12,2,2,12,1,27,0,35,1,3,31,16,2,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,3
140,1575,0,19,4,27,3,0,2,0,19,2,3,0,11,1,24,2,24,0,5,28,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,1586,1,18,1,28,5,0,1,0,25,7,3,1,10,0,21,0,15,0,3,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
142,1597,1,17,0,17,2,0,2,0,31,6,4,0,11,1,18,1,25,0,8,27,29,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,1609,0,15,2,17,3,0,0,0,36,11,4,0,6,0,13,1,22,0,12,36,24,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
144,1620,0,19,2,12,4,0,2,0,33,6,5,1,9,0,12,0,28,0,9,31,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
