"sample.depths","sample.ages","upland.sum","Betula","Carya","Castanea","Celtis","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Populus","Poaceae","Rosaceae","Acer.saccharum","Pinus.strobus","Rhamnus","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.trees.and.shrubs","Acer.rubrum","Artemisia","Cephalanthus","Nyssa","Salix","Tsuga","Juglans.cinerea.type","Corylus","Acer.undiff.","Amaranthaceae.undiff.","Rhus","Myrica","Cupressaceae.undiff.","Other.herbs","Abies","Larix","Apiaceae","Iva.type","Urtica","Cornus","Caryophyllaceae","Juniperus.type","Brassicaceae","Ranunculus","Galium","Shepherdia.canadensis","Polygonum","Sarcobatus.vermiculatus","Acer.saccharinum","Xanthium","Asteraceae.subf..Cichorioideae"
15,NA,632,4,95,1,2,34,4,14,3,19,9,1,4,2,373,1,1,4,16,5,3,5,7,2,1,2,1,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NA,450,3,30,0,0,36,2,30,4,9,9,0,7,4,218,4,2,2,30,0,4,6,6,7,2,0,0,10,2,8,2,1,2,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7680,373,0,28,0,0,15,9,29,3,10,17,0,2,9,160,1,0,1,44,2,7,5,2,0,6,0,0,0,5,0,0,1,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,9206,418,4,27,2,3,3,12,1,2,10,12,0,5,8,228,1,3,4,24,1,17,8,14,0,5,0,0,0,2,0,0,2,0,0,6,2,1,3,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,9696,353,3,16,0,0,13,1,0,1,11,42,0,17,0,172,0,6,0,37,3,5,3,8,0,3,0,0,0,3,0,0,0,0,0,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10111,672,7,17,0,0,6,9,1,4,8,67,0,267,0,114,0,0,1,35,4,0,0,9,0,6,79,0,0,21,0,0,3,0,0,1,0,2,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,10497,742,11,1,0,0,6,0,0,0,13,23,4,323,1,73,0,2,2,35,4,1,1,5,0,4,146,0,0,60,0,0,0,0,0,2,8,1,6,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,10857,492,17,4,1,0,31,0,0,1,4,14,17,100,0,66,0,0,2,31,4,0,2,9,2,1,42,0,0,102,0,0,1,0,0,6,17,3,2,0,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,11499,980,5,4,0,0,4,2,1,0,16,23,12,415,0,64,1,0,0,31,0,1,0,4,0,2,175,0,1,182,0,0,1,0,0,2,14,1,6,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,11865,611,18,3,0,0,10,0,0,1,16,6,12,249,0,52,0,0,6,35,5,3,1,6,0,3,34,0,0,102,0,0,2,0,0,13,15,1,6,1,0,0,0,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,12071,713,4,1,0,0,31,1,0,0,13,14,48,187,0,24,0,0,2,9,3,1,5,6,1,0,20,0,0,305,0,0,3,0,0,6,4,0,4,0,1,0,0,1,0,11,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
183,12310,618,3,1,0,0,13,0,1,0,8,3,57,200,0,21,0,0,2,9,3,2,9,11,0,5,28,0,0,201,0,0,4,0,0,4,2,1,6,0,0,0,0,4,1,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,12528,372,11,3,0,0,16,0,1,2,10,31,79,15,0,40,1,0,3,16,6,6,16,15,0,1,0,0,0,36,0,0,3,1,0,8,0,0,9,0,0,0,0,4,1,33,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
203,12726,350,8,2,1,0,17,0,4,6,27,42,58,13,0,36,2,0,6,9,2,5,14,30,0,3,0,0,1,0,1,0,10,0,1,4,2,0,6,0,0,0,0,0,3,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,12907,415,4,7,0,0,34,0,3,1,25,34,82,5,0,52,0,0,5,8,4,0,16,53,0,2,1,0,1,1,0,0,5,0,0,4,1,0,9,0,0,0,0,0,0,50,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
224,13085,402,4,4,0,1,26,0,1,2,26,39,82,10,0,62,0,0,3,17,4,1,3,44,2,1,0,1,0,5,0,0,3,0,0,3,5,1,3,1,1,0,0,0,0,44,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,13361,408,1,0,0,1,23,0,1,8,39,47,90,1,2,57,0,0,6,15,1,3,3,60,0,2,0,1,0,4,0,0,8,0,0,7,0,1,3,2,0,0,1,0,0,17,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
254,13477,396,4,3,0,1,23,0,1,2,24,20,100,4,1,38,1,0,6,7,1,2,27,85,1,1,0,0,0,0,0,0,4,0,0,5,1,0,2,0,0,0,0,0,0,21,1,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0
264,13581,385,3,4,0,1,30,0,0,2,38,57,141,3,0,45,2,0,6,11,0,4,0,23,1,1,1,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274,13673,388,5,2,0,2,45,0,2,2,39,44,123,1,2,50,0,0,5,10,0,2,0,31,1,1,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0
284,13754,364,1,2,0,1,19,0,0,2,56,47,120,0,1,50,0,1,8,7,0,3,3,20,0,1,0,1,0,2,0,0,1,0,0,5,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
295,13832,331,4,0,0,1,31,0,1,1,35,39,95,1,0,45,0,0,5,5,4,5,1,35,0,1,0,1,0,1,0,0,5,0,0,3,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
305,13894,84,2,0,0,1,9,0,0,2,5,8,20,0,1,9,0,0,2,0,0,2,9,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
315,13949,467,12,2,0,1,47,0,0,3,49,28,105,5,0,50,1,0,18,9,1,2,1,85,1,1,1,1,0,0,0,0,7,0,0,13,0,0,0,0,1,1,0,0,0,5,2,0,0,1,0,0,5,0,2,0,3,4,0,0,0,0
335,14040,296,1,1,0,0,46,1,0,3,25,32,69,4,1,41,1,0,11,1,0,4,4,31,0,0,0,1,0,0,0,0,6,0,0,3,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
366,14153,240,2,0,0,0,9,0,0,0,29,21,114,1,0,17,0,0,3,3,0,1,4,15,0,1,0,1,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,4,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
396,14253,367,0,2,0,0,27,0,4,2,46,45,145,4,0,34,0,0,3,4,3,2,2,27,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
417,14334,343,5,0,0,0,5,0,0,1,31,27,169,5,0,33,1,0,4,4,2,4,6,22,1,2,0,0,0,0,0,0,2,0,0,5,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
427,14379,434,5,4,0,0,31,0,1,3,19,21,164,6,0,47,2,0,14,6,8,4,2,61,0,1,0,0,0,10,0,0,6,0,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,2,2,0,0,0,0,0
447,14488,298,1,0,0,0,9,0,0,1,17,2,175,3,0,15,0,0,4,0,6,1,2,29,0,0,0,0,0,8,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
467,14628,117,3,0,0,0,5,0,0,1,6,7,58,1,0,14,0,0,5,0,2,0,1,5,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,14818,100,2,1,0,0,0,0,0,1,16,0,43,3,0,7,0,0,1,0,1,0,0,8,0,0,0,0,0,3,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
508,15049,364,1,0,0,0,13,0,0,1,8,8,241,5,0,27,1,0,4,1,7,2,1,28,2,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1
528,15338,357,2,0,0,0,10,0,0,1,12,1,242,10,0,31,2,0,4,1,7,1,0,17,0,0,0,0,0,1,0,0,9,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
549,15712,351,6,1,0,0,9,0,0,1,14,10,228,9,0,28,2,0,5,0,4,4,1,6,1,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
571,NA,403,2,1,0,0,9,0,0,1,3,0,258,2,0,25,4,0,9,1,5,4,7,46,0,0,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
588,NA,329,4,1,0,0,2,0,0,0,14,6,239,1,0,23,1,0,6,0,1,0,0,3,0,0,0,2,0,0,0,0,14,0,0,0,0,0,1,1,0,0,2,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
