"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Artemisia","Betula","Carya","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Liquidambar","Nemopanthus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Zea.mays","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Urticaceae","Plantago","Ranunculus","Juniperus","Castanea","Fabaceae","Thalictrum","Caryophyllaceae","Juglans.nigra","Nyssa","Ephedra","Xanthium","Coptis","Myrica","Potentilla.palustris","Lamiaceae","Cephalanthus","Juglans.undiff.","cf..Gentiana","Polygonum"
0,-14,0.000539665407447383,0.0388559093362115,0.00431732325957906,0.00269832703723691,0.0836481381543443,0.00647598488936859,0.0215866162978953,0.00377765785213168,0.00377765785213168,0.0339989206691851,0.0334592552617377,0.00755531570426336,0.00161899622234215,0.084727468969239,0.00485698866702644,0.0906637884511603,0.00107933081489477,0.000539665407447383,0.00107933081489477,0.0199676200755532,0.00269832703723691,0.0491095520777118,0.0205072854830005,0.0798704803022126,0.00701565029681597,0.055045871559633,0.0124123043712898,0.00377765785213168,0.000539665407447383,0.0334592552617377,0.0091743119266055,0.0242849433351322,0.00161899622234215,0.00215866162978953,0.000539665407447383,0.00863464651915812,0.1958985429034,0.00269832703723691,0.0107933081489477,0.0091743119266055,0.000539665407447383,0.000539665407447383,0.0232056125202375,0.000539665407447383,0.000539665407447383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,5,0,0.0393700787401575,0.00708661417322835,0,0.0590551181102362,0.0102362204724409,0.0062992125984252,0.00236220472440945,0.0133858267716535,0.0543307086614173,0.0559055118110236,0.0102362204724409,0.0031496062992126,0.0968503937007874,0.00236220472440945,0.0118110236220472,0.0015748031496063,0,0,0.0173228346456693,0,0.00708661417322835,0.0196850393700787,0.031496062992126,0.0062992125984252,0.0645669291338583,0.0244094488188976,0.0047244094488189,0.00078740157480315,0.062992125984252,0.0149606299212598,0.0488188976377953,0.0015748031496063,0,0,0.0062992125984252,0.269291338582677,0.00708661417322835,0.0062992125984252,0.00866141732283465,0,0,0.021259842519685,0.00078740157480315,0,0.00078740157480315,0.00078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,45,0,0.0494505494505494,0.00641025641025641,0.00366300366300366,0.0714285714285714,0.00824175824175824,0.00641025641025641,0.00183150183150183,0.0146520146520147,0.054029304029304,0.106227106227106,0.00915750915750916,0.000915750915750916,0.0924908424908425,0.00183150183150183,0.00732600732600733,0,0.000915750915750916,0,0.00915750915750916,0,0.000915750915750916,0.0192307692307692,0.0146520146520147,0.00457875457875458,0.0641025641025641,0.0412087912087912,0.00457875457875458,0.00641025641025641,0.100732600732601,0.0146520146520147,0.0347985347985348,0.00183150183150183,0,0,0.010989010989011,0.211538461538462,0.00183150183150183,0.000915750915750916,0.00457875457875458,0.00183150183150183,0,0.0128205128205128,0.000915750915750916,0,0.00183150183150183,0,0.000915750915750916,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,84,0,0.0452127659574468,0.00531914893617021,0.000886524822695035,0.0851063829787234,0.00443262411347518,0.00443262411347518,0.00177304964539007,0.0168439716312057,0.0540780141843972,0.106382978723404,0.0115248226950355,0.00177304964539007,0.0904255319148936,0.00265957446808511,0.000886524822695035,0.00443262411347518,0.000886524822695035,0.00177304964539007,0.0132978723404255,0.00177304964539007,0.00177304964539007,0.0124113475177305,0.0132978723404255,0.00443262411347518,0.0620567375886525,0.0460992907801418,0.00354609929078014,0.00443262411347518,0.0833333333333333,0.0115248226950355,0.025709219858156,0,0,0,0.0115248226950355,0.236702127659574,0.00354609929078014,0,0.00531914893617021,0,0,0.00975177304964539,0,0,0.00354609929078014,0.00531914893617021,0,0.000886524822695035,0.000886524822695035,0,0,0,0,0,0,0,0,0,0,0
17.5,122,0,0.0454545454545455,0.00317124735729387,0.00105708245243129,0.0782241014799154,0.00739957716701903,0.00105708245243129,0.00211416490486258,0.0126849894291755,0.0486257928118393,0.113107822410148,0.0126849894291755,0.00422832980972516,0.080338266384778,0.00317124735729387,0.00211416490486258,0.00211416490486258,0.00105708245243129,0,0.00845665961945032,0.00211416490486258,0.00211416490486258,0.0211416490486258,0.0147991543340381,0.00739957716701903,0.087737843551797,0.0486257928118393,0.00528541226215645,0.00634249471458774,0.115221987315011,0.0095137420718816,0.0465116279069767,0.00105708245243129,0,0,0.0116279069767442,0.178646934460888,0,0,0.00105708245243129,0,0,0.00845665961945032,0,0,0.00528541226215645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,160,0,0.077760497667185,0.0077760497667185,0.0015552099533437,0.0933125972006221,0.0108864696734059,0.00933125972006221,0,0.0139968895800933,0.0108864696734059,0.213063763608087,0.0124416796267496,0.0062208398133748,0.0062208398133748,0,0.0015552099533437,0,0,0,0.0171073094867807,0.0015552099533437,0,0.0342146189735614,0.0357698289269051,0.0124416796267496,0.105754276827372,0.00933125972006221,0.0015552099533437,0.00933125972006221,0.225505443234837,0.0015552099533437,0.0482115085536547,0,0,0,0.0062208398133748,0.0202177293934681,0,0.0031104199066874,0,0,0,0,0,0,0.0015552099533437,0,0,0,0,0.0015552099533437,0,0,0,0,0,0,0,0,0,0
27.5,198,0,0.0632279534109817,0.0133111480865225,0.00332778702163062,0.0981697171381032,0.0116472545757072,0.00665557404326123,0.00166389351081531,0.0133111480865225,0.00665557404326123,0.189683860232945,0.0133111480865225,0.00831946755407654,0,0.00332778702163062,0,0,0,0,0.0199667221297837,0.00499168053244592,0.00166389351081531,0.0415973377703827,0.0266222961730449,0.00831946755407654,0.128119800332779,0,0,0.0116472545757072,0.252911813643927,0.00166389351081531,0.043261231281198,0,0,0,0.00831946755407654,0.00998336106489185,0,0,0.00166389351081531,0,0,0,0,0,0.00499168053244592,0,0,0,0.00166389351081531,0,0,0,0,0,0,0,0,0,0,0
32.5,235,0,0.0586370839936609,0.0063391442155309,0.00316957210776545,0.114104595879556,0.01743264659271,0.00950871632329636,0,0.0190174326465927,0.00792393026941363,0.188589540412044,0.0126782884310618,0.0110935023771791,0.0063391442155309,0.00475435816164818,0,0,0,0,0.00950871632329636,0,0,0.0380348652931854,0.0301109350237718,0.00792393026941363,0.123613312202853,0.00316957210776545,0,0.00792393026941363,0.236133122028526,0.00475435816164818,0.0538827258320127,0,0,0,0.0063391442155309,0.00950871632329636,0,0.00316957210776545,0,0,0,0,0,0,0.00475435816164818,0,0,0,0,0,0.00158478605388273,0,0,0,0,0,0,0,0,0
42.5,309,0,0.092436974789916,0.00168067226890756,0,0.102521008403361,0.0201680672268908,0.00336134453781513,0.00168067226890756,0.0117647058823529,0.0201680672268908,0.247058823529412,0.0100840336134454,0.0100840336134454,0,0.00672268907563025,0,0,0,0,0.0134453781512605,0,0.00168067226890756,0.0218487394957983,0.0252100840336134,0.00504201680672269,0.105882352941176,0.00336134453781513,0,0.00840336134453781,0.21344537815126,0.00336134453781513,0.0420168067226891,0,0,0,0.00336134453781513,0.0134453781512605,0,0.00168067226890756,0,0,0.00168067226890756,0,0,0,0.00336134453781513,0,0.00168067226890756,0,0,0,0,0.00168067226890756,0.00168067226890756,0,0,0,0,0,0,0
57.5,418,0,0.0734557595993322,0.011686143572621,0.00333889816360601,0.105175292153589,0.013355592654424,0.00333889816360601,0,0.00834724540901502,0.00667779632721202,0.237061769616027,0.015025041736227,0.00834724540901502,0.00166944908180301,0.00667779632721202,0,0,0,0,0.00500834724540901,0.00166944908180301,0.00166944908180301,0.0283806343906511,0.0283806343906511,0.00166944908180301,0.126878130217028,0.00166944908180301,0,0.015025041736227,0.2220367278798,0.00166944908180301,0.0467445742904841,0,0,0,0.010016694490818,0.013355592654424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166944908180301,0,0,0,0,0,0
