"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Acer.saccharum","Fraxinus.americana","Juglans.cinerea","Rumex","Salix","Tilia","Populus","Amaranthaceae","Larix","Sanguisorba","Fraxinus.nigra","Artemisia","Rosaceae.undiff.","Platanus","Vitis","Juglans.nigra","Acer.rubrum","Celtis","Ericaceae","Plantago","Acer.negundo","Iva.annua","Iva.xanthifolia","Caryophyllaceae","Shepherdia.canadensis","Ranunculus"
1,-29,351,3,74,2,5,1,3,2,5,15,30,1,31,2,11,6,20,5,123,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,56,345,5,43,0,1,4,4,5,5,8,19,0,24,1,9,28,26,7,125,10,10,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,178,322,0,59,0,0,5,0,6,5,8,13,0,34,1,9,8,5,1,154,3,4,1,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,332,333,8,73,4,2,3,0,3,9,5,20,0,42,0,7,26,1,2,116,0,2,1,0,0,2,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
80,486,322,0,95,1,0,1,0,17,7,2,20,0,91,0,4,0,0,0,64,2,13,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,640,393,2,77,1,0,4,0,28,5,5,17,0,135,0,9,12,0,0,70,0,17,1,1,0,0,2,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
120,795,341,1,91,3,0,1,0,33,8,3,12,0,108,0,7,1,0,0,58,0,5,2,1,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,949,373,1,73,1,1,3,0,27,7,2,14,0,128,0,8,6,1,0,74,0,10,3,0,0,0,2,6,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
160,1103,321,0,51,3,0,1,0,18,5,1,27,1,88,1,11,3,0,0,84,0,13,2,0,0,0,4,1,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,1258,347,1,73,3,1,1,0,19,13,2,28,0,87,0,12,15,0,1,65,0,13,2,0,0,0,1,1,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,1412,311,0,59,0,0,4,0,32,7,0,34,0,68,0,10,9,2,0,63,1,10,5,0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,1566,332,0,57,0,1,0,1,21,3,0,27,0,91,0,12,7,1,1,79,0,11,0,0,0,1,5,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
240,1721,310,0,57,2,0,2,0,39,10,1,14,0,82,0,12,0,0,1,62,1,16,1,0,0,0,3,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
260,1875,363,1,52,1,0,1,0,26,7,2,24,0,102,1,13,10,0,0,105,0,9,2,0,0,1,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
280,2029,323,3,53,1,1,5,1,19,10,1,9,0,94,0,13,5,0,0,74,1,18,3,0,0,2,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2184,337,0,47,0,0,0,0,25,6,0,16,0,87,0,9,0,0,0,121,0,11,2,0,0,0,6,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2338,319,0,51,4,0,2,0,33,9,2,17,0,99,1,6,0,0,0,73,0,12,3,0,0,0,1,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
340,2492,320,1,45,1,0,8,0,20,9,1,23,0,110,0,9,6,0,0,64,0,9,4,0,0,1,2,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
360,2647,322,0,41,1,1,5,0,18,10,3,7,0,139,0,7,0,0,0,77,1,7,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2801,337,2,60,2,0,6,2,39,13,1,19,0,80,0,13,2,0,0,74,1,15,2,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,2955,328,0,53,2,2,8,0,19,11,3,19,0,82,0,10,0,0,0,95,2,7,2,0,0,0,2,5,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
420,3109,304,1,54,1,0,10,0,28,5,2,18,1,53,0,5,4,1,0,99,0,10,5,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
440,3264,357,1,48,0,1,3,0,23,9,2,24,0,69,0,10,2,1,0,128,1,19,2,1,0,0,3,1,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
460,3418,303,0,39,0,1,4,0,20,3,6,12,0,51,0,5,9,1,0,133,1,10,1,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,3572,363,0,43,2,1,8,0,19,7,7,23,1,48,1,10,5,0,0,168,1,10,3,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,3727,332,0,38,1,0,4,0,13,8,2,23,0,20,0,14,3,0,0,176,2,11,4,0,0,0,1,0,0,1,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
520,3881,313,1,34,8,0,6,1,19,5,1,44,0,16,0,7,6,1,0,146,0,7,1,1,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,4035,329,1,47,0,0,11,1,10,12,0,30,0,6,0,10,10,0,0,167,1,11,2,1,0,0,1,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
560,4190,317,2,42,3,2,8,1,16,4,1,24,0,15,0,8,1,0,0,168,0,13,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
580,4344,313,0,25,0,1,15,1,7,11,1,41,1,5,0,7,13,0,0,162,1,10,6,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,4498,328,3,40,0,0,9,0,16,8,1,50,0,13,0,6,8,1,0,146,0,9,0,0,0,0,8,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,4653,341,0,46,1,1,8,1,13,7,1,44,0,18,0,8,12,0,0,157,0,16,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
640,4807,296,0,69,0,0,12,0,19,4,2,22,0,16,0,9,0,0,0,121,1,8,5,0,0,0,3,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
660,4961,302,0,67,2,1,11,0,29,6,0,20,0,32,0,15,7,1,0,81,1,12,2,0,0,2,3,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,5394,293,0,40,1,0,4,0,12,4,0,13,0,88,1,10,0,0,1,103,0,10,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
700,5827,343,1,27,0,0,1,0,28,1,1,16,1,83,0,10,5,0,0,146,0,9,3,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720,6261,299,0,20,1,0,4,0,9,4,1,44,0,67,1,13,4,0,0,123,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,6694,295,0,4,1,0,4,1,13,2,0,55,0,38,0,7,4,1,0,150,0,8,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,7127,315,0,34,2,0,1,1,13,8,2,37,0,54,0,15,6,0,0,126,1,9,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,7560,323,0,23,0,0,6,1,17,2,1,34,0,53,0,18,5,1,0,152,0,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
800,7993,338,0,19,0,0,3,1,6,5,4,33,0,37,0,8,2,0,0,199,2,9,2,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,8426,314,1,27,0,0,2,1,8,20,4,54,0,4,0,17,4,0,0,160,0,4,2,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,8859,302,0,24,0,0,3,0,6,16,4,44,0,7,0,10,1,0,0,177,2,0,1,0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
860,9293,473,1,37,0,0,3,3,4,4,9,19,1,9,2,5,7,0,3,355,0,4,0,0,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
880,9726,305,2,24,0,0,0,0,3,9,2,11,0,10,0,9,3,0,0,224,0,3,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,10159,297,2,40,0,0,7,1,3,10,1,17,0,5,1,6,2,2,0,187,0,4,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
920,10592,333,0,44,1,0,3,4,0,8,0,19,0,1,0,14,2,1,2,213,4,1,2,0,0,1,0,3,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,11025,342,0,56,0,3,5,1,2,0,4,26,0,3,1,13,9,1,0,196,5,1,3,0,0,4,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,11269,335,1,38,2,1,5,1,0,6,11,21,0,5,0,4,2,0,2,227,0,2,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,11513,323,0,43,0,2,11,0,0,6,17,16,0,1,1,7,0,0,2,201,4,0,0,0,0,1,0,2,0,3,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000,NA,362,0,37,2,3,34,0,0,19,74,40,0,0,0,6,3,5,14,93,1,2,0,0,0,4,0,12,0,3,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1020,NA,323,1,5,1,2,11,3,0,12,146,19,0,1,2,4,1,1,22,66,0,1,1,0,0,1,0,7,0,0,0,2,10,0,1,0,0,0,0,0,0,0,3,0,0,0,0
1040,NA,316,5,16,0,1,6,9,0,5,158,12,0,1,0,3,0,0,19,56,3,0,1,1,0,5,0,3,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1060,NA,476,12,46,4,0,9,93,0,4,104,21,0,10,8,2,3,0,3,122,9,0,0,1,0,4,0,13,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,NA,423,4,9,0,2,5,90,0,1,83,20,0,5,6,4,2,0,0,156,10,0,0,2,0,1,0,3,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,5,4,0,0
1100,NA,446,6,13,6,3,8,123,0,4,44,30,0,1,0,16,0,0,0,148,15,1,0,0,0,6,0,14,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1120,NA,459,2,5,6,1,2,150,0,9,55,31,0,0,5,11,1,0,2,128,9,2,0,2,0,6,0,17,3,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,1,3,1
1140,NA,166,0,10,5,0,4,9,0,4,26,13,0,0,5,6,3,0,0,66,5,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0
