"sample.depths","sample.ages","Abies","Betula","Amaranthaceae.undiff.","Cyperaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Thalictrum","Alnus","Ambrosia","Pinus","Poaceae","Ostrya.Carpinus","Sanguisorba","Asteraceae.subf..Asteroideae.undiff.","Plantago","Ulmus","Fagus","Salix","Shepherdia.canadensis","Artemisia","Tsuga","Acer.saccharum","Acer.rubrum","Apiaceae","Myrica","Fraxinus.americana","Castanea","Fraxinus.nigra","Rosaceae.undiff.","Larix","Juglans.cinerea","Sarcobatus.vermiculatus","Lamiaceae","Platanus","Ilex.Nemopanthus","Populus","Onagraceae","Ericaceae","Ranunculus","Caryophyllaceae","Cupressaceae","Brassicaceae","Carya"
1,-11,0.0402010050251256,0.266331658291457,0.0150753768844221,0.0201005025125628,0.0251256281407035,0.0552763819095477,0.0050251256281407,0.0050251256281407,0.0100502512562814,0.402010050251256,0.0050251256281407,0.0402010050251256,0.110552763819095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,158,0.065,0.3,0.005,0.03,0,0.07,0,0.005,0.03,0.41,0.005,0.01,0.05,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,347,0.105,0.27,0,0.06,0,0.08,0.025,0,0.01,0.345,0,0.01,0.085,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,535,0.18,0.355,0,0.02,0,0.105,0.01,0,0.015,0.23,0.005,0.035,0.03,0,0,0,0,0,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,723,0.135,0.31,0,0.01,0,0.155,0.005,0,0.03,0.28,0.005,0.035,0.01,0,0.005,0.01,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,911,0.085427135678392,0.447236180904523,0,0.0351758793969849,0,0.0552763819095477,0.0050251256281407,0,0.0150753768844221,0.301507537688442,0,0.0100502512562814,0.0201005025125628,0,0,0.0100502512562814,0,0,0.0050251256281407,0,0,0.0050251256281407,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1100,0.12,0.45,0,0.05,0,0.08,0.01,0,0.01,0.24,0,0.02,0.005,0,0,0,0,0,0.005,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1288,0.1,0.465,0,0.055,0,0.055,0.005,0,0.015,0.24,0,0.03,0.02,0,0,0.005,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1476,0.12,0.515,0,0.02,0,0.08,0.015,0,0.01,0.15,0,0.02,0.055,0,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1664,0.14,0.46,0,0.045,0,0.07,0.015,0,0.005,0.205,0,0.01,0.01,0,0,0.025,0,0,0.005,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1853,0.055,0.375,0,0.02,0,0.07,0.005,0,0.01,0.4,0,0.015,0.035,0,0,0,0.005,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
