"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Ceratiola.ericoides","Cupressaceae.undiff.","Cyperaceae","Dalea","Dryopteris.type","Ericaceae","Eriocaulon","Fabaceae.undiff.","Filicopsida.undiff.","Fraxinus","Gordonia","Herbs.undiff.","Isoëtes","Iva.annua.type","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodium.type","Pteridium.type","Quercus","Sabal","Sagittaria","Salix","Selaginella","Serenoa","Sparganium.type","Sphagnum","Taxodium","Typha.latifolia","Ulmus","Utricularia","Vitis"
1850,10,0,0,19,0,0,0,3,0,4,0,9,6,0,7,1,0,0,0,0,2,1,0,4,0,0,0,24,0,0,0,1,0,197,0,10,1,0,0,1,27,0,1,0,0,1,0,0,9,0,0,0,0
1860,77,3,0,26,0,0,0,2,0,3,3,11,10,0,6,0,0,0,0,1,6,0,0,7,1,1,1,35,0,0,1,0,1,270,1,10,0,0,1,0,51,0,0,1,1,1,0,0,0,0,0,0,2
1880,210,1,2,33,0,0,0,1,1,1,3,11,12,0,14,0,0,1,1,0,3,0,0,5,0,0,0,36,0,0,0,1,0,267,0,10,0,0,0,0,36,0,0,0,0,0,0,0,3,0,2,0,1
1900,344,0,0,10,0,0,0,3,0,2,0,2,10,0,6,0,1,0,0,1,3,0,0,2,0,0,0,16,0,0,0,0,0,194,0,11,0,0,0,1,29,0,1,0,1,1,0,0,2,0,0,0,0
1910,411,1,1,22,1,0,0,1,0,3,2,6,7,0,4,0,0,0,0,1,6,0,0,3,0,0,0,27,0,0,0,0,1,160,0,11,0,0,0,0,23,0,0,0,2,0,0,0,4,0,3,0,0
1920,477,0,1,10,4,0,0,4,0,3,1,5,6,0,7,0,0,0,0,0,1,0,0,5,0,1,0,24,0,0,1,0,0,200,0,14,0,0,0,0,41,0,0,1,3,1,0,0,6,1,0,0,1
1930,544,0,1,17,0,0,0,3,0,1,4,10,11,0,8,1,0,0,0,0,0,0,0,2,0,1,0,30,0,0,0,1,0,236,0,7,0,0,0,0,28,0,0,0,1,0,0,0,6,0,2,0,3
1950,677,0,2,30,1,0,0,2,0,2,1,5,11,0,10,1,0,0,0,3,2,0,0,6,1,0,1,31,0,0,2,1,1,230,0,16,0,0,0,1,32,0,0,0,3,0,0,0,6,0,0,0,1
1970,811,0,1,16,0,0,0,0,0,0,2,2,14,0,5,0,0,0,1,1,7,0,0,1,1,0,0,24,0,0,0,0,1,172,0,11,0,0,0,0,28,0,0,0,1,1,0,0,5,1,0,0,0
1990,944,0,0,16,3,1,0,4,0,0,1,15,15,0,5,0,0,0,0,4,9,1,0,5,0,0,1,33,0,0,0,0,0,148,0,13,0,0,0,0,37,2,1,0,1,0,0,0,0,0,1,0,0
2010,1077,0,0,30,2,0,0,5,0,3,1,1,8,0,6,2,0,0,0,1,8,0,0,2,0,0,1,23,0,0,0,0,1,160,0,6,0,0,0,0,37,0,0,0,1,1,0,0,2,0,0,0,0
