"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Corylus","Fagus","Poaceae.undiff.","Herbs.undiff.","Liquidambar","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Pinus","Cupressaceae","Nyssa","Picea","Platanus","Myrica","Plantago","Rosaceae","Asteraceae.subf..Asteroideae.undiff.","Cerealia","Ostrya.Carpinus","Juglans","Amaranthaceae","Tilia"
1,-17,0.069620253164557,0.00316455696202532,0.129746835443038,0.0221518987341772,0.00316455696202532,0.00316455696202532,0.0221518987341772,0.0443037974683544,0.0158227848101266,0.00632911392405063,0.424050632911392,0.0316455696202532,0.0189873417721519,0.0221518987341772,0.0189873417721519,0.0379746835443038,0.0284810126582278,0.0158227848101266,0.0822784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-6,0.0743243243243243,0.00337837837837838,0.111486486486486,0.0236486486486486,0.0101351351351351,0,0.0135135135135135,0.0574324324324324,0.0135135135135135,0.00337837837837838,0.429054054054054,0.0135135135135135,0.0168918918918919,0.0168918918918919,0.027027027027027,0.0574324324324324,0.00675675675675676,0.0135135135135135,0.0641891891891892,0.00675675675675676,0.00337837837837838,0.00675675675675676,0.00337837837837838,0.00337837837837838,0.00675675675675676,0.0135135135135135,0,0,0,0,0,0
9,5,0.07421875,0.0078125,0.078125,0.04296875,0.00390625,0.01171875,0.03125,0.05859375,0.01953125,0,0.39453125,0.02734375,0.01953125,0.0078125,0.03515625,0.0390625,0.0078125,0.01953125,0.09375,0,0.0078125,0.0078125,0,0.00390625,0,0,0.00390625,0.00390625,0,0,0,0
13,16,0.0798611111111111,0,0.0729166666666667,0.0243055555555556,0.00347222222222222,0,0.0381944444444444,0.0659722222222222,0.0208333333333333,0,0.440972222222222,0.0243055555555556,0.0104166666666667,0.0138888888888889,0.0243055555555556,0.0347222222222222,0.0173611111111111,0.0243055555555556,0.0659722222222222,0,0,0.0173611111111111,0.00347222222222222,0.00347222222222222,0,0.00347222222222222,0,0,0.0104166666666667,0,0,0
17,27,0.146666666666667,0.00666666666666667,0.126666666666667,0,0.01,0,0.0233333333333333,0.05,0.02,0.00333333333333333,0.383333333333333,0.0266666666666667,0.01,0.0266666666666667,0.01,0.0233333333333333,0.00666666666666667,0.0166666666666667,0.0366666666666667,0,0.00666666666666667,0,0.00666666666666667,0.02,0,0,0,0.00333333333333333,0.01,0.01,0.0166666666666667,0
21,38,0.205479452054795,0.00684931506849315,0.11986301369863,0.0205479452054795,0.00684931506849315,0.00342465753424658,0.0273972602739726,0.0684931506849315,0.0205479452054795,0,0.304794520547945,0.0171232876712329,0.00342465753424658,0.00684931506849315,0.0342465753424658,0.0136986301369863,0.0102739726027397,0.0171232876712329,0.065068493150685,0,0.00342465753424658,0.0102739726027397,0.00684931506849315,0.00342465753424658,0,0.00684931506849315,0,0,0,0.00684931506849315,0.0102739726027397,0
25,49,0.213793103448276,0.00344827586206897,0.124137931034483,0.00689655172413793,0.0241379310344828,0.00344827586206897,0.0241379310344828,0.1,0.0310344827586207,0,0.248275862068966,0.0241379310344828,0.0344827586206897,0.0137931034482759,0.0482758620689655,0.0103448275862069,0.00689655172413793,0.0172413793103448,0.0275862068965517,0.00344827586206897,0.00689655172413793,0.00689655172413793,0.00344827586206897,0.0172413793103448,0,0,0,0,0,0,0,0
29,60,0.208333333333333,0,0.111111111111111,0.00694444444444444,0.00347222222222222,0.0104166666666667,0.00347222222222222,0.121527777777778,0.0520833333333333,0,0.260416666666667,0.0138888888888889,0.0104166666666667,0.00694444444444444,0.0520833333333333,0.0173611111111111,0.0138888888888889,0.0208333333333333,0.0451388888888889,0.00347222222222222,0,0.00694444444444444,0,0.00347222222222222,0.0104166666666667,0.00694444444444444,0,0,0.00694444444444444,0.00347222222222222,0,0
33,71,0.179661016949153,0,0.142372881355932,0.0135593220338983,0.0135593220338983,0.00338983050847458,0.0169491525423729,0.149152542372881,0.0203389830508475,0.00338983050847458,0.230508474576271,0.0508474576271186,0.00677966101694915,0.00338983050847458,0.0542372881355932,0.0101694915254237,0.00338983050847458,0.0135593220338983,0.0338983050847458,0,0.00677966101694915,0.00338983050847458,0.00677966101694915,0.0169491525423729,0.00677966101694915,0,0,0,0.0101694915254237,0,0,0
37,82,0.191780821917808,0,0.106164383561644,0.0102739726027397,0.0102739726027397,0.00342465753424658,0.0136986301369863,0.157534246575342,0.00684931506849315,0,0.284246575342466,0.0273972602739726,0.0136986301369863,0.00342465753424658,0.0342465753424658,0.0308219178082192,0,0.0136986301369863,0.047945205479452,0.00342465753424658,0.00342465753424658,0.00342465753424658,0,0.00684931506849315,0.00342465753424658,0.0102739726027397,0,0,0.00342465753424658,0.00342465753424658,0.00684931506849315,0
