"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae.type.undiff.","Apiaceae.undiff.","Apocynaceae","Araliaceae","Arecaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boraginaceae","Brasenia.schreberi","Brassicaceae","Bromeliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Ribes","cf..Sapindaceae","Chamaecrista","Citrus","Combretaceae.Melastomataceae","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Cyrilla.racemiflora","Dalea","Dryopteris.type","Ephedra","Ericales.undiff.","Fabaceae.undiff.","Fagus","Fraxinus","Gomphrena.type","Gordonia","Hydrocotyle.type","Ilex","Indeterminable","Isoëtes","Itea","Iva.frutescens.type","Iva.xanthifolia","Juglans.nigra","Lamiaceae","Lechea","Ledum.type","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Malvaceae","Meliaceae.Sapotaceae","Moraceae","Myrica","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmanthus","Osmunda.cinnamomea","Ostrya.Carpinus","Parthenocissus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Planera.aquatica","Platanus","Poaceae.undiff.","Polygonella.fimbriata.P..myriophylla","Polygonella.polygama.type","Polygonum.bistorta.type","Polygonum.persicaria.type","Polypodium.type","Pontederia","Populus","Potamogetonaceae","Primulaceae","Pseudolycopodiella.carolinianum","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Secale.type","Selaginella","Senecio","Serenoa","Sparganium.type","Sphagnum","Symplocos","Taxodium","Thalictrum","Tilia","Tillandsia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..verrucate.","Urticaceae","Utricularia","Vitis","Xanthium.type","Zanthoxylum","Zea.mays"
451,-32,0,0,0,0,1,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,1,9,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,48,6,0,0,1,10,0,0,0,1,0,37,0,222,0,0,14,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,1,0,0,0
455,-16,0,0,0,0,2,1,5,0,0,0,0,0,4,0,0,0,0,1,0,0,25,0,0,1,5,0,0,1,0,0,1,0,1,0,1,0,1,0,3,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,34,2,0,0,2,7,0,0,0,1,0,24,0,195,0,0,10,0,0,1,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,3,7,0,0,0,0,2,0,0
459,0,0,0,0,0,1,1,6,0,0,0,0,0,0,10,0,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,2,0,0,3,9,0,0,0,1,0,18,0,200,0,0,3,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
463,16,0,0,0,0,0,1,7,0,0,0,0,0,1,14,0,0,0,2,0,0,11,0,0,0,7,0,0,0,1,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,3,7,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,34,3,0,0,1,15,0,0,0,0,0,43,0,227,0,0,16,0,0,0,1,0,0,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,4,0,0,0,0,0,0,0
464.5,22,0,0,0,1,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,1,3,1,0,1,0,1,0,1,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31,3,0,1,0,8,0,0,0,1,0,34,0,238,0,0,13,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,13,0,0,0,0,1,3,0,0,0,0,0,0,0
467,32,1,0,0,0,0,2,5,0,0,0,0,0,0,14,0,0,0,2,2,0,14,0,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,7,4,0,1,0,0,0,0,0,1,0,4,0,0,0,0,43,5,0,2,2,16,0,0,1,3,0,423,0,0,0,0,9,0,0,0,1,0,0,0,0,0,2,2,63,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0
469.5,42,0,1,0,0,1,0,9,0,0,0,0,0,0,9,0,0,0,1,0,0,12,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,3,0,1,1,4,0,0,0,2,0,22,0,231,0,0,8,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,3,0,0,0,0,0,0,1
472,52,0,0,0,0,1,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,2,6,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,18,1,0,2,3,1,0,0,0,0,0,39,0,157,0,0,13,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0
474.5,62,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,4,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,14,4,0,2,0,1,0,0,1,0,0,39,0,188,0,0,9,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0
477,72,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,33,7,0,0,0,5,0,0,0,1,0,15,0,215,0,0,6,0,0,0,0,0,0,0,0,0,0,1,37,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
