"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Cerealia","Corylus","Cupressaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Quercus","Rosaceae","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
1,-17,9,12,0,22,1,0,41,7,1,0,1,0,7,5,5,14,0,2,0,0,0,0,26,0,0,14,134,0,10,6,0,7,6,6
5,-6,2,17,0,22,1,0,33,7,3,0,0,2,4,4,4,10,0,1,1,1,0,2,19,2,1,17,127,4,4,5,0,5,8,3
9,5,2,10,0,19,2,1,20,11,1,1,3,0,8,5,5,9,0,0,1,2,0,2,24,0,0,15,101,0,7,5,0,2,9,3
13,16,5,10,0,23,0,0,21,7,1,0,0,0,11,7,6,10,0,0,1,0,3,5,19,0,1,19,127,1,7,3,0,4,7,3
17,27,2,7,5,44,2,0,38,0,3,1,0,0,7,5,6,10,3,1,6,2,3,0,11,0,2,15,115,0,8,3,0,8,3,6
21,38,3,4,3,60,2,0,35,6,2,0,1,0,8,5,6,6,2,0,1,1,0,3,19,0,2,20,89,2,5,1,0,2,10,13
25,49,2,3,0,62,1,0,36,2,7,0,1,1,7,5,9,8,0,0,5,2,0,2,8,0,1,29,72,0,7,10,0,4,14,5
29,60,4,5,0,60,0,0,32,2,1,0,3,1,1,6,15,7,1,0,1,0,2,2,13,3,0,35,75,2,4,3,0,2,15,6
33,71,1,3,0,53,0,0,42,4,4,0,1,0,5,4,6,9,0,1,5,2,3,1,10,2,2,44,68,0,15,2,0,1,16,3
37,82,0,9,2,56,0,0,31,3,3,0,1,1,4,4,2,8,1,0,2,1,1,1,14,1,0,46,83,3,8,4,0,1,10,9
41,93,6,7,3,55,1,0,35,2,9,0,2,1,1,1,11,14,0,0,2,2,0,1,12,2,0,40,74,0,13,7,0,0,10,6
45,104,2,11,1,58,0,0,28,2,3,0,0,0,2,2,11,10,1,0,4,1,3,0,13,2,1,50,57,0,18,6,0,1,18,4
49,115,2,7,1,55,0,0,27,2,2,1,1,0,5,2,5,12,0,0,3,2,0,2,10,0,0,33,64,0,21,4,0,2,7,6
53,126,3,12,1,63,2,0,33,1,10,0,2,0,5,3,2,7,0,0,4,0,0,3,12,4,0,41,57,3,26,10,0,1,3,7
57,137,2,8,0,70,0,0,36,6,11,1,1,1,2,4,5,0,0,1,2,1,1,4,12,1,7,37,84,0,13,9,0,2,10,11
61,148,2,13,1,69,0,0,27,2,7,1,2,0,4,2,6,11,0,0,4,0,1,1,11,0,1,46,62,2,28,7,1,2,4,2
65,159,1,19,1,75,1,0,32,7,5,0,0,0,9,2,5,12,0,1,1,1,0,1,24,3,0,52,62,0,38,2,0,2,5,5
69,170,0,16,1,38,0,0,34,3,15,0,0,1,2,2,7,16,0,0,1,2,0,3,14,1,1,49,62,2,34,5,1,3,3,4
73,181,1,22,0,37,1,0,26,4,5,0,3,0,12,1,7,13,0,0,3,0,2,0,16,3,0,43,62,1,24,0,0,1,1,9
77,192,1,28,0,47,0,0,19,1,10,0,6,2,4,1,4,8,0,0,2,1,0,5,18,0,0,40,64,2,44,1,0,5,2,3
81,203,1,18,0,32,0,0,23,4,18,0,1,0,4,4,5,3,0,0,3,0,0,2,19,0,1,38,77,2,38,0,0,6,1,3
83,209,1,23,0,25,0,0,24,5,10,0,2,1,5,3,7,11,0,0,2,1,1,2,17,1,0,44,69,0,38,1,1,8,0,1
89,225,5,20,0,20,1,0,42,9,8,0,1,0,3,2,4,18,0,1,3,0,1,2,23,3,1,33,107,0,34,2,0,10,2,2
93,236,2,28,0,10,1,0,43,6,6,0,0,1,5,4,4,5,0,0,2,1,2,3,24,0,0,18,147,4,12,1,0,6,5,1
97,247,0,32,0,3,0,2,32,7,4,0,1,0,13,2,0,2,0,0,2,2,3,3,20,0,0,3,164,0,1,1,0,10,3,2
101,361,3,24,0,9,0,0,32,9,7,0,1,0,8,5,1,1,0,0,2,0,0,1,20,0,1,7,175,2,1,1,0,5,3,0
105,509,8,35,0,0,0,4,24,12,11,0,2,1,5,2,0,4,1,0,0,0,1,4,15,0,1,3,161,1,5,0,0,10,3,3
109,657,8,24,0,12,1,0,29,6,2,0,1,1,7,4,3,4,0,1,1,0,0,3,13,1,0,10,158,4,2,1,1,11,2,1
113,805,2,21,0,1,0,1,28,19,6,0,1,0,8,2,0,3,0,0,1,0,4,1,19,0,0,2,177,0,2,0,0,5,5,1
117,953,3,23,0,1,0,0,25,14,1,0,0,1,12,8,3,1,0,1,3,0,1,2,16,0,0,3,165,1,0,0,0,12,0,4
121,1101,6,22,0,0,1,0,26,12,8,0,1,3,13,5,3,4,0,0,0,0,0,0,12,0,1,8,159,1,0,0,0,17,2,2
125,1249,5,23,0,2,0,0,35,10,5,0,0,1,11,3,2,3,0,0,3,0,2,2,10,0,0,5,156,4,0,0,0,10,0,2
129,1397,2,30,0,0,0,0,31,9,1,0,0,1,15,2,2,7,2,0,1,0,2,1,13,0,0,2,158,0,0,0,0,10,2,6
133,1545,3,27,0,0,0,0,29,22,0,0,1,3,11,1,2,1,1,1,1,0,2,1,10,0,0,2,168,2,0,0,0,10,4,1
