"sample.depths","sample.ages","upland.sum","Picea","Abies","Larix","Juniperus.Thuja","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type"
0,-51,424,6,0,0,1,150,2,2,38,1,4,2,0,12,0,4,32,1,1,0,0,0,0,0,0,0,0,0,0,0,104,6,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,10,2,0,1,8,21,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,8,395,4,5,2,6,171,2,10,32,3,2,1,0,9,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,7,8,0,0,0,0,0,0,1,0,0,0,0,0,5,23,4,2,0,10,38,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
30,128,403,8,5,1,0,182,4,15,60,2,2,9,0,6,0,4,22,2,0,0,0,0,1,0,0,0,0,0,0,0,5,10,2,3,0,1,0,0,0,0,1,0,0,0,0,0,5,6,2,0,0,14,19,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
50,250,343,3,0,5,0,214,0,12,26,2,1,1,0,1,0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,7,1,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,6,5,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,376,590,9,3,1,4,340,4,29,58,1,1,0,0,9,2,6,39,2,1,0,0,0,2,0,0,0,0,0,0,0,3,15,7,10,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,17,4,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,510,416,4,4,9,2,215,2,23,41,3,1,2,0,3,2,15,21,2,2,0,0,0,0,0,0,0,0,0,0,0,1,18,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,4,1,2,1,0,2,2,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,719,645,18,8,11,0,358,8,40,75,4,1,4,0,2,1,8,23,4,0,0,0,0,0,0,0,0,1,0,0,0,2,11,8,7,0,0,0,0,0,0,1,0,0,1,0,0,13,20,0,0,0,6,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,790,472,9,1,2,2,210,0,102,21,5,0,1,0,8,0,8,22,0,0,0,0,0,2,1,0,0,0,0,0,0,1,19,4,17,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,8,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,861,669,4,1,1,0,235,0,213,75,6,0,1,0,1,0,11,30,3,1,0,0,0,1,1,0,0,0,0,0,0,3,8,3,16,0,0,0,0,0,0,0,0,1,0,0,0,3,20,0,0,0,12,8,0,1,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,933,533,9,8,4,1,238,22,78,69,2,0,1,0,3,1,7,24,1,1,0,0,0,0,0,0,1,0,0,0,0,1,15,5,2,0,0,0,0,0,0,1,0,0,0,0,0,11,14,0,0,0,6,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,1007,504,6,0,3,3,284,4,17,57,4,1,1,0,6,0,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,5,6,1,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,13,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1160,1067,15,5,4,2,447,14,189,155,7,6,0,0,18,1,25,55,3,1,0,0,0,0,3,0,0,0,0,0,0,8,34,10,8,0,0,1,0,0,0,0,0,0,0,0,0,13,14,0,0,0,16,3,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
195,1281,605,7,8,8,1,185,14,88,127,4,2,2,0,10,1,14,57,1,1,1,0,0,0,1,0,0,2,1,1,0,1,16,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,7,6,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1409,622,8,2,29,2,272,32,104,66,4,2,4,1,5,0,4,24,3,0,2,0,0,0,0,0,0,2,0,0,0,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,8,4,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1544,322,1,0,3,0,148,6,38,51,2,1,1,0,4,1,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1689,514,9,4,4,1,148,15,176,54,4,1,5,0,10,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,8,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,8,7,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1791,473,5,1,9,0,198,10,78,54,2,0,1,0,4,1,3,29,0,1,0,0,0,0,0,0,0,1,0,0,0,2,12,2,7,1,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,12,6,0,1,0,0,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,1898,766,9,3,8,0,254,24,204,115,3,2,0,0,6,0,5,24,0,0,1,0,0,0,0,1,0,0,0,0,0,2,37,10,5,0,0,0,1,0,0,0,0,0,0,0,0,5,17,0,0,0,14,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275,2069,421,2,0,5,0,101,8,44,104,2,2,0,0,13,0,10,40,0,1,1,0,0,0,1,0,1,0,0,2,0,1,21,6,13,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,2252,580,2,1,4,0,230,15,125,52,4,1,0,0,8,1,9,44,2,0,0,0,0,1,0,0,0,0,0,0,0,2,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,12,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2445,543,5,3,4,0,154,22,134,35,7,0,3,0,12,1,8,41,3,0,1,0,1,0,0,0,2,1,1,0,0,3,25,10,6,0,0,0,0,0,0,1,0,0,0,0,0,21,19,0,0,0,9,6,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2512,588,0,2,1,3,115,0,168,120,6,0,4,0,10,3,12,54,0,3,0,0,0,0,0,0,1,0,1,0,0,1,30,5,7,1,0,1,0,0,0,1,0,0,0,0,0,12,7,0,0,0,8,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2647,698,3,8,6,0,214,23,240,49,3,1,0,0,9,6,7,49,1,1,0,0,0,0,0,0,0,0,1,0,0,3,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,8,7,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330,2785,906,3,2,3,0,218,0,368,74,5,2,0,0,16,2,17,65,1,0,0,0,0,0,0,0,0,0,2,0,0,7,26,4,10,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,0,19,8,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,2854,553,1,1,5,0,116,38,156,73,5,2,0,0,16,1,10,49,1,1,0,0,1,0,0,0,0,0,0,0,0,0,23,4,6,1,1,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,9,10,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
340,2924,719,3,7,10,1,82,0,330,58,5,0,1,0,14,1,13,66,3,1,0,0,0,0,0,0,0,2,0,0,0,0,37,5,12,0,0,0,0,0,0,0,0,1,0,0,0,23,5,0,0,0,22,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
350,3064,792,0,1,5,1,104,0,469,47,6,0,0,0,3,0,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,2,3,2,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,8,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3205,786,4,3,9,1,111,19,182,137,7,1,2,1,11,1,27,120,1,0,0,0,0,1,0,0,1,0,0,1,0,3,16,10,12,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,13,7,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,3347,799,4,1,6,1,68,0,98,155,18,6,8,0,32,1,45,133,3,2,1,0,0,0,1,0,0,1,1,0,0,12,43,11,27,1,0,0,0,0,0,0,0,0,0,0,0,40,34,0,0,0,21,15,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
375,3417,488,8,4,2,2,35,13,26,205,6,1,0,0,10,2,24,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,20,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,21,7,1,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,3488,561,7,1,1,1,69,0,31,103,21,10,4,1,13,1,33,113,1,1,0,0,0,0,0,0,0,0,0,0,0,3,53,10,0,1,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,0,18,7,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,3629,621,4,5,1,3,47,6,21,181,7,5,2,0,23,1,23,146,2,1,0,0,0,0,0,0,0,0,0,0,0,6,14,4,18,1,0,0,0,0,0,1,0,0,2,0,0,27,28,0,0,0,18,5,0,2,0,4,0,0,0,6,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,3770,584,3,1,1,1,73,0,17,133,4,2,7,1,10,2,34,118,1,0,1,0,0,0,2,0,0,0,0,0,0,9,44,15,16,1,0,0,0,0,0,0,0,0,0,2,0,22,26,0,0,0,20,6,1,0,1,0,5,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,3840,442,2,2,2,1,44,2,14,78,3,1,0,0,6,2,2,120,1,0,0,0,1,0,0,0,0,0,0,0,0,2,31,6,7,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0,0,0,30,9,0,1,4,0,4,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,4050,498,3,0,0,1,39,6,27,30,3,0,5,0,16,0,5,196,1,0,1,0,0,0,1,0,0,1,0,0,0,4,47,31,11,0,2,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,15,10,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
440,4324,352,3,2,0,4,40,0,9,34,4,1,1,0,6,0,3,112,1,1,0,0,0,2,0,0,0,0,0,0,0,9,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,37,15,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
446,4405,336,1,0,0,1,57,0,12,22,0,0,0,0,9,0,6,88,0,0,0,0,0,1,2,0,0,0,1,2,0,4,17,6,7,1,0,0,0,0,1,0,0,0,0,0,0,12,20,0,0,0,30,21,0,0,0,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
455,4525,496,7,0,0,0,87,0,14,31,3,1,3,0,7,0,9,156,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,28,38,0,0,0,33,37,0,2,0,0,5,0,0,6,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
460,4591,538,4,2,6,0,59,0,16,53,3,0,2,0,6,1,2,157,0,0,0,0,0,1,0,0,0,0,0,2,0,6,32,9,4,5,0,0,0,0,0,0,0,0,1,0,0,20,60,0,0,0,40,28,2,1,0,5,2,0,0,5,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,4657,642,3,2,0,1,129,0,9,54,1,2,1,0,10,0,12,131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,7,8,1,0,0,0,0,0,0,0,1,0,0,0,20,70,0,0,0,61,22,0,0,0,1,11,0,0,15,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
470,4722,353,3,0,0,0,54,0,17,29,2,3,0,0,6,0,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,1,8,1,0,0,0,0,1,0,0,0,0,0,0,19,44,0,0,0,36,7,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,4786,406,2,2,2,0,38,2,2,33,2,3,0,0,11,0,5,183,0,0,0,0,0,0,0,0,0,0,1,0,0,4,13,2,3,1,0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,22,16,0,0,2,0,3,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
480,4851,499,0,1,1,3,83,0,13,42,3,2,0,0,14,3,5,174,0,0,1,0,0,0,0,0,0,0,0,0,0,4,33,5,3,1,1,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,22,10,3,0,0,0,5,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
