"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Tsuga","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Betula...20.µm.","Corylus.type","Betula...25.µm.","Betula..20.25.µm.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Populus","Juniperus","Ostrya","Salix","Ulmus","Cornus","Juglans","Apiaceae","Acer","Castanea","Thalictrum","Amaranthaceae","Fagus","Rubiaceae","Epilobium","Rosaceae"
0,-37,632,14,44,16,2,90,2,2,274,2,50,8,2,2,6,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,46,624,6,22,18,0,58,0,0,256,0,38,18,2,4,22,0,168,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,129,640,14,26,4,0,102,0,0,252,2,50,16,6,4,8,2,144,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,212,572,14,24,20,0,76,0,0,206,0,28,22,0,2,34,0,134,0,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
20,295,634,30,34,12,0,72,2,0,232,2,46,10,0,6,12,14,154,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25,378,648,8,20,16,0,120,0,0,240,0,48,18,0,0,34,0,140,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
30,461,712,46,30,14,0,102,0,0,280,2,32,24,0,2,2,12,150,4,2,0,0,0,4,0,0,2,2,2,0,0,0,0,0,0,0
35,544,600,16,14,32,0,112,0,0,212,4,26,14,0,0,22,0,136,0,6,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
40,627,656,36,42,12,2,126,4,0,206,2,54,24,0,6,12,0,126,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
45,772,610,22,32,18,2,92,0,0,218,0,16,18,2,0,20,0,164,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
50,944,700,40,16,0,0,152,0,2,224,2,28,8,4,2,10,10,188,0,4,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0
60,1287,652,38,14,8,0,152,0,0,184,2,54,12,0,8,4,6,162,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
70,1630,490,24,4,6,0,94,0,0,144,2,24,14,0,24,6,0,134,2,6,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
80,1973,616,30,12,16,0,126,0,0,174,0,66,14,0,22,20,0,132,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2316,662,36,24,10,0,112,2,0,226,2,50,8,2,8,6,6,164,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
