"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Sambucus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Taxus","Rosaceae.undiff.","Nemopanthus.mucronatus","Pinus.resinosa.type","Juniperus.communis.Thuja.occidentalis.type","Urticaceae","Salix.undiff.","Acer.pensylvanicum","Caryophyllaceae","Castanea.dentata","Impatiens","Asteraceae.subf..Asteroideae.undiff.","Acer.saccharinum","Potentilla.palustris.type","Fraxinus.americana.type","Ranunculaceae.undiff.","Thalictrum","Populus.balsamifera.type","Rhamnus.alnifolia.R..frangula","Prunus.pensylvanica","cf..Sarcobatus.vermiculatus","Liliaceae","Amaranthaceae","Prunus.virginiana","Prunus.undiff.","Viburnum.nudum","Comptonia.peregrina","Cornus.canadensis","Viburnum.undiff.","Polygonaceae.undiff.","Fabaceae","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Campanula.type","Viburnum.edule","Cornus.undiff.","Onagraceae.undiff.","Lamiaceae","Salix.herbacea.type","Koenigia.islandica","Viburnum.alnifolium","Asteraceae.undiff.","Saxifraga.cernua.type","Brassicaceae","Apiaceae","Dryas","Rosaceae.cf..Prunus.serotina"
10,361,0.0068259385665529,0.0341296928327645,0.0068259385665529,0.00170648464163823,0.464163822525597,0.0102389078498294,0.0358361774744027,0.0119453924914676,0.00853242320819113,0.00853242320819113,0.00341296928327645,0.0494880546075085,0.0409556313993174,0.00511945392491468,0.0119453924914676,0.00170648464163823,0.00170648464163823,0.0136518771331058,0.0699658703071672,0.00511945392491468,0.015358361774744,0.0068259385665529,0.00511945392491468,0.00170648464163823,0.00170648464163823,0.00853242320819113,0.102389078498294,0.0563139931740614,0.0102389078498294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,903,0,0.0113207547169811,0.0050314465408805,0.00125786163522013,0.362264150943396,0.0163522012578616,0.0490566037735849,0.010062893081761,0.0050314465408805,0.00251572327044025,0,0.0339622641509434,0.0578616352201258,0.00251572327044025,0.0150943396226415,0.00125786163522013,0,0.0113207547169811,0.090566037735849,0.00628930817610063,0.00628930817610063,0.0188679245283019,0.00125786163522013,0.010062893081761,0.0050314465408805,0.0352201257861635,0.0654088050314465,0.106918238993711,0.010062893081761,0.0050314465408805,0.00125786163522013,0.00377358490566038,0.00125786163522013,0.00251572327044025,0.00251572327044025,0.00125786163522013,0.00125786163522013,0.00251572327044025,0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1265,0,0.0209339774557166,0.00322061191626409,0.00161030595813205,0.400966183574879,0.0112721417069243,0.0225442834138486,0.0144927536231884,0.00483091787439614,0.00322061191626409,0,0.0273752012882448,0.0547504025764895,0.00644122383252818,0.0289855072463768,0,0,0.00644122383252818,0.111111111111111,0.00966183574879227,0.00966183574879227,0.0144927536231884,0.00161030595813205,0,0.00161030595813205,0.0128824476650564,0.14170692431562,0.0595813204508857,0.00322061191626409,0.00483091787439614,0.00161030595813205,0.00483091787439614,0.00483091787439614,0,0.00322061191626409,0.00483091787439614,0,0,0,0.00161030595813205,0.00161030595813205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1807,0.00125628140703518,0.0226130653266332,0.00125628140703518,0,0.477386934673367,0.00376884422110553,0.0452261306532663,0.0050251256281407,0.00251256281407035,0.00628140703517588,0.00125628140703518,0.0201005025125628,0.028894472361809,0.0100502512562814,0.021356783919598,0,0,0.0163316582914573,0.085427135678392,0.00753768844221105,0.0113065326633166,0.0138190954773869,0,0,0.00251256281407035,0.00879396984924623,0.100502512562814,0.0778894472361809,0.00251256281407035,0.0050251256281407,0.00376884422110553,0.00125628140703518,0.0050251256281407,0.00125628140703518,0.00125628140703518,0,0,0.00251256281407035,0,0,0,0.00251256281407035,0.00251256281407035,0.00125628140703518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2210,0.0018018018018018,0.0126126126126126,0.009009009009009,0,0.520720720720721,0.0072072072072072,0,0.0108108108108108,0,0.00540540540540541,0,0.0072072072072072,0.0342342342342342,0.0144144144144144,0.0126126126126126,0,0.0018018018018018,0.0018018018018018,0.0972972972972973,0.0126126126126126,0.0036036036036036,0.0144144144144144,0.0288288288288288,0,0.0018018018018018,0.018018018018018,0.127927927927928,0.036036036036036,0.0036036036036036,0.0036036036036036,0,0.0018018018018018,0,0,0.0036036036036036,0.0036036036036036,0,0,0,0,0,0,0,0.0036036036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2432,0.00404858299595142,0.0182186234817814,0.0101214574898785,0,0.44331983805668,0.0182186234817814,0.0283400809716599,0.00809716599190283,0,0.00607287449392713,0,0.00607287449392713,0.0829959514170041,0.0101214574898785,0.0202429149797571,0,0,0.00809716599190283,0.0283400809716599,0.01417004048583,0.0101214574898785,0.01417004048583,0,0.00809716599190283,0.00404858299595142,0.0303643724696356,0.111336032388664,0.062753036437247,0.0101214574898785,0,0.00404858299595142,0.00404858299595142,0,0,0,0,0.00202429149797571,0.00404858299595142,0.01417004048583,0,0,0,0,0,0.00202429149797571,0.00404858299595142,0.00404858299595142,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2654,0,0.00778210116731518,0,0,0.519455252918288,0.00389105058365759,0.0447470817120623,0.0155642023346304,0,0.00778210116731518,0,0.0155642023346304,0.0525291828793774,0.00194552529182879,0.0116731517509728,0,0.00194552529182879,0.0136186770428016,0.0680933852140078,0.0116731517509728,0.00583657587548638,0.0194552529182879,0,0,0,0.00778210116731518,0.110894941634241,0.0544747081712062,0.00389105058365759,0.00194552529182879,0.00194552529182879,0.00194552529182879,0,0.00194552529182879,0,0,0.00389105058365759,0,0,0,0,0,0,0.00194552529182879,0,0.00389105058365759,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2810,0.00347222222222222,0.0138888888888889,0.00173611111111111,0,0.416666666666667,0.00868055555555556,0.0694444444444444,0.0104166666666667,0.0104166666666667,0.00694444444444444,0,0.0121527777777778,0.0347222222222222,0,0.0173611111111111,0,0.00173611111111111,0.0190972222222222,0.0225694444444444,0.00694444444444444,0.00694444444444444,0.0173611111111111,0.00347222222222222,0.00173611111111111,0.00173611111111111,0,0.142361111111111,0.138888888888889,0.00694444444444444,0.00520833333333333,0,0.00347222222222222,0,0,0.00173611111111111,0,0.00173611111111111,0,0.00347222222222222,0,0,0,0,0.00173611111111111,0,0.00173611111111111,0,0,0,0.00173611111111111,0.00347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2988,0,0.0238095238095238,0,0.00198412698412698,0.390873015873016,0.00992063492063492,0.0714285714285714,0.0138888888888889,0.00595238095238095,0.00396825396825397,0,0.00992063492063492,0.0337301587301587,0.00198412698412698,0.0317460317460317,0,0,0.0218253968253968,0.0456349206349206,0,0.00198412698412698,0.0158730158730159,0.00396825396825397,0,0,0.0119047619047619,0.152777777777778,0.119047619047619,0.00198412698412698,0.00396825396825397,0.00198412698412698,0,0.00198412698412698,0,0,0,0.00396825396825397,0.00396825396825397,0,0,0,0.00198412698412698,0,0.00198412698412698,0,0.00396825396825397,0,0,0,0,0,0.00198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3144,0,0.0100401606425703,0,0,0.602409638554217,0.00200803212851406,0.0421686746987952,0.00602409638554217,0,0,0,0.00602409638554217,0.0301204819277108,0.00200803212851406,0.00200803212851406,0,0.00401606425702811,0.00602409638554217,0.0140562248995984,0.00602409638554217,0.00602409638554217,0.0180722891566265,0,0.00602409638554217,0,0.00602409638554217,0.0923694779116466,0.118473895582329,0.00200803212851406,0.00200803212851406,0,0,0,0,0.00200803212851406,0.00602409638554217,0,0,0,0,0.00200803212851406,0,0,0.00200803212851406,0,0,0,0,0.00401606425702811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
