"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.undiff.","Betula","Brasenia.schreberi","Brassicaceae","Carya","Celtis","Cornus","Corylus","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Humulus","Juglans","Juniperus","Larix","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rubus","Salix","Sarcobatus.vermiculatus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica"
0.5,-23,0,11,15,0,43,0,0,33,3,0,3,2,1,3,10,0,0,15,6,2,0,3,1,4,0,0,0,0,10,3,13,28,0,12,2,6,54,0,0,2,0,0,1,0,9,0,14,2,8,2,0
20,88,0,7,17,1,13,1,2,37,3,1,6,0,0,2,10,0,0,23,15,2,0,1,0,2,0,0,0,0,7,1,8,45,2,3,0,6,67,0,0,0,0,1,3,0,12,0,12,2,8,2,2
40,202,0,12,14,1,9,2,0,47,6,2,3,1,0,2,7,0,2,16,15,1,0,0,0,1,0,0,3,0,12,3,7,37,2,4,0,3,74,0,0,0,0,0,3,0,8,1,14,4,0,1,1
50,259,0,11,12,5,9,3,0,44,1,0,2,1,0,1,3,0,0,25,8,3,0,3,0,0,0,0,0,0,18,2,12,41,1,3,0,2,89,0,0,1,0,0,1,1,4,1,14,2,1,1,0
60,316,1,4,4,1,3,3,0,52,2,3,2,0,0,0,4,0,0,20,13,3,0,0,1,6,0,0,0,0,13,1,8,65,0,6,0,2,74,0,0,0,1,0,1,0,3,0,18,2,1,0,0
80,430,0,7,17,0,4,1,1,37,2,2,6,0,0,2,9,0,0,23,15,0,0,1,0,2,0,1,1,0,7,1,8,45,1,3,0,7,67,1,0,0,0,0,3,0,14,0,12,4,1,0,1
100,544,0,7,16,0,4,2,0,41,2,0,3,0,1,2,6,0,0,19,11,0,0,0,0,6,2,1,1,1,11,5,20,57,2,2,0,8,97,0,1,1,0,1,2,0,6,0,19,2,0,1,0
120,658,2,4,14,0,0,1,1,38,0,1,1,0,0,1,5,1,1,25,11,3,0,1,0,3,0,0,0,1,15,0,8,65,1,2,0,3,85,0,0,0,0,1,1,0,5,1,10,4,1,1,0
130,715,0,5,13,0,7,1,0,31,3,3,3,0,1,0,10,0,0,22,7,0,0,3,0,2,0,0,1,1,13,0,5,60,2,5,0,1,83,1,0,3,0,0,2,0,6,0,22,1,1,1,0
160,886,0,7,4,0,2,1,0,29,0,5,1,0,0,1,6,0,0,36,11,0,0,1,1,6,0,2,1,0,16,2,7,57,0,3,0,0,96,0,0,0,0,0,1,0,6,0,9,1,0,1,0
