"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Gentianaceae","Geranium","Herbs.undiff.","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Moraceae","Myrica","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sarcobatus.vermiculatus","Scrophulariaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vitis","Woodsia"
42,4079,48,2,0,2,39,0,0,1,0,0,0,0,56,0,1,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,5,1,0,0,0,0,0,0,0,0,698,10,0,7,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0
46,4333,20,0,0,1,38,0,1,0,0,0,0,0,103,0,0,1,0,0,0,0,0,8,0,0,25,0,0,1,0,0,1,0,0,0,0,0,0,0,5,35,0,0,3,8,0,0,0,2,1,0,0,0,424,29,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
50,4586,33,0,0,3,14,0,0,1,4,0,0,0,50,0,0,0,0,0,0,0,0,5,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,26,0,0,0,2,0,0,0,0,0,0,0,0,646,30,1,6,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
54,4840,37,1,0,0,28,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,2,2,1,0,0,2,0,0,0,0,593,20,2,6,8,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0
58,5094,39,0,0,6,26,0,1,1,2,0,0,0,93,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46,0,0,3,5,0,0,0,1,1,0,0,0,1019,53,0,5,9,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,22,0,0,0,1,0,0
62,5347,61,0,0,0,21,0,0,2,0,0,0,0,82,1,0,0,0,0,0,0,1,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,3,4,0,0,0,0,0,0,0,0,713,26,1,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0
66,5584,30,0,0,0,24,0,0,1,0,0,0,0,96,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,7,23,0,0,3,1,0,0,0,0,0,0,0,0,576,28,0,4,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,9,0,0,0,0,0,0
70,5770,31,1,0,1,16,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,24,0,0,1,2,0,0,0,0,0,0,0,0,612,14,0,1,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,5956,58,0,0,0,27,0,0,1,0,0,0,0,98,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,4,12,0,0,0,3,0,0,0,0,0,0,0,0,600,23,1,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,4,0,0,1,0,0,0
78,6142,80,0,0,1,24,0,0,0,1,0,0,0,130,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,8,6,0,0,2,5,0,0,0,0,0,0,0,0,758,6,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0
