"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Picea","Quercus","Thalictrum","Alnus","Myrica","Pinus","Populus","Poaceae","Ericales","Juniperus","cf..Myrica","Galium","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nemopanthus","Rosaceae.undiff.","Epilobium","Fagus","Ulmus","Salix","Taxus","Corylus","Viburnum","Carpinus","Fraxinus","Rumex.type","Acer","Urticaceae","Crataegus","Caryophyllaceae","Amaranthaceae","Brassicaceae","Ranunculaceae.undiff.","Juglans","Oxyria.digyna"
5,130,324,24,95,1,118,1,1,40,4,26,1,1,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,451,328,21,74,7,106,0,0,62,8,31,4,3,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,932,341,13,75,3,122,1,1,57,2,52,0,3,3,0,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1574,316,12,98,3,102,1,0,75,7,12,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2216,319,11,118,3,62,0,0,87,6,16,2,2,0,2,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2858,315,11,135,3,76,0,0,41,3,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3500,306,24,125,1,83,0,0,27,1,37,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3821,337,25,120,4,121,1,0,32,2,22,0,0,1,1,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4142,313,5,147,3,50,1,0,76,6,10,0,1,2,2,4,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
150,4784,310,16,140,0,108,1,0,30,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,5426,350,21,151,2,74,0,0,74,3,16,1,1,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5747,308,8,147,1,49,1,0,58,2,30,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,6068,306,20,145,1,47,1,0,59,2,20,0,0,0,0,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,6389,409,41,165,1,130,0,0,21,6,32,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,6710,348,42,147,0,74,0,0,30,5,45,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6871,410,24,137,0,78,0,0,33,4,108,2,0,0,1,16,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7031,329,10,185,0,34,1,0,35,1,49,0,0,0,1,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
225,7192,566,32,286,0,94,2,0,45,10,56,4,0,0,7,15,0,1,0,0,0,0,0,1,2,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0
230,NA,344,13,235,0,38,0,0,37,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,NA,321,8,203,0,41,1,0,39,4,6,1,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,NA,320,13,219,0,27,0,0,47,2,3,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
270,NA,359,20,141,0,117,4,2,23,16,10,1,2,0,2,17,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
275,NA,502,10,321,7,97,2,4,13,24,8,1,3,0,3,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
280,NA,377,27,304,2,31,2,0,0,3,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,NA,453,22,365,5,27,0,1,0,13,3,0,1,0,5,4,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
290,NA,614,6,405,10,122,1,1,12,16,4,10,1,1,5,7,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
295,NA,340,9,187,2,4,6,0,14,35,6,48,0,3,2,12,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302.5,NA,203,0,115,2,14,1,0,2,43,6,0,4,3,7,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
305,NA,140,0,92,6,6,0,0,1,18,0,0,2,7,1,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.5,NA,148,2,47,31,23,0,0,6,3,21,0,6,0,1,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
312.5,NA,58,0,7,11,6,0,0,0,0,11,0,8,0,0,1,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
