"sample.depths","sample.ages","upland.sum","Betula","Bumelia","Celtis","Asteraceae.undiff.","Cyperaceae","Ericaceae","Quercus","Rhizophora","Alnus","Fabaceae","Myrica","Pinus","Amaranthaceae","Poaceae","Avicennia","Casuarina","Bursera.simaruba","cf..Acanthaceae","Liquidambar","Ambrosia","Euphorbiaceae","Cyrilla.racemiflora","Polygalaceae","Solanaceae","Ilex","Conocarpus","Hippocratea","Carya","Polygonaceae","Juglans","Salix","Ulmus","Cephalanthus"
3,-26,304,2,2,6,12,2,4,10,6,6,20,176,26,4,2,2,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18,296,0,0,0,6,14,0,0,0,0,12,182,64,0,0,0,6,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
15,38,556,0,0,0,68,4,0,8,6,4,6,332,94,6,0,2,0,0,0,0,2,2,2,4,16,0,0,0,0,0,0,0,0,0
19,87,592,0,0,0,136,34,0,12,10,4,14,196,98,10,0,0,0,0,2,0,2,2,0,14,46,8,2,2,0,0,0,0,0,0
32.5,425,234,0,0,0,4,50,0,0,0,0,4,66,88,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,16,0,0,0,0
37.5,550,258,0,0,0,4,52,0,12,0,0,6,102,62,0,2,0,0,0,2,0,2,4,0,0,0,2,0,0,0,6,2,0,0,0
45,737,526,2,0,0,82,260,0,10,6,2,6,68,56,6,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,18,0,0,0,0
55,987,290,0,0,0,16,114,0,6,4,0,4,52,58,2,0,0,0,0,0,0,0,6,2,0,0,14,0,0,0,12,0,0,0,0
65,1237,282,0,0,0,2,48,0,10,14,2,10,106,76,4,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
75,1487,300,0,0,0,4,32,0,2,0,2,10,58,176,2,4,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2
85,NA,240,0,0,0,0,34,0,2,0,0,2,10,186,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,NA,368,2,0,0,0,4,0,6,0,0,0,2,348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
