"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Artemisia","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Betulaceae.undiff.","Myrica","Amaranthaceae","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.mariana","Alnus.viridis.subsp..crispa","Acer.undiff.","Cyperaceae","Fraxinus.undiff.","Ulmus","Picea.glauca","Symphoricarpos.albus","Ericaceae","Fagus","Larix","Acer.rubrum","Picea.undiff.","Fraxinus.nigra","Carya","Corylus","Platanus","Acer.saccharum","Ranunculaceae.undiff.","Cornus.canadensis","Cupressaceae","Thalictrum","Populus","Fraxinus.pennsylvanica","Brassicaceae","Iva.annua.type","Epilobium"
551,19,608,40,8,4,2,16,2,4,2,2,14,2,20,2,2,6,4,10,24,90,32,280,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,428,564,40,34,0,0,12,6,0,2,0,4,0,10,2,0,0,4,2,22,74,12,276,38,2,2,4,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,940,546,44,36,0,2,20,2,0,0,2,4,2,22,2,0,2,4,2,24,68,26,266,10,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,1400,918,72,18,2,0,20,2,0,2,0,14,2,36,4,0,0,16,8,18,98,42,438,28,0,4,0,2,78,2,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,1656,602,64,10,2,0,16,4,0,0,0,0,0,22,2,0,0,8,2,20,80,28,0,32,2,0,0,0,0,0,0,0,0,0,306,4,0,0,0,0,0,0,0,0,0,0,0,0,0
593,2168,708,74,22,0,0,24,0,0,2,0,4,0,28,0,2,0,8,2,26,98,24,324,40,0,6,0,0,18,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,2424,714,64,52,0,4,14,0,2,0,0,16,0,42,2,0,0,12,0,34,88,26,0,38,0,0,0,2,0,2,0,2,4,0,302,0,2,2,2,2,0,0,0,0,0,0,0,0,0
608,2811,824,62,42,2,4,24,0,0,0,0,8,0,18,0,0,2,16,6,48,126,26,0,52,0,2,2,0,0,0,0,0,2,0,374,2,0,4,0,0,2,0,0,0,0,0,0,0,0
618,3184,754,46,42,2,0,14,0,0,2,0,10,0,46,4,0,2,12,2,44,116,26,326,50,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
628,3666,692,42,38,4,2,14,2,2,0,0,6,0,52,0,2,0,12,0,20,92,28,0,62,0,2,2,2,0,2,0,2,4,0,294,0,0,0,0,2,0,0,4,0,0,0,0,0,0
638,4312,772,58,32,0,0,10,0,0,0,2,18,0,54,2,0,4,22,2,38,130,28,282,64,0,4,0,0,14,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
648,4958,578,22,10,0,0,12,0,0,0,0,6,0,40,4,2,2,4,2,40,98,16,0,30,0,4,0,0,0,0,0,2,2,0,278,2,0,0,0,2,0,0,0,0,0,0,0,0,0
658,5574,762,42,18,2,0,18,0,0,2,0,6,0,56,6,0,0,18,2,42,140,18,254,84,0,2,0,2,46,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,6120,568,8,20,2,0,10,0,4,0,0,0,0,46,4,0,0,16,0,58,130,16,0,40,0,4,0,0,0,0,0,0,2,0,204,0,0,0,0,0,0,0,0,0,4,0,0,0,0
673,6393,694,48,40,2,0,26,2,0,2,2,2,0,46,2,2,0,8,0,88,138,12,198,66,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
678,6666,804,48,28,4,2,16,0,2,0,4,0,0,60,8,0,0,34,2,110,178,14,192,76,0,10,0,8,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
683,6938,612,44,38,0,4,12,2,0,0,0,0,0,54,4,0,2,18,2,94,164,16,46,62,0,4,0,0,38,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0
684,6993,874,70,22,2,4,14,2,2,0,0,2,0,88,8,4,0,24,0,148,220,16,0,124,0,10,0,0,0,2,0,2,0,0,108,0,0,0,0,0,0,0,0,0,0,2,0,0,0
689,7234,848,72,52,0,0,12,6,2,0,2,0,0,58,10,0,0,26,4,132,206,24,0,164,0,6,0,0,0,2,0,0,0,0,64,2,0,0,0,2,0,0,0,0,0,0,2,0,0
691,7326,880,116,74,6,0,16,2,0,2,2,6,0,46,6,2,2,24,2,90,172,42,32,170,0,6,0,2,52,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
694,7462,760,126,28,0,0,10,4,0,2,4,4,0,38,2,0,0,14,6,86,148,26,0,144,0,6,2,2,0,2,0,0,0,0,98,4,0,0,0,0,0,0,0,0,2,0,0,2,0
696,7554,758,122,42,2,0,12,4,4,0,2,0,6,38,2,0,0,16,2,76,118,30,0,142,0,4,0,2,0,0,0,0,0,0,124,4,0,0,0,0,0,0,0,0,4,2,0,0,0
699,7690,916,136,56,0,0,22,2,6,2,4,0,0,36,0,0,0,10,6,80,112,38,46,212,0,4,0,0,130,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
