"sample.depths","sample.ages","Acer.saccharum.type","Acer.saccharinum.type","Acer.undiff.","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Pinaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juglans","Populus","Poaceae","Abies","Cephalanthus","Tsuga","Myricaceae","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Vitis","Galium","Pinus.subg..Pinus","Rumex","Tilia","Urtica.type","Fabaceae","Iva","Larix","Thalictrum","Cornus","Liquidambar","Sarcobatus.vermiculatus","Rosaceae","Shepherdia","Acer.spicatum"
5,1,0.0228758169934641,0.00326797385620915,0.0065359477124183,0.0490196078431373,0.176470588235294,0.00326797385620915,0.133986928104575,0.0163398692810458,0.0065359477124183,0.00326797385620915,0.00326797385620915,0.00326797385620915,0.0130718954248366,0.0065359477124183,0.0130718954248366,0.00980392156862745,0.0228758169934641,0.065359477124183,0.00980392156862745,0.0130718954248366,0.00980392156862745,0.0457516339869281,0.0130718954248366,0.143790849673203,0.0130718954248366,0.00326797385620915,0.088235294117647,0.00980392156862745,0.00980392156862745,0.0816993464052288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,29,0.0206185567010309,0.00343642611683849,0,0.0721649484536082,0.254295532646048,0.00687285223367698,0.0824742268041237,0.0103092783505155,0,0.0171821305841924,0.0103092783505155,0,0,0.0309278350515464,0.0103092783505155,0.00343642611683849,0.013745704467354,0.0378006872852234,0.00687285223367698,0.0103092783505155,0.0206185567010309,0.0584192439862543,0.00687285223367698,0.130584192439863,0.00343642611683849,0.013745704467354,0.0549828178694158,0.0103092783505155,0.0240549828178694,0.0652920962199313,0.0103092783505155,0.00343642611683849,0.00343642611683849,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,67,0.015625,0,0,0.034375,0.140625,0.00625,0.04375,0,0,0.009375,0.003125,0,0.009375,0.015625,0.0375,0.053125,0.009375,0.08125,0.003125,0.003125,0.00625,0.1,0,0.165625,0.003125,0.003125,0.0375,0.003125,0.059375,0.103125,0,0,0.009375,0,0.00625,0.028125,0.00625,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,97,0.0125391849529781,0,0.00626959247648903,0.0282131661442006,0.0532915360501567,0.00940438871473354,0.15987460815047,0.00313479623824451,0,0,0,0,0.00313479623824451,0.00940438871473354,0.0626959247648903,0.0188087774294671,0.0156739811912226,0.0407523510971787,0.0313479623824451,0,0.0470219435736677,0.115987460815047,0.00626959247648903,0.166144200626959,0.00626959247648903,0.00626959247648903,0.0532915360501567,0,0.00313479623824451,0.0595611285266458,0,0,0.00626959247648903,0,0.00313479623824451,0.0282131661442006,0,0,0.00313479623824451,0.00626959247648903,0.0156739811912226,0.00940438871473354,0.00313479623824451,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0
60,376,0.0261437908496732,0.00326797385620915,0.00326797385620915,0.0490196078431373,0.0130718954248366,0.0065359477124183,0.137254901960784,0.00980392156862745,0,0.0065359477124183,0,0.00326797385620915,0.00326797385620915,0.0065359477124183,0.0718954248366013,0.0228758169934641,0.0196078431372549,0.0555555555555556,0.065359477124183,0.00326797385620915,0,0.199346405228758,0,0.179738562091503,0.00326797385620915,0,0.0620915032679739,0.00326797385620915,0.00326797385620915,0.0065359477124183,0.0065359477124183,0,0.00980392156862745,0,0,0,0,0.00326797385620915,0,0,0,0.0065359477124183,0,0,0,0.0065359477124183,0.00326797385620915,0,0,0,0,0,0
94,1106,0.0218068535825545,0,0,0.0404984423676012,0.0186915887850467,0.00623052959501558,0.146417445482866,0.00934579439252336,0,0.00623052959501558,0.0124610591900312,0.00623052959501558,0.00311526479750779,0.0155763239875389,0.0809968847352025,0.00934579439252336,0.0155763239875389,0.0311526479750779,0.0373831775700935,0.00311526479750779,0.0903426791277259,0.0809968847352025,0.00623052959501558,0.236760124610592,0.00311526479750779,0.00311526479750779,0.0529595015576324,0,0,0.00311526479750779,0,0,0.0311526479750779,0.00311526479750779,0,0,0,0.00311526479750779,0,0.00934579439252336,0,0.00311526479750779,0,0,0,0.00311526479750779,0.00311526479750779,0.00311526479750779,0,0,0,0,0
154,1718,0.0125786163522013,0.00314465408805031,0.00314465408805031,0.0691823899371069,0.00943396226415094,0.00628930817610063,0.122641509433962,0.0157232704402516,0,0,0,0.00628930817610063,0.00943396226415094,0.0188679245283019,0.0314465408805031,0.0188679245283019,0.0157232704402516,0.0534591194968553,0.0314465408805031,0.00314465408805031,0,0.176100628930818,0,0.29559748427673,0,0.0125786163522013,0.0345911949685535,0.00628930817610063,0.00628930817610063,0.0157232704402516,0,0,0.0125786163522013,0.00314465408805031,0.00314465408805031,0,0,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0
194,2125,0.00925925925925926,0,0.00308641975308642,0.0709876543209877,0.00925925925925926,0.0123456790123457,0.0679012345679012,0.00925925925925926,0,0.00617283950617284,0,0,0,0.00925925925925926,0.0432098765432099,0.0216049382716049,0.00617283950617284,0.0339506172839506,0.0216049382716049,0,0.0771604938271605,0.185185185185185,0.00308641975308642,0.259259259259259,0.00308641975308642,0,0.0339506172839506,0.00617283950617284,0.00925925925925926,0.00925925925925926,0,0,0.00925925925925926,0.00308641975308642,0.00308641975308642,0.0709876543209877,0,0,0,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0
214,2329,0.0163398692810458,0,0,0.0620915032679739,0.0130718954248366,0.00980392156862745,0.0620915032679739,0.00326797385620915,0,0,0.00326797385620915,0.00980392156862745,0.00326797385620915,0.0392156862745098,0.0261437908496732,0.0163398692810458,0.00326797385620915,0.0392156862745098,0.0228758169934641,0,0.0490196078431373,0.169934640522876,0,0.352941176470588,0.0130718954248366,0.0065359477124183,0.0392156862745098,0.0065359477124183,0.00326797385620915,0.0130718954248366,0.00326797385620915,0,0.00980392156862745,0,0,0,0,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0
254,2736,0.0158227848101266,0,0.00632911392405063,0.0348101265822785,0,0.00632911392405063,0.0917721518987342,0.00949367088607595,0,0.00316455696202532,0.00316455696202532,0.00632911392405063,0.00316455696202532,0.00632911392405063,0.0221518987341772,0.0411392405063291,0.00316455696202532,0.0569620253164557,0.0379746835443038,0.00632911392405063,0,0.234177215189873,0.00316455696202532,0.325949367088608,0.00316455696202532,0.00632911392405063,0.0284810126582278,0.00316455696202532,0,0.0253164556962025,0,0,0.00316455696202532,0,0,0,0,0,0,0,0,0.00316455696202532,0,0.00316455696202532,0,0.00632911392405063,0,0,0,0,0,0,0
