"sample.depths","sample.ages","upland.sum","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Alnus","Ambrosia","Pinus","Populus","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Artemisia","Corylus","Larix","Iva.annua","Urtica","Iva.xanthifolia","Acer.rubrum","Celtis","Asteraceae.subf..Cichorioideae","Castanea","Humulus","Rosaceae.undiff.","Lamiaceae","Ranunculus","Ephedra.torreyana.type","Apiaceae","Polygonum.persicaria","Morus","Dalea.candida","Myrica","Shepherdia.canadensis","Sanguisorba","Thalictrum","Caryophyllaceae"
1,-11,564,9,4,4,10,7,14,69,1,1,7,2,6,117,4,4,1,1,13,2,16,3,1,4,121,110,2,2,13,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,433,7,9,2,7,7,3,45,0,0,4,3,3,93,0,2,0,1,6,5,8,1,0,7,61,135,0,0,6,5,6,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,329,385,9,9,0,6,7,4,14,0,0,5,0,3,137,0,1,0,0,14,3,14,0,0,1,4,113,0,0,17,17,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1238,343,4,15,1,5,6,8,10,1,1,7,1,6,120,0,1,0,0,11,2,13,0,0,1,3,83,0,0,13,24,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2148,352,7,16,2,4,7,12,13,0,0,2,7,7,103,0,2,0,3,5,6,20,0,0,0,4,75,0,0,25,22,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2603,391,4,11,3,4,6,30,28,4,2,7,8,7,100,0,2,0,3,3,1,32,0,0,2,1,84,0,0,11,29,4,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3057,374,5,23,1,3,12,3,38,0,1,1,5,3,115,0,2,0,0,1,1,11,2,0,0,4,90,0,0,12,30,5,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3512,422,7,18,0,1,11,13,46,1,1,7,16,4,111,0,3,0,0,4,0,34,9,0,0,5,109,0,0,11,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3967,453,5,14,3,4,20,8,87,2,3,4,5,3,98,0,3,0,0,5,2,26,12,0,0,10,94,0,0,12,27,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,4422,530,7,16,3,4,21,11,89,1,0,10,9,4,134,0,7,0,2,4,4,22,29,0,1,6,96,0,0,10,27,5,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
