"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Sphagnum","Taxus","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae"
0,-1,0,0,0,0,85,1,1,7,0,240,0,0,0,1,1,102,0,0,0,0,13,0,0,0,0,1,1,17,0,2,0,0,0,1,26,5,1,0,0,0,0,0,32,0,26,9,1,3,11,0,0,0,1,0,0,0,0,0,2,3,2,0,0,0,31,0,0,0,0,0,7,0,0,0
2,411,0,0,0,5,107,0,1,6,0,263,0,0,0,0,1,87,0,0,0,0,24,0,0,0,0,1,0,53,0,2,1,0,0,0,38,3,0,0,0,1,0,0,47,0,31,11,1,11,12,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,22,0,0,0,0,0,0,2,3,0
5,1027,0,0,0,0,113,1,3,14,0,239,0,0,0,0,0,152,0,0,0,0,11,0,0,0,0,1,0,51,0,1,0,0,0,0,52,0,1,1,0,0,0,0,74,0,33,2,0,4,8,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,16,0,0,0,0,0,0,1,7,0
7,1438,0,0,0,3,101,0,0,7,2,218,0,0,0,1,0,89,1,4,0,0,19,0,1,0,0,1,0,29,0,1,0,0,0,9,21,0,2,0,0,0,0,0,41,0,27,18,1,7,11,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,10,0,0,0,0,2,1,2,2,0
10,1691,1,0,0,1,81,0,2,3,2,224,0,0,0,0,2,67,0,0,0,0,10,0,0,0,0,0,0,33,0,4,0,0,0,3,23,0,1,0,0,0,0,0,33,0,29,12,0,3,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,0,1,2,0,0,0
12,1810,0,0,0,1,115,0,0,9,0,179,0,0,0,0,0,77,0,0,0,0,13,0,0,0,0,0,1,47,1,3,0,0,1,5,22,0,1,0,0,0,0,0,74,0,28,14,2,8,3,0,0,1,1,1,0,0,0,0,1,9,1,0,0,0,7,0,0,0,0,0,0,0,0,0
15,1990,0,0,0,0,78,0,1,6,0,230,0,0,0,0,0,56,0,0,0,0,17,0,0,0,0,0,1,33,0,1,0,0,0,0,32,1,0,0,0,0,0,0,56,0,24,14,0,2,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,1,0
18,2170,0,0,0,1,92,1,1,0,1,262,0,0,0,0,1,84,0,0,0,0,13,0,1,0,0,0,0,46,0,4,0,0,1,11,16,1,0,0,0,0,0,0,38,0,36,10,3,5,8,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,32,1,0,0,0,0,0,0,1,0
20,2289,0,0,0,0,95,0,3,6,1,182,0,1,0,0,0,63,0,0,0,0,14,0,0,0,0,0,1,39,0,2,0,0,0,0,32,0,0,0,0,0,0,0,63,0,16,21,0,4,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0
22,2409,0,0,0,4,113,0,1,7,1,236,0,0,1,0,1,58,0,0,0,0,18,0,0,1,0,0,1,77,0,2,1,0,0,0,23,0,1,0,0,1,0,1,31,0,25,12,1,6,5,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,19,0,0,0,0,0,1,3,4,0
25,2589,0,0,0,0,131,0,3,7,2,258,0,0,1,0,0,96,0,0,0,0,18,0,0,0,0,0,0,50,0,4,0,0,3,0,33,0,0,0,0,0,0,0,65,0,27,12,0,6,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,1,1,0,0
28,2768,0,0,0,1,147,0,1,12,1,285,1,0,0,0,2,74,0,2,0,0,18,0,0,0,0,1,1,69,0,3,0,0,0,1,26,2,0,0,0,0,0,0,57,0,23,8,1,5,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0
30,2888,0,0,0,0,208,1,1,7,10,324,0,0,0,0,0,93,0,12,0,0,20,1,0,0,0,2,0,92,0,1,0,0,2,10,22,1,0,0,0,0,0,0,70,0,39,11,2,7,10,0,0,0,1,1,0,2,0,0,0,8,0,0,0,0,19,0,0,0,0,0,1,0,0,0
32,3008,0,0,0,6,128,0,0,5,0,168,0,0,0,0,0,53,0,0,0,0,13,0,0,1,1,0,2,59,0,3,1,0,0,0,24,0,1,0,0,0,0,0,28,1,15,11,1,3,9,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,18,0,0,0,0,0,0,2,1,0
35,3187,0,0,0,1,147,0,3,3,3,176,0,0,0,0,0,59,0,0,0,0,18,0,0,0,0,0,0,96,0,4,0,0,0,0,37,1,0,0,0,0,0,0,62,0,19,13,1,6,6,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,7,0
38,3367,0,0,0,1,169,1,2,5,1,214,0,0,0,0,1,56,0,2,0,0,19,0,0,0,0,0,2,88,0,1,0,0,0,0,23,0,0,0,0,0,0,0,65,0,30,3,1,3,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,2,2,0
40,3487,0,0,0,0,231,0,3,7,5,261,0,0,0,0,0,58,0,0,0,0,33,0,0,0,0,0,0,100,0,0,0,0,0,0,38,1,1,0,0,0,0,0,42,0,13,13,0,2,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,2,1,0
45,3786,0,0,0,7,257,0,1,4,1,288,0,0,0,0,0,74,0,0,0,0,21,1,0,0,0,0,0,127,0,8,1,0,4,1,36,0,1,0,0,0,0,1,42,0,18,12,1,5,9,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,20,1,0,0,0,0,0,0,2,0
48,3950,0,0,0,0,151,1,0,5,1,193,0,0,0,0,0,40,0,1,0,0,17,0,0,0,0,0,0,56,0,1,0,0,2,2,8,2,1,0,0,0,0,0,37,0,16,7,1,7,5,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,2,0
50,4009,0,0,0,0,148,0,0,2,2,155,0,0,0,0,1,73,0,6,0,0,6,0,0,0,0,0,0,56,0,0,0,0,2,3,11,0,3,0,1,0,0,0,38,0,23,11,0,5,22,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,10,0,0,0,0,0,0,2,1,0
55,4156,0,0,0,0,190,1,2,4,0,222,0,0,0,0,0,48,0,0,0,0,15,0,0,0,0,1,0,80,0,0,1,0,1,0,70,2,0,0,0,0,0,0,40,0,10,10,0,3,9,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,6,0
57,4214,0,0,0,0,189,1,0,12,1,246,0,0,1,0,0,52,1,1,0,0,15,0,0,0,0,0,0,44,0,0,0,0,1,0,22,0,0,0,0,0,0,0,27,0,18,5,2,2,13,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0,5,0,0,0,0,0,1,0,0,0
60,4302,0,0,0,2,212,1,0,8,4,305,0,0,0,0,1,70,0,4,0,0,26,1,0,0,0,0,1,65,0,1,0,0,0,4,12,4,2,0,0,0,0,0,45,0,14,15,0,3,10,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,1,1,1
62,4361,0,1,0,1,168,2,0,1,1,173,0,0,0,0,0,45,0,4,0,1,12,0,0,0,0,0,0,34,0,3,0,0,0,2,9,0,0,0,0,0,0,0,11,0,5,5,1,5,4,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0
65,NA,0,0,0,0,139,1,0,3,1,182,0,0,0,0,0,39,0,0,0,0,11,0,0,0,0,0,0,48,0,0,1,0,0,0,11,0,1,0,0,1,0,0,23,0,2,9,0,1,4,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0
67,NA,0,0,0,0,104,0,0,3,1,306,0,0,0,0,1,35,0,2,2,0,4,0,0,0,0,0,0,11,0,0,0,0,1,4,15,0,1,0,1,0,0,0,17,0,6,9,1,3,2,0,0,0,1,2,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0
