"sample.depths","sample.ages","upland.sum","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Rubus","Dryas","Polygonum","Polygonaceae.undiff.","Rumex","Oxyria.digyna","Caryophyllaceae","Ranunculaceae","Brassicaceae","Saxifragaceae.undiff.","Saxifraga","Apiaceae","Scrophulariaceae","Plantaginaceae.undiff.","Plantago","Cyperaceae"
0,-35,429,196,51,0,0,0,31,0,0,0,0,0,0,0,14,3,0,0,0,122,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
5,102,388,186,43,0,0,0,27,0,0,0,0,0,0,0,11,2,0,0,0,112,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,238,326,166,24,0,0,0,21,0,0,0,0,0,0,0,7,3,0,0,0,43,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
15,373,317,156,27,0,0,0,29,0,0,0,0,0,0,0,5,2,0,0,0,39,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20,509,320,159,19,0,0,0,24,0,0,0,0,0,0,0,6,6,0,0,0,36,49,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
25,624,423,186,55,0,0,0,26,0,0,0,0,0,0,0,7,4,0,0,0,31,7,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
30,717,344,91,18,0,0,0,31,1,0,0,0,0,0,0,15,3,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,171
35,811,314,139,17,0,0,0,19,0,0,0,0,0,0,0,9,6,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109
40,904,425,272,49,0,0,0,21,0,0,0,0,0,0,0,9,3,0,0,0,11,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49
45,1317,427,269,51,0,0,0,23,0,0,0,0,0,0,0,7,4,0,0,0,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53
50,1765,438,267,39,0,0,0,18,0,0,0,0,0,0,0,9,7,0,0,0,15,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
55,2213,417,257,34,0,0,0,21,0,0,0,0,0,0,0,11,9,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
60,2661,383,246,31,0,0,0,24,0,0,0,0,0,0,0,9,7,0,0,0,15,5,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37
65,3108,345,235,40,0,0,0,25,0,0,0,0,0,0,0,10,7,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
70,NA,328,236,23,0,0,0,21,0,0,0,0,0,0,7,2,5,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
76,NA,361,241,21,0,0,0,22,2,0,0,0,0,0,10,5,3,0,0,0,22,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9
