"sample.depths","sample.ages","upland.sum","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Rumex.Oxyria.digyna","Acer.saccharum","Cornus.sericea","Pinus.banksiana.type","Pinus.strobus","Spiraea","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Fraxinus.americana","Populus.balsamifera","Picea.glauca","Picea.mariana","Acer.undiff.","Artemisia","Potentilla","Alnus.undiff.","Carya","Acer.rubrum","Castanea","Caryophyllaceae","Acer.spicatum","Juglans.cinerea","Shepherdia.canadensis","Linnaea.borealis","Ranunculaceae.undiff.","Nyssa","Tilia","Ilex","Apiaceae"
452,10800,582,12,175,1,4,10,1,3,13,6,39,32,6,1,4,5,5,1,1,58,32,1,1,1,1,1,10,71,1,22,34,3,2,15,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,10885,458,13,177,1,1,14,0,0,36,5,29,17,3,0,1,1,1,1,0,31,28,0,1,1,1,0,3,31,0,4,19,2,0,18,8,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,10970,429,19,99,0,8,15,1,1,35,7,15,33,12,0,2,1,1,0,0,25,43,0,2,0,1,0,2,34,0,6,24,7,0,15,13,3,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
458,11054,275,23,55,0,1,11,0,0,23,4,17,19,5,0,3,2,1,0,0,8,17,0,1,0,0,0,1,14,0,2,35,2,1,6,17,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,11139,378,19,60,0,8,14,0,2,16,11,25,29,8,0,2,2,1,0,0,11,19,1,1,0,1,0,8,29,0,1,50,6,1,38,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
462,11224,384,9,56,0,17,6,0,0,17,8,25,25,7,1,2,4,0,0,0,14,17,0,2,0,0,0,8,26,0,0,53,6,2,41,32,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
464,11309,291,2,47,0,10,12,1,0,3,0,25,12,8,0,3,4,0,0,0,15,37,0,3,0,0,0,5,12,1,2,36,2,0,24,22,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,11393,334,2,56,0,16,16,2,0,0,5,16,13,20,0,3,2,0,0,0,16,13,0,2,0,0,0,7,15,0,0,53,2,0,42,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
468,11482,518,1,92,0,14,15,1,0,1,1,29,10,17,0,3,1,1,0,0,16,28,0,6,0,0,0,10,15,1,3,179,1,0,37,29,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
470,11570,343,1,113,0,10,30,1,0,1,1,37,6,19,2,4,0,2,0,0,15,21,0,8,0,0,0,1,3,2,1,31,0,0,7,15,6,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
