"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Acer.spicatum","Ambrosia.type","Artemisia","Betula","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Populus","Poaceae","Plantago","Caryophyllaceae","Castanea","Cupressaceae","Myrica","Carya","Fraxinus.nigra.type","Platanus","Salix","Amaranthaceae","Rosaceae","Pinus.subg..Pinus","Thalictrum","Tilia","Celtis","Ilex","Viburnum","Taxus","Urtica.type","Juglans.nigra","Larix","Rubiaceae","Campanulaceae"
0,0,0.0803324099722992,0.0138504155124654,0.00554016620498615,0.00277008310249307,0.038781163434903,0.00277008310249307,0.515235457063712,0.00554016620498615,0.0193905817174515,0.00277008310249307,0.0332409972299169,0.0138504155124654,0.00554016620498615,0.0166204986149584,0.0110803324099723,0.0193905817174515,0.0997229916897507,0.0415512465373961,0.00554016620498615,0.0193905817174515,0.00554016620498615,0.00277008310249307,0.00831024930747922,0.00277008310249307,0.0249307479224377,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,55,0.0808510638297872,0.00425531914893617,0,0.00851063829787234,0.106382978723404,0,0.404255319148936,0.0212765957446809,0.00851063829787234,0,0.0425531914893617,0.00851063829787234,0,0.00425531914893617,0.0851063829787234,0.0170212765957447,0.025531914893617,0.0340425531914894,0.0212765957446809,0.025531914893617,0,0,0.0212765957446809,0.025531914893617,0.0297872340425532,0,0.00425531914893617,0.00851063829787234,0.00851063829787234,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,109,0.134782608695652,0.0217391304347826,0,0,0.0391304347826087,0,0.360869565217391,0,0.0347826086956522,0,0.0478260869565217,0.0173913043478261,0,0,0.0478260869565217,0.00434782608695652,0.0565217391304348,0.0391304347826087,0.00869565217391304,0.0434782608695652,0.00434782608695652,0.0130434782608696,0.00869565217391304,0.00869565217391304,0.0521739130434783,0.00434782608695652,0,0.00869565217391304,0,0.00434782608695652,0.00434782608695652,0.00869565217391304,0.00434782608695652,0.0130434782608696,0.00434782608695652,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0
60,289,0.0725075528700906,0.0181268882175227,0,0,0,0,0.302114803625378,0.00906344410876133,0.0211480362537764,0.00302114803625378,0.141993957703928,0.00906344410876133,0,0.00604229607250755,0.117824773413897,0.0453172205438066,0.054380664652568,0.0513595166163142,0,0.105740181268882,0.00302114803625378,0.0120845921450151,0.00604229607250755,0,0,0,0,0.00906344410876133,0,0.00302114803625378,0,0,0,0.00604229607250755,0,0,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0
75,795,0.0403225806451613,0.0161290322580645,0,0,0,0.00268817204301075,0.330645161290323,0.00806451612903226,0.0134408602150538,0.00537634408602151,0.0510752688172043,0.00537634408602151,0,0.010752688172043,0.0698924731182796,0.0349462365591398,0.150537634408602,0.115591397849462,0,0.0456989247311828,0.00268817204301075,0.0161290322580645,0.0376344086021505,0.010752688172043,0.00806451612903226,0,0.00268817204301075,0,0,0,0.00537634408602151,0.00537634408602151,0.00537634408602151,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1302,0.0597014925373134,0.0328358208955224,0,0,0.00298507462686567,0,0.286567164179104,0.00895522388059702,0.0447761194029851,0.00298507462686567,0.146268656716418,0.00895522388059702,0,0.017910447761194,0.0656716417910448,0.0298507462686567,0.0507462686567164,0.0477611940298507,0,0.137313432835821,0,0.0208955223880597,0.00298507462686567,0,0,0,0,0.00895522388059702,0,0.00298507462686567,0,0.0119402985074627,0.00298507462686567,0,0.00597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1337,0.0266666666666667,0.024,0,0,0,0.00266666666666667,0.426666666666667,0.0133333333333333,0.0746666666666667,0,0.157333333333333,0.0186666666666667,0.00533333333333333,0.0133333333333333,0.0106666666666667,0.0186666666666667,0.0293333333333333,0.04,0,0.096,0.0106666666666667,0.00533333333333333,0.00533333333333333,0.008,0.00266666666666667,0,0,0.00533333333333333,0,0,0,0,0,0,0,0,0,0.00266666666666667,0.00266666666666667,0,0,0,0,0,0,0,0,0
125,1446,0.0145985401459854,0.024330900243309,0,0,0,0.0024330900243309,0.391727493917275,0.0097323600973236,0.160583941605839,0,0.124087591240876,0.0145985401459854,0,0.0072992700729927,0.0097323600973236,0.0218978102189781,0.0340632603406326,0.0364963503649635,0,0.116788321167883,0,0,0.0072992700729927,0.0121654501216545,0,0,0,0,0,0,0.0048661800486618,0.0048661800486618,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2067,0.0306406685236769,0.0222841225626741,0,0,0,0,0.389972144846797,0.0194986072423398,0.00278551532033426,0,0.225626740947075,0.0167130919220056,0.00278551532033426,0.0334261838440111,0.0167130919220056,0.011142061281337,0.0334261838440111,0.0362116991643454,0,0.103064066852368,0,0.0167130919220056,0.00835654596100279,0.011142061281337,0,0,0,0.00278551532033426,0,0.00557103064066852,0,0.00278551532033426,0,0,0,0,0,0,0.00557103064066852,0.00278551532033426,0,0,0,0,0,0,0,0
175,2687,0.0305810397553517,0.0336391437308868,0,0,0,0.00305810397553517,0.382262996941896,0.0214067278287462,0.0244648318042813,0,0.18960244648318,0.0091743119266055,0.00305810397553517,0.0214067278287462,0.018348623853211,0.018348623853211,0.0672782874617737,0.0611620795107034,0,0.073394495412844,0,0.018348623853211,0.00305810397553517,0,0,0,0,0,0,0,0.00611620795107034,0.0091743119266055,0,0,0,0,0,0,0.00611620795107034,0,0,0,0,0,0,0,0,0
