"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.undiff.","Ambrosia.type","Artemisia","Betula","Castanea","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Juglans.nigra","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Ranunculaceae.undiff.","Rumex","Salix","Taxus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Alnus.viridis","Juniperus.Thuja","Myrica","Populus","Poaceae","Plantago","Rosaceae","Ilex.Nemopanthus","Pinus.strobus","Ericales","Carya","Juglans.cinerea","Tilia","Achillea.type","Shepherdia.canadensis","Liquidambar","Thalictrum","Caryophyllaceae","Sarcobatus.vermiculatus","Apiaceae","Brassicaceae","Ephedra","Rubiaceae.undiff.","Fabaceae","Cephalanthus","Celtis","Cornus","Lamiaceae"
780,113,984,7,34,4,55,1,343,1,6,1,8,36,5,8,1,11,1,18,9,116,1,82,1,12,5,1,57,2,13,21,1,8,1,11,30,2,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,245,1017,6,44,9,82,11,295,0,5,1,10,59,10,8,0,6,0,24,11,122,3,56,1,14,3,0,46,3,16,32,0,6,4,1,53,2,0,0,69,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,378,1037,6,34,2,0,4,350,1,1,3,5,22,8,4,0,3,0,22,13,95,5,60,0,0,0,1,112,2,19,23,0,6,1,2,3,0,0,0,220,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
804,512,1080,13,21,6,8,5,329,0,0,0,9,38,10,3,1,2,0,34,20,133,6,73,1,0,0,2,110,1,40,31,0,4,0,2,0,0,1,2,153,0,2,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
812,647,1125,3,60,12,2,6,293,1,1,0,3,116,21,6,1,3,0,22,8,91,3,64,0,0,0,0,238,1,39,20,0,8,1,3,2,0,0,1,84,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,783,1078,4,63,1,4,2,240,0,0,0,6,107,10,1,0,4,0,11,10,94,3,49,0,0,2,3,277,0,46,11,0,5,0,1,3,0,0,1,112,0,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
828,921,1025,3,50,5,2,4,198,0,1,2,10,144,11,5,0,2,0,15,5,96,3,45,0,0,2,3,273,2,30,14,0,14,0,0,2,0,0,0,79,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,1060,1108,8,67,10,2,3,240,0,1,0,22,190,10,1,0,4,0,19,15,124,2,58,0,0,0,6,172,4,33,13,0,9,1,1,2,0,0,1,76,1,6,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
844,1201,1096,4,59,10,2,4,271,0,1,0,5,174,8,4,0,1,0,17,13,130,7,33,0,0,0,1,213,2,27,13,0,5,0,1,2,0,1,0,80,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
852,1342,945,4,65,4,4,4,263,0,0,2,8,117,6,9,0,0,0,24,9,71,4,44,0,0,0,3,123,3,51,12,0,5,0,2,4,0,0,0,95,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
860,1485,1162,4,61,3,0,4,355,0,1,1,4,134,13,9,0,0,0,13,7,92,7,61,0,0,1,4,219,0,38,8,0,9,0,2,5,0,0,0,87,1,7,3,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
868,1629,1117,0,59,7,3,2,282,0,3,1,12,102,12,15,0,1,0,20,6,143,6,52,0,0,2,0,178,4,41,17,0,4,1,2,4,0,2,0,128,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
