"sample.depths","sample.ages","upland.sum","Acer.saccharinum.type","Artemisia","Betula","Caryophyllaceae","Celtis","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Larix","Morus","Picea","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Xanthium","Ambrosia","Amorpha","Poaceae","Rosaceae","Pinus.strobus","Acer.negundo.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..viridis","Alnus.cf..A..incana","Thuja.type","Abies","Humulus.type","Platanus","Ostrya.type","Acer.saccharum","Iva.annua.type","Sarcobatus.vermiculatus","Thalictrum","Taxus","Tsuga","Galium","Dalea.purpurea","Anemone.type","Vitis","Acer.rubrum","Tilia","Juglans.nigra.type","Asteraceae.subf..Cichorioideae","Dalea.candida.type","Carya","Apiaceae","Juglans.cinerea.type"
0,-29,347.5,1,6.5,52,3,1,4,7,3,2,1,2,2,4,46.5,4,20,55,2,3,3,4,1,1,18,1,19,1,7,1,3,56.5,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,185,548,0,10,31.5,0,0,6,24.5,1,0,1,2,0,10.5,165,0,6,23,0,5,0,10,0,0,7,1,13,0,41.5,0,0,153,2,22,1,4,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,546,430,0,13,39,0,0,6,12,7,0,1,1,2,9.5,96,1,6,25,0,1,5,4,1,0,9,0,8,1,27,0,2.5,114,2,23,7,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1270,259,0,4,12,0,0,2,9,0,1,0,2,2,3.5,72,0,1,13,0,0,0,1,0,1,2,0,7,1,28,0,2,71.5,1,9,1,1,0,1,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
300,1993,431,0,10,29,0,0,4,7,1,0,0,0,0,1.5,96,1,6,40,0,0,2,8,1,2,1,1,12,0,50,0,5,106,4,29,3,0.5,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,2246,406.5,0,14.5,35,0,0,5,16,4,0,1,0,0,2.5,98,0,7,35,0,2,10,4,0,0,4,1,17,0,71,0,1,31.5,3,27,4,0,0,0,9,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
350,2352,329,0,9,37,0,0,1,14,3,0,0,3,0,2,62,5,6,26,0,3,3,6,0,0,1,3,12,0,42.5,0,3,39.5,0,30,1,0,0,1,13,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
360,2422,359,0,18,40,0,0,15,15,4,1,0,1,0,5,45.5,0,9,47,0,2,7,4,0,0,6,0,21,0,32.5,0,4,28,0,31,5,0,0,2,11,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
385,2597,355.5,0,16,37.5,0,2,2,24,3,1,0,5,0,0.5,28.5,0,9,51,0,6,8.5,11,0,0,5,0,23,0,36,0,3,10,2,44,1,4.5,0,1,17,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2702,260,0,10,31,0,0,11,14,8,1,0,1,0,3.5,21.5,1,10,35.5,0,4,6.5,4,1,0,6,1,15,0,22,1,3,13,0,26,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
424,2870,255.5,0,13,28,0,0,9,15,4,4,1,1,1,4,16,0,10,39,0,1,4,5,0,1,4,0,34,0,12.1,0,2,12.4,2,23,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
460,NA,277,0,31,15,0,0,3,15,4,1,0,1,0,2.5,15.5,3,3,41,0,10,10,5,0,0,11,3,35,2,9,1,2,7,1,26,1,0,0,1,13,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
502,NA,223,1,33,18,0,0,3,9.5,3,0,1,0,0,0,16,0,2,28,0,5,6,1,0,1,12,2,34,0,3.5,0,2,15,0,18,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
524,NA,348.5,0,58.5,16,0,0,2,20,3,1,0,0,0,0,22,2,2,32,0,5,8,10,0,0,15,3,64,0,10,1,2.5,23.5,4,34,3,1,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,NA,234.5,0,41,9,0,0,5,19,2,0,0,2,1,4.5,13,1,2,23,0,5,3,3,0,0,10,0,48,0,3.5,0,6,1.5,2,22,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
