"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Ilex","Indeterminable","Juglans.cinerea","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rosaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
15,40,0,5,0,5,1,24,3,41,1,3,90,8,17,11,3,6,0,29,6,0,2,19,3,0,0,7,0,3,10,1,16,27,0,1,42,2,66,0,17,2,0,0,0,2,2,32,0,6,8
30,98,0,6,0,4,0,17,1,19,2,13,60,0,26,6,5,9,0,13,6,1,4,22,0,0,0,4,0,2,0,13,4,13,1,0,32,4,73,0,21,1,0,0,2,0,1,22,0,3,0
55,263,0,10,0,13,0,18,0,0,1,12,174,3,49,19,9,6,0,34,12,1,0,24,1,4,0,4,0,2,0,12,22,10,0,0,15,2,106,0,12,3,0,1,0,1,1,53,0,3,2
77,475,0,5,0,4,0,14,0,0,1,2,104,4,33,20,10,12,0,41,7,0,0,30,5,6,0,4,0,0,0,18,13,9,0,4,2,1,115,0,0,2,0,0,0,2,0,49,0,3,7
97,689,0,7,0,7,0,6,0,0,0,1,87,4,24,18,6,20,0,48,11,0,0,27,1,0,0,1,0,1,1,10,8,14,0,2,6,4,74,0,0,2,0,0,0,1,1,46,0,4,3
111,833,0,6,0,6,0,29,1,0,1,1,137,7,27,22,19,9,0,91,7,0,0,38,0,2,0,3,0,2,0,13,13,17,0,3,8,3,116,0,0,1,0,0,0,2,0,47,0,12,2
125,961,4,17,0,18,0,10,0,0,0,3,157,17,33,11,11,0,0,81,13,3,0,25,0,1,0,10,0,1,0,56,11,69,0,0,2,0,215,0,0,1,0,1,2,0,0,50,0,4,9
145,1111,0,5,0,4,0,4,0,0,1,2,74,7,7,13,9,12,0,91,13,0,0,23,1,0,0,2,0,0,2,17,14,10,0,2,3,1,51,0,0,2,0,0,0,0,3,58,0,7,4
165,1440,0,13,0,13,0,15,0,0,0,1,106,16,21,15,0,0,0,49,23,0,0,16,4,0,0,4,0,0,2,43,1,59,0,0,0,1,135,0,0,2,0,0,0,4,0,40,0,6,7
185,1942,0,16,0,17,0,10,0,0,0,1,139,11,8,8,0,0,1,102,32,0,0,14,4,1,1,2,0,0,2,49,0,50,0,0,0,3,134,0,0,0,0,0,0,0,0,35,0,8,9
211,2619,0,18,0,14,0,4,0,0,2,2,121,9,5,32,18,37,0,68,16,0,0,31,4,0,0,3,0,3,4,12,1,29,0,2,7,4,130,0,0,5,0,0,2,4,1,23,0,10,3
235,3023,0,9,0,9,0,7,0,0,0,1,81,12,7,13,12,10,1,56,20,1,0,21,6,0,0,1,0,3,0,17,3,39,0,0,6,0,112,0,0,0,0,0,0,1,0,17,0,11,4
