"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Clethra","Cyperaceae","Ericaceae","Herbs.undiff.","Ilex","Liquidambar","Magnolia","Nyssa","Pinus.undiff.","Platanus","Quercus","Saxifragaceae","Ulmus","Alnus","Fraxinus","Amaranthaceae","Cupressaceae.undiff.","Corylus","Poaceae.undiff.","Juglans.nigra","Ostrya.Carpinus","Tilia","Vitis","Myrica","Viburnum","Acer.saccharum.type","Castanea","Fagus","Picea","Rhus","Salix","Shrubs.undiff.","Taxodium","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Juglans.cinerea","Apiaceae","Cornus","Acer.saccharinum.type","Caryophyllaceae","Cephalanthus","Thalictrum","Campanulaceae","Asteraceae.subf..Cichorioideae","Liriodendron","Artemisia","Celtis","Lamiaceae","Ranunculus","Gentianaceae","Sambucus","Rumex","Pinus.subg..Strobus","Abies","Plantago","Polygonum","Larix","Sanguisorba","Onagraceae","Arceuthobium","Armeria","Elymus","Rosaceae.undiff.","Cistaceae","Liliaceae","Polygonaceae.undiff.","Brassicaceae","Parthenocissus","Urtica.type"
10,60,284,5,23,2,1,5,2,7,6,4,8,16,27,104,1,34,1,3,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,120,987,25,5,4,17,10,4,40,4,20,14,15,134,404,3,179,19,2,8,4,0,42,11,1,1,4,1,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,470,2071,64,1,8,26,8,0,22,0,2,20,44,522,534,4,333,29,10,13,8,1,373,8,3,3,8,0,6,3,0,3,2,5,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1110,1595,19,3,5,31,2,1,21,2,1,33,27,428,347,0,426,30,8,13,3,1,137,12,2,1,12,1,3,3,7,1,1,4,1,0,0,0,0,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2390,1315,41,0,6,14,11,0,16,1,2,20,26,282,393,2,237,41,7,7,7,0,161,9,2,0,4,0,4,6,0,0,0,5,0,3,0,0,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3031,1561,38,4,1,24,1,2,18,2,0,22,31,503,415,0,233,30,11,12,1,0,151,9,2,1,5,0,0,4,0,0,3,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4311,2044,40,2,3,31,8,10,31,39,3,20,69,174,470,1,415,44,6,8,6,2,604,6,5,0,7,0,0,5,5,1,0,9,0,0,1,3,7,0,3,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5079,1666,26,2,8,22,1,4,25,7,8,23,19,579,274,0,425,20,6,3,5,0,163,8,6,0,7,0,0,0,15,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6232,781,5,0,4,18,4,6,12,14,2,18,5,156,107,0,270,6,7,9,3,0,115,0,2,0,5,0,3,2,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6680,665,8,6,0,16,0,2,18,5,4,21,4,116,118,0,215,5,4,4,4,0,98,4,1,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
