"sample.depths","sample.ages","Abies","Cyperaceae","Larix","Picea","Asteraceae.subf..Asteroideae.undiff.","Pinus","Artemisia","Betula","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Quercus","Shepherdia.canadensis","Ericales","Elaeagnus","Poaceae","Ranunculus","Carya","Caryophyllaceae","Ulmus","Alnus","Celtis","Thalictrum","Tsuga","Ambrosia","Fraxinus.nigra","Salix","Populus","Acer.saccharum","Amaranthaceae"
1,NA,0.0202020202020202,0.0303030303030303,0.0101010101010101,0.878787878787879,0.0101010101010101,0.0505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NA,0,0.04,0,0.69,0.03,0.11,0.01,0.01,0.02,0.01,0.02,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NA,0,0.05,0,0.71,0.05,0.09,0,0,0,0.01,0.03,0,0.03,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NA,0.03,0.15,0,0.63,0,0.04,0.01,0.01,0,0.02,0.05,0,0.01,0,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0
20,15798,0,0.25,0,0.53,0.02,0.07,0,0,0,0.01,0.08,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
25,15831,0,0.09,0,0.6,0.01,0.03,0.02,0,0,0,0.14,0,0.01,0,0.05,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
75,16161,0,0.13,0,0.67,0,0.08,0.01,0.01,0,0.02,0.04,0,0,0,0,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0
79,16188,0,0.0404040404040404,0,0.767676767676768,0.0303030303030303,0.0707070707070707,0,0,0,0.0101010101010101,0.0606060606060606,0,0.0101010101010101,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,16207,0.01,0.22,0,0.41,0.04,0.1,0.02,0.01,0.01,0,0.08,0,0,0.01,0.03,0.02,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0
87,16240,0,0.07,0,0.71,0.04,0.03,0.01,0,0,0,0.03,0,0.01,0,0.02,0.05,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
92,16273,0,0.08,0,0.62,0.02,0.03,0.02,0,0,0,0.04,0,0.01,0.01,0.08,0.06,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0
97,NA,0,0.14,0,0.55,0.02,0.06,0.05,0.02,0,0.03,0.03,0,0.01,0,0.03,0.03,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0
102,NA,0,0.22,0,0.44,0.01,0.06,0.01,0,0,0.01,0.11,0.01,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0.03,0.01,0.01,0.01,0
107,NA,0,0.11,0,0.74,0.01,0.04,0.01,0.02,0,0,0.03,0,0.02,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
110,NA,0,0.11,0,0.7,0,0.03,0,0.01,0,0.01,0.04,0,0.01,0.01,0.03,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.01
